Feature,1014595,1014894,1014895,1014897,1014898,1014899,1014900,1014901,1014902,1014903,1014904,1014905,1014906,1014907,1014908,1014909,1014910,1014911,1014912,1014913,1014914,1014915,1014916,1014917,1014918,1014919,1014920,1014921
高度(mm),2375,2150,2375,2590,2150,2375,2375,2590,2375,2375,2590,2590,2150,2375,2375,2590,2375,2375,2590,2590,2150,2375,2375,2590,2375,2375,2590,2590
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5498,5000,5000,5498,5000,5000,5498,5498,5000,5498,5498,5498,5000,5000,5498,5498,5000,5498,5498,5498,5000,5000,5750,5750,5000,5750,5750,5995
长*宽*高(mm),5498*2036*2375,5000*2036*2150,5000*2036*2375,5498*2036*2590,5000*2036*2150,5000*2036*2375,5498*2036*2375,5498*2036*2590,5000*2036*2375,5498*2036*2375,5498*2036*2590,5498*2036*2590,5000*2036*2150,5000*2036*2150,5498*2036*2375,5498*2036*2590,5000*2036*2150,5498*2036*2375,5498*2036*2590,5498*2060*2590,5000*2036*2150,5000*2036*2375,5750*2036*2375,5750*2036*2590,5000*2036*2375,5750*2036*2375,5750*2060*2590,5995*2060*2590
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3610,3100,3100,3610,3100,3100,3610,3610,3100,3610,3610,3610,3100,3100,3610,3610,3100,3610,3610,3610,3100,3100,3610,3610,3100,3610,3610,3610
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
