Feature,66756,66757,68561,70104,70105,70106,70107,70733,71252
高度(mm),1480,1480,1480,1480,1480,1480,1480,1480,1480
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,
风阻系数(Cd),0.23,0.23,-,0.23,0.23,0.23,0.23,0.23,0.23
隐藏电动门把手,●,●,●,-,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-
长度(mm),4820,4820,4820,4820,4820,4820,4820,4820,4820
长*宽*高(mm),4820*1890*1480,4820*1890*1480,4820*1890*1480,4820*1890*1480,4820*1890*1480,4820*1890*1480,4820*1890*1480,4820*1890*1480,4820*1890*1480
钥匙类型,,,,,,,,,
配气机构,-,-,-,DOHC,DOHC,DOHC,-,-,-
道路救援呼叫,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,-,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
进气形式,-,-,-,自然吸气,自然吸气,自然吸气,-,-,-
近光灯光源,,,,,,,,,
运动风格座椅,●,●,-,●,●,●,●,●,●
辅助驾驶等级,,,,-,,,,,
轴距(mm),2900,2900,2900,2900,2900,2900,2900,2900,2900
轮圈材质,,,,,,,,,
车门数(个),,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,●,-,-,-,-,-,-
车道偏离预警系统,●,●,●,-,●,●,●,●,●
车道保持辅助系统,●,●,●,-,●,●,●,●,●
车载空气净化器,-,-,●,-,-,-,-,-,-
车载智能系统,,,,,,,,,
车身结构_y,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,
车机系统存储(GB),,,,,,,,,
车机系统内存(GB),,,,,,,,,
车机智能芯片,,,,,,,,,
车型名称,深蓝SL03 2024款 530Plus纯电版,深蓝SL03 2024款 530Max纯电版,深蓝SL03 2024款 530商务版,深蓝SL03 2025款 增程标准型,深蓝SL03 2025款 增程精英型,深蓝SL03 2025款 增程运动型,深蓝SL03 2025款 纯电运动型,深蓝SL03 2025款 纯电精英型,深蓝SL03 2025款 纯电经典版
车前雾灯,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,,,-,-,,,-,-
车内摄像头数量,,,,-,,,,,-
车内化妆镜,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,-,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,
负离子发生器,-,-,●,-,-,-,-,-,-
语音连续识别,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,
语音助手唤醒词,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●,●
触摸式阅读灯,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,-,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●
自动变道辅助,-,-,●,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●,●
能源类型_y,纯电动,纯电动,纯电动,增程式,增程式,增程式,纯电动,纯电动,纯电动
能源类型_x,纯电动,纯电动,纯电动,增程式,增程式,增程式,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,
缸盖材料,-,-,-,铝合金,铝合金,铝合金,-,-,-
缸体材料,-,-,-,铝合金,铝合金,铝合金,-,-,-
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,
离去角(°),20,20,20,20,20,20,20,20,20
百公里耗电量(kWh/100km),12.8,12.8,12.8,13.1,13.1,13.1,12.4,12.4,12.3
疲劳驾驶提示,-,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,,
电能当量燃料消耗量(L/100km),-,-,-,1.39,1.39,1.9,1.44,1.44,1.43
电池预加热,●,●,●,●,●,●,●,●,●
电池能量(kWh),58.89,58.89,58.89,18.99,18.99,28.39,56.1,56.1,58.1
电池类型,,,,,,,,,
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.58,0.58,0.58,0.5,0.5,0.5,0.25,0.25,0.42
电池快充时间(小时)_x,0.58,0.58,0.58,0.5,0.5,0.5,0.25,0.25,0.42
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机总马力(Ps),218,218,218,238,238,218,258,258,258
电动机总扭矩(N·m),320,320,320,320,320,320,320,320,320
电动机总功率(kW),160,160,160,175,175,160,190,190,190
电动机(Ps),218,218,218,238,238,218,258,258,258
电动座椅记忆功能,,,,-,,,,,
电动后备厢位置记忆,●,●,●,-,●,●,●,●,●
电动后备厢,●,●,●,-,●,●,●,●,●
环视摄像头像素,,,,,,,,,
环保标准_y,-,-,-,国VI,国VI,国VI,-,-,-
环保标准_x,-,-,-,国VI,国VI,国VI,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
燃油标号,-,-,-,92号,92号,92号,-,-,-
温度分区控制,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,
油箱容积(L),-,-,-,45,45,45,-,-,-
气缸数(个),-,-,-,4,4,4,-,-,-
气缸排列形式,-,-,-,L,L,L,-,-,-
毫米波雷达数量,,,,-,,,,,
每缸气门数(个),-,-,-,4,4,4,-,-,-
最高车速(km/h),170,170,170,170,170,170,170,170,170
最大马力(Ps),218,218,218,95,95,95,258,258,258
最大满载质量(kg),2285,2285,2285,2175,2175,2235,2225,2225,2185
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,320,320,320,-,-,-,320,320,320
最大扭矩(N·m)_x,320,320,320,320,320,320,320,320,320
最大功率转速(rpm),-,-,-,-,-,-,-,-,-
最大功率(kW)_y,160,160,160,70,70,70,190,190,190
最大功率(kW)_x,160,160,160,175,175,160,190,190,190
最大净功率(kW),-,-,-,66,66,66,-,-,-
最低荷电状态油耗(L/100km),-,-,-,4.4,4.4,4.5,-,-,-
无钥匙进入功能,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●
无框设计车门,●,●,●,●,●,●,●,●,●
旋转大屏,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,
整车质保,,,,,,,,,
整备质量(kg),1890,1890,1890,1730,1780,1840,1810,1810,1750
摄像头数量,,,,,,,,,
接近角(°),15,15,15,15,15,15,15,15,15
排量(mL),-,-,-,1480,1480,1480,-,-,-
换挡形式,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-
手机无线充电功能,,,,-,,,,,
手机无线充电功率,,,,-,,,,,
手机互联/映射,,,,,,,,,
手机APP远程功能,,,,,,,,,
手势控制,●,●,-,-,●,●,●,●,●
慢充接口位置,车右后侧,车右后侧,-,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
感应雨刷功能,,,,,,,,,
快充接口位置,车右后侧,车右后侧,-,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,,,,
座位数(个),,,,,,,,,
应用商店,●,●,●,●,●,●,●,●,●
并线辅助,●,●,●,-,●,●,●,●,●
巡航系统,,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●,●
对外放电,●,●,●,●,●,●,●,●,●
对外交流放电功率(kW),3.3,3.3,-,3.3,3.3,3.3,3.3,3.3,3.3
宽度(mm),1890,1890,1890,1890,1890,1890,1890,1890,1890
官方0-100km/h加速(s),6.9,6.9,6.9,7.2,7.2,7.5,6.4,6.4,5.9
安全带未系提醒,,,,,,,,,
天窗类型,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,
备胎规格,,,,-,-,-,,,
地图品牌,-,-,,,,,,,
向日葵旋转屏,●,●,●,-,●,●,●,●,●
后雨刷,-,-,-,-,-,-,-,-,-
后轮距(mm),1630,1630,1630,1630,1630,1630,1630,1630,1630
后轮胎规格,,,,,,,,,
后电动机最大扭矩(N·m),320,320,320,320,320,320,320,320,320
后电动机最大功率(kW),160,160,160,175,175,160,190,190,190
后电动机型号,XTDM16,XTDM16,XTDM16,XTDM16,XTDM16,XTDM16,XTDM27,XTDM27,XTDM27
后电动机品牌,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车
后方碰撞预警,●,●,●,-,●,●,●,●,●
后排独立空调,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●
后排控制多媒体,-,-,●,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,,
后排侧隐私玻璃,○,○,●,-,-,-,-,-,-
后悬架类型,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,●
后备厢容积(L),473-1487,473-1487,473-1487,473-1180,473-1180,473-1180,473-1180,473-1180,473-1180
后制动器类型,,,,,,,,,
可见即可说,●,●,●,●,●,●,●,●,●
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
发动机电子防盗,-,●,-,●,●,●,●,●,●
发动机布局,-,-,-,横置,横置,横置,-,-,-
发动机型号,-,-,-,JL473QJ,JL473QJ,JL473QJ,-,-,-
发动机,纯电动,纯电动,-,1.5L 95马力 L4,1.5L 95马力 L4,1.5L 95马力 L4,纯电动,纯电动,纯电动
厂商指导价(元),15.69万,16.39万,20.99万,11.99万,12.99万,14.69万,14.69万,13.99万,11.99万
厂商,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车
卫星导航系统,●,●,●,●,●,●,●,●,●
助力类型,,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,
前轮距(mm),1620,1620,1620,1620,1620,1620,1620,1620,1620
前轮胎规格,,,,,,,,,
前方碰撞预警,●,●,●,-,●,●,●,●,●
前方感知摄像头像素,,,,-,,,,,
前方感知摄像头,,,,-,,,,,
前排座椅功能,,,,-,,,,,
前悬架类型,,,,,,,,,
前备厢容积(L),70,70,70,-,-,-,70,70,70
前制动器类型,,,,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●
内置行车记录仪,●,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,
全液晶仪表盘,●,●,●,●,●,●,●,●,●
倒车车侧预警系统,●,●,●,-,●,●,●,●,●
侧窗多层隔音玻璃,-,-,,-,-,-,-,-,-
供油方式,-,-,-,多点电喷,多点电喷,多点电喷,-,-,-
低速行车警告,●,●,●,●,●,●,●,●,●
主座椅调节方式,,,,,,,,,
主动刹车/主动安全系统,●,●,●,-,●,●,●,●,●
