Feature,66673,66674,66675,66875,67086,69579,69732,70135,70136,70137
高精地图,-,-,-,-,●,●,○,-,-,-
高度(mm),1671,1671,1671,1671,1671,1671,1671,1671,1671,1671
驾驶辅助影像,,,,,,,,,,
驾驶模式切换,,,,,,,,,,
驻车制动类型,,,,,,,,,,
驱动电机数,双电机,双电机,双电机,双电机,三电机,三电机,三电机,双电机,双电机,双电机
驱动方式,,,,,,,,,,
首任车主质保政策,,,,,,,,,,
风阻系数(Cd),0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308
面部识别,-,-,-,●,●,●,-,-,-,-
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●
防侧翻系统,●,●,●,●,●,●,●,●,●,●
长度(mm),4781,4781,4781,4781,4781,4781,4781,4781,4781,4781
长*宽*高(mm),4781*1920*1671,4781*1920*1671,4781*1920*1671,4781*1920*1671,4781*1920*1671,4781*1920*1671,4781*1920*1671,4781*1920*1671,4781*1920*1671,4781*1920*1671
钥匙类型,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●
远光灯光源,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,
轴距(mm),2815,2815,2815,2815,2815,2815,2815,2815,2815,2815
轮圈材质,,,,,,,,,,
转向辅助灯,-,-,-,●,●,●,-,-,-,-
转向头灯,-,-,-,●,●,●,-,-,-,-
车顶行李架,-,-,-,●,●,●,-,-,-,-
车门数(个),,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,●,●,●,-,-,-,-
车载智能系统,,,,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,
车机智能芯片,,,,,,,,,,
车型名称,瑶光C-DM 2024款 1.5T 长续航Plus,瑶光C-DM 2024款 1.5T 长续航Pro,瑶光C-DM 2024款 1.5T 超长续航Pro,瑶光C-DM 2024款 1.5T 超长续航Max,瑶光C-DM 2024款 1.5T 四驱超长续航Max,瑶光C-DM 2025款 200超长续航Max四驱,瑶光C-DM 2025款 200超长续航Pro四驱,瑶光C-DM 2025款 100长续航Plus两驱,瑶光C-DM 2025款 100长续航Pro两驱,瑶光C-DM 2025款 210超长续航Pro两驱
车前雾灯,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,●,●,●,-,-,-,-
车内环境氛围灯,,,,,,,,,,
车内摄像头数量,-,-,-,,,,-,-,-,-
车内化妆镜,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,
负离子发生器,-,-,-,●,●,●,-,-,-,-
语音连续识别,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●,●,●
记忆泊车,-,-,-,○,●,●,○,-,-,-
行车电脑显示屏幕,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●,●
自动驾驶辅助路段,-,-,-,,,,,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,○,●,●,○,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●
自动变道辅助,-,-,-,○,●,●,○,-,-,-
膝部气囊,-,-,-,,,,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
系统综合扭矩(N·m),605,605,605,605,915,920,920,610,610,610
系统综合功率(kW),270,270,270,270,445,455,455,280,280,280
系统综合功率(Ps),367,367,367,367,605,619,619,381,381,381
简称,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT,3挡DHT
第二排座椅调节,,,,,,,,,,
第二排座椅电动调节,-,-,-,●,●,●,-,-,-,-
第二排座椅功能,-,-,-,,,,-,-,-,-
空调温度控制方式,,,,,,,,,,
空气质量监测,-,-,-,●,●,●,-,-,-,-
离去角(°),21,21,21,21,21,21,21,21,21,21
百公里耗电量(kWh/100km),-,-,-,-,-,20.5,20.5,16.9,16.9,19.3
疲劳驾驶提示,-,-,-,●,●,●,-,-,-,-
电芯品牌,,,,,,,,,,
电池预加热,-,-,-,-,-,●,●,●,●,●
电池能量密度(Wh/kg),153,153,152,152,152,-,-,-,-,-
电池能量(kWh),19.43,19.43,34.46,34.46,34.46,34.46,34.46,18.67,18.67,34.46
电池类型,,,,,,,,,,
电池慢充电量范围(%)_y,0-100,0-100,0-100,0-100,0-100,-,-,-,-,-
电池慢充电量范围(%)_x,0-100,0-100,0-100,0-100,0-100,-,-,-,-,-
电池慢充时间(小时)_y,3.5,3.5,3.5,3.5,3.5,-,-,-,-,-
电池慢充时间(小时)_x,3.5,3.5,3.5,3.5,3.5,-,-,-,-,-
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.3,0.3,0.33
