Feature,66046,66047,66048,66049
高度(mm),1450,1450,1450,1450
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,,,,
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,,,,
风阻系数(Cd),-,-,-,-
面部识别,-,-,-,●
陡坡缓降,-,-,-,-
长度(mm),5235,5235,5235,5235
长*宽*高(mm),5235*1900*1450,5235*1900*1450,5235*1900*1450,5235*1900*1450
钥匙类型,,,,
配气机构,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,-,●
道路救援呼叫,●,●,●,●
道路交通标识识别,●,●,●,●
透明底盘/540度影像,●,●,●,●
远光灯光源,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,
辅助驾驶系统,,,,
辅助驾驶等级,,,,
轴距(mm),3125,3125,3125,3125
轮圈材质,,,,
转向辅助灯,●,●,●,●
车门数(个),,,,
车门开启方式,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●
车道偏离预警系统,●,●,●,●
车道保持辅助系统,●,●,●,●
车载空气净化器,●,●,●,●
车身结构_y,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车型名称,雷克萨斯LS 2024款 500h 卓越版,雷克萨斯LS 2024款 500h 臻越版,雷克萨斯LS 2024款 500h 豪华版,雷克萨斯LS 2024款 500h 行政版
车前雾灯,,,,
车内环境氛围灯,,,,
车内摄像头数量,-,-,-,
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,●,●,●,●
车体结构,承载式,承载式,承载式,承载式
超声波雷达数量,,,,
负离子发生器,●,●,●,●
语音识别控制系统,,,,
被动行人保护,●,●,●,●
行车电脑显示屏幕,,,,
行程(mm),83,83,83,83
蓝牙/车载电话,●,●,●,●
自适应远近光,●,●,●,●
自动驻车,●,●,●,●
自动泊车入位,●,●,●,●
自动头灯,●,●,●,●
自动变道辅助,-,-,-,●
膝部气囊,,,,
能量回收系统,●,●,●,●
能源类型_y,油电混合,油电混合,油电混合,油电混合
能源类型_x,油电混合,油电混合,油电混合,油电混合
胎压监测功能,,,,
缺气保用轮胎,●,●,●,●
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸径(mm),94,94,94,94
缸体材料,铝合金,铝合金,铝合金,铝合金
级别,大型车,大型车,大型车,大型车
系统综合功率(kW),264,264,264,264
系统综合功率(Ps),359,359,359,359
简称,E-CVT+自动变速箱(模拟10挡),E-CVT+自动变速箱(模拟10挡),E-CVT+自动变速箱(模拟10挡),E-CVT+自动变速箱(模拟10挡)
第二排座椅调节,-,-,,
第二排座椅电动调节,-,-,●,●
第二排座椅功能,,,,
空调温度控制方式,,,,
空气悬架,●,●,●,●
疲劳驾驶提示,-,-,-,●
电机布局,前置,前置,前置,前置
电动机总马力(Ps),178,178,178,178
电动机总扭矩(N·m),300,300,300,300
电动机总功率(kW),131,131,131,131
电动机(Ps),178,178,178,178
电动座椅记忆功能,,,,
电动吸合车门,,,,
电动后备厢,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●
燃油标号,95号,95号,95号,95号
灯光特色功能,,,,
温度分区控制,●,●,●,●
液晶仪表尺寸,,,,
油箱容积(L),82,82,82,82
气缸数(个),6,6,6,6
气缸排列形式,V,V,V,V
毫米波雷达数量,,,,
每缸气门数(个),4,4,4,4
最高车速(km/h),250,250,250,250
最小转弯半径(m),5.7,5.7,5.7,5.7
最大马力(Ps),299,299,299,299
最大满载质量(kg),2725,2725,2725,2725
最大扭矩转速(rpm),5100,5100,5100,5100
最大扭矩(N·m)_y,350,350,350,350
最大扭矩(N·m)_x,-,-,-,-
最大功率转速(rpm),6600,6600,6600,6600
最大功率(kW)_y,220,220,220,220
最大功率(kW)_x,264,264,264,264
最大净功率(kW),220,220,220,220
无钥匙进入功能,,,,
无钥匙启动系统,●,●,●,●
方向盘记忆,●,●,●,●
方向盘材质,,,,
方向盘换挡,●,●,●,●
方向盘加热,●,●,●,●
方向盘位置调节,,,,
整车质保,,,,
整备质量(kg),2215,2215,2270,2285
摄像头数量,,,,
排量(mL),3456,3456,3456,3456
换挡形式,,,,
挡位个数,10,10,10,10
扬声器数量,,,,
扬声器品牌名称,-,-,,
手机无线充电功能,,,,
手机互联/映射,,,,
手机APP远程功能,,,,
感应雨刷功能,,,,
感应后备厢,-,●,●,●
座椅材质,,,,
座位数(个),,,,
并线辅助,●,●,●,●
巡航系统,,,,
导航路况信息显示,●,●,●,●
宽度(mm),1900,1900,1900,1900
官方0-100km/h加速(s),5.4,5.4,5.4,5.4
安全带未系提醒,,,,
天窗类型,,,,
大灯高度可调,●,●,●,●
大灯清洗装置,●,●,●,●
大灯延时关闭,●,●,●,●
多媒体/充电接口,,,,
多功能方向盘,●,●,●,●
外后视镜功能,,,,
备胎规格,,,,
后风挡遮阳帘,●,●,●,●
后雨刷,-,-,-,-
后轮距(mm),1637,1637,1637,1637
后轮胎规格,,,,
后排独立空调,-,-,●,●
后排杯架,●,●,●,●
后排控制多媒体,-,-,●,●
后排座椅防下滑气囊,-,-,●,●
后排座椅放倒形式,-,-,-,-
后排侧窗遮阳帘,-,-,,
后悬架类型,,,,
后座出风口,●,●,●,●
后备厢容积(L),430,430,400,400
后制动器类型,,,,
可变悬架功能,,,,
变速箱类型,E-CVT+自动变速箱,E-CVT+自动变速箱,E-CVT+自动变速箱,E-CVT+自动变速箱
变速箱,E-CVT+自动变速箱(模拟10挡),E-CVT+自动变速箱(模拟10挡),E-CVT+自动变速箱(模拟10挡),E-CVT+自动变速箱(模拟10挡)
发动机电子防盗,●,●,●,●
发动机特有技术,VVT-i和VVT-iW,VVT-i和VVT-iW,VVT-i和VVT-iW,VVT-i和VVT-iW
发动机布局,纵置,纵置,纵置,纵置
发动机型号,8GR-FXS,8GR-FXS,8GR-FXS,8GR-FXS
发动机,3.5L 299马力 V6,3.5L 299马力 V6,3.5L 299马力 V6,3.5L 299马力 V6
压缩比,13,13,13,13
厂商指导价(元),88.50万,96.00万,104.00万,120.00万
厂商,雷克萨斯,雷克萨斯,雷克萨斯,雷克萨斯
卫星导航系统,●,●,●,●
助力类型,,,,
副驾驶位后排可调节按钮,●,●,●,●
副座椅调节方式,,,,
前轮距(mm),1631,1631,1631,1631
前轮胎规格,,,,
前电动机最大扭矩(N·m),300,300,300,300
前电动机最大功率(kW),131,131,131,131
前方碰撞预警,●,●,●,●
前排座椅功能,,,,
前悬架类型,,,,
前制动器类型,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●
内后视镜功能,,,,
全液晶仪表盘,●,●,●,●
倒车车侧预警系统,●,●,●,●
侧窗多层隔音玻璃,,,,
供油方式,混合喷射,混合喷射,混合喷射,混合喷射
低速行车警告,●,●,●,●
主座椅调节方式,,,,
主动降噪,●,●,●,●
主动刹车/主动安全系统,●,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,
中控屏幕尺寸,,,,
上市时间,2023.11,2023.11,2023.11,2023.11
上坡辅助,●,●,●,●
三电系统质保,,,,
WLTC综合油耗(L/100km),7.15,7.15,7.15,7.15
USB/Type-C接口数量,,,,
OTA升级,●,●,●,●
LED日间行车灯,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●
HUD抬头数字显示,-,●,●,●
ETC装置,-,-,-,○
DOW开门预警,●,●,●,●
ABS防抱死,●,●,●,●
4G/5G网络,,,,
