Feature,1018431,1018432,1018433,1018434,1018435,1018436,1018437
高度(mm),2360,2540,2360,2540,2360,2620,2800
驾驶辅助影像,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-
驻车制动类型,,,,,,,
驱动方式,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-
长度(mm),5250,5250,5498,5498,5250,5918,5918
长*宽*高(mm),5250*2000*2360,5250*2000*2540,5498*2000*2360,5498*2000*2540,5250*2000*2360,5918*2020*2620,5918*2020*2800
钥匙类型,-,-,-,-,-,-,-
配气机构,-,-,-,-,-,-,-
远光灯光源,-,-,-,-,-,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,-,-,-,-,-,-,-
轴距(mm),3245,3245,3245,3245,3245,3665,3665
轮圈材质,-,-,-,-,-,-,-
车门数(个),,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-
车型名称,2024款 2.4T 5.2米低顶版7/9座,2024款 2.4T 5.2米高顶版7/9座,2024款 2.4T 5.5米低顶版7/9座,2024款 2.4T 5.5米高顶版7/9座,2024款 2.0T 5.2米低顶版7/9座,2024款 2.4T 5.9米低顶版9座,2024款 2.4T 5.9米高顶版9座
车前雾灯,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,-
车内PM2.5过滤装置,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-
行程(mm),104,104,104,104,-,104,104
蓝牙/车载电话,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-
能源类型_y,柴油,柴油,柴油,柴油,柴油,柴油,柴油
能源类型_x,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测功能,-,-,-,-,-,-,-
缸盖材料,-,-,-,-,-,-,-
缸径(mm),85,85,85,85,-,85,85
缸体材料,-,-,-,-,-,-,-
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
第二排座椅调节,-,-,-,-,-,-,-
空调温度控制方式,-,-,-,-,-,-,-
离去角(°),28,28,28,28,28,21,21
疲劳驾驶提示,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-
燃油标号,0号,0号,0号,0号,0号,0号,0号
温度分区控制,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4
