Feature,65749,65877,65878,65938,66310,66311,66312,66313,66314,66647,67022,67023,71005,71194
高度(mm),1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
驾驶辅助影像,,,,,-,,,-,,,,,,
驾驶模式切换,-,,,,-,-,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,
驱动电机数,-,单电机,单电机,单电机,-,-,-,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,○,○,○,-,-,-,-,-,○,○,●,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4915,4915,4950,4915,4915,4915,4915,4915,4915,4915,4950,4915,4950,4915
长*宽*高(mm),4915*1840*1450,4915*1840*1450,4950*1850*1450,4915*1840*1450,4915*1840*1450,4915*1840*1450,4915*1840*1450,4915*1840*1450,4915*1840*1450,4915*1840*1450,4950*1850*1450,4915*1840*1450,4950*1850*1450,4915*1840*1450
钥匙类型,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,-,○,○,○,-,-,-,-,-,○,○,●,-,-
远程启动功能,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,
辅助驾驶系统,,,,,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,,,,,
轴距(mm),2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825,2825
轮圈材质,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,
