Feature,1005174,1005175,1005176,1005177
高度(mm),2055,2075,2055,2075
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-
长度(mm),5445,5495,5445,5495
长*宽*高(mm),5445×1780×2055,5495×1880×2075,5445×1780×2055,5495×1880×2075
配气机构,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
运动风格座椅,-,-,-,-
运动外观套件,-,-,-,-
轴距(mm),3400,3400,3400,3400
转向辅助灯,-,-,-,-
转向头灯,-,-,-,-
车顶行李架,-,-,-,-
车门数(个),2,4,2,4
车载电视,-,-,-,-
车载冰箱,-,-,-,-
车身结构_y,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-
车窗防夹手功能,-,-,-,-
车型名称,跨越王 2017款 1.5L后双轮CNG单排DK15,跨越王 2017款 1.5L后双轮CNG双排DK15,跨越王 2017款 1.5L后双轮单排DK15,跨越王 2017款 1.5L后双轮双排DK15
车内中控锁,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3400x1680x380,2550x1680x380,3400x1680x380,2550x1680x380
行程(mm),-,-,-,-
蓝牙/车载电话,-,-,-,-
自适应远近光,-,-,-,-
自动驻车,-,-,-,-
自动头灯,-,-,-,-
膝部气囊,-,-,-,-
能源类型,汽油,汽油,汽油,汽油
缺气保用轮胎,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-
缸体材料,未知,未知,未知,未知
级别,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动
空气悬架,-,-,-,-
电动后备厢,-,-,-,-
环保标准_y,国V,国V,国V,国V
环保标准_x,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-
燃油标号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-
油箱容积(L),-,-,-,-
气缸数(个),4,4,4,4
气缸排列形式,L,L,L,L
每缸气门数(个),4,4,4,4
最高车速(km/h),-,-,-,-
最小离地间隙(mm),-,-,-,-
最大马力(Ps),112,112,112,112
最大载重质量(kg),1765,1490,1765,1490
最大扭矩转速(rpm),4200,4200,4200,4200
最大扭矩(N·m)_y,143,143,143,143
最大扭矩(N·m)_x,143,143,143,143
最大功率转速(rpm),6000,6000,6000,6000
最大功率(kW)_y,82,82,82,82
最大功率(kW)_x,82,82,82,82
无钥匙启动系统,-,-,-,-
方向盘记忆,-,-,-,-
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
整车质保,-,-,-,-
整备质量(kg),-,-,-,-
排量(mL),1499,1499,1499,1499
挡位个数,5,5,5,5
感应后备厢,-,-,-,-
座位数(个),2,5,2,5
并线辅助,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-
宽度(mm),1780,1880,1780,1880
大灯高度可调,-,-,-,-
大灯清洗装置,-,-,-,-
多功能方向盘,-,-,-,-
后风挡遮阳帘,-,-,-,-
后雨刷,-,-,-,-
后轮距(mm),1328,1328,1328,1328
后轮胎规格,185 R14LT,185 R14LT,185 R14LT,185 R14LT
后排车门开启方式,-,平开门,-,平开门
后排独立空调,-,-,-,-
后排杯架,-,-,-,-
后排座椅电动调节,-,-,-,-
后排侧隐私玻璃,-,-,-,-
后悬架类型,未知,未知,未知,未知
后座出风口,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-
发动机型号,DK15,DK15,DK15,DK15
发动机启停技术,-,-,-,-
发动机,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4,1.5L 112马力 L4
压缩比,-,-,-,-
厂商指导价(元),5.35万,5.35万,4.85万,4.85万
厂商,长安跨越,长安跨越,长安跨越,长安跨越
助力类型,电动助力,电动助力,电动助力,电动助力
前轮距(mm),1476,1476,1476,1476
前轮胎规格,185 R14LT,185 R14LT,185 R14LT,185 R14LT
前悬架类型,未知,未知,未知,未知
前制动器类型,盘式,盘式,盘式,盘式
前/后驻车雷达,-,-,-,-
前/后电动车窗,-,-,-,-
前/后排头部气囊(气帘),-,-,-,-
前/后排侧气囊,-,-,-,-
前/后中央扶手,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-
制动力分配(EBD/CBC等),-,-,-,-
供油方式,多点电喷,多点电喷,多点电喷,多点电喷
主/副驾驶座电动调节,-,-,-,-
主/副驾驶座安全气囊,-,-,-,-
中央差速器锁止功能,-,-,-,-
上市时间,2017.02,2017.02,2017.02,2017.02
上坡辅助,-,-,-,-
LED日间行车灯,-,-,-,-
ISOFIX儿童座椅接口,-,-,-,-
GPS导航系统,-,-,-,-
ABS防抱死,-,-,-,-
220V/230V电源,-,-,-,-
