Feature,1020086,1020087,1020088,1020089,1020090,1020091,1020092,1020093,1020094,1020095,1020096,1020097,1020098,1020099,1020100,1020101,1020102,1020103,1020104,1020105,1020106,1020107,1020108,1020109
高度(mm),2040,2040,2650,2650,2600,2600,2050,2050,2655,2655,2585,2585,2050,2050,2680,2680,2600,2600,2065,2065,2680,2680,2680,2680
驾驶辅助影像,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5160,5160,5160,5160,5160,5160,5340,5340,5340,5340,5340,5340,5640,5640,5640,5640,5640,5640,5740,5740,5740,5740,5740,5740
长*宽*高(mm),5160*1920*2040,5160*1920*2040,5160*1920*2650,5160*1920*2650,5160*1920*2600,5160*1920*2600,5340*1920*2050,5340*1920*2050,5340*1920*2655,5340*1920*2655,5340*1920*2585,5340*1920*2585,5640*1920*2050,5640*1920*2050,5640*1920*2680,5640*1920*2680,5640*1920*2600,5640*1920*2600,5740*1920*2065,5740*1920*2065,5740*1920*2680,5740*1920*2680,5740*1920*2680,5740*1920*2680
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,跨越者D3 2025款 1.6L 舒适型栏板运输车 短轴单排,跨越者D3 2025款 1.6L 豪华型栏板运输车 短轴单排,跨越者D3 2025款 1.6L 舒适型厢式运输车 短轴单排,跨越者D3 2025款 1.6L 豪华型厢式运输车 短轴单排,跨越者D3 2025款 1.6L 舒适型仓栅运输车 短轴单排,跨越者D3 2025款 1.6L 豪华型仓栅运输车 短轴单排,跨越者D3 2025款 1.6L 舒适型栏板运输车 短轴双排,跨越者D3 2025款 1.6L 豪华型栏板运输车 短轴双排,跨越者D3 2025款 1.6L 舒适型厢式运输车 短轴双排,跨越者D3 2025款 1.6L 豪华型厢式运输车 短轴双排,跨越者D3 2025款 1.6L 舒适型仓栅运输车 短轴双排,跨越者D3 2025款 1.6L 豪华型仓栅运输车 短轴双排,跨越者D3 2025款 1.6L 舒适型栏板运输车 长轴单排,跨越者D3 2025款 1.6L 豪华型栏板运输车 长轴单排,跨越者D3 2025款 1.6L 舒适型厢式运输车 长轴单排,跨越者D3 2025款 1.6L 豪华型厢式运输车 长轴单排,跨越者D3 2025款 1.6L 舒适型仓栅运输车 长轴单排,跨越者D3 2025款 1.6L 豪华型仓栅运输车 长轴单排,跨越者D3 2025款 1.6L 舒适型栏板运输车 长轴双排,跨越者D3 2025款 1.6L 豪华型栏板运输车 长轴双排,跨越者D3 2025款 1.6L 舒适型厢式运输车 长轴双排,跨越者D3 2025款 1.6L 豪华型厢式运输车 长轴双排,跨越者D3 2025款 1.6L 舒适型仓栅运输车 长轴双排,跨越者D3 2025款 1.6L 豪华型仓栅运输车 长轴双排
车前雾灯,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3300x1820x360,3300x1820x360,3285x1840x1750,3285x1840x1750,3300x1820x360,3300x1820x360,2710x1820x360,2710x1820x360,2695x1840x1750,2695x1840x1750,2710x1820x360,2710x1820x360,3800x1850x360,3800x1850x360,3785x1870x1750,3785x1870x1750,3800x1850x360,3800x1850x360,3100x1850x360,3100x1850x360,3085x1870x1750,3085x1870x1750,3100x1850x360,3100x1850x360
语音识别控制系统,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
