Feature,67790,70714,70774,70775,70776,70777,70778,70779,70780,70781,70782,70787
高度(mm),1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715
驾驶辅助影像,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,
驱动电机数,双电机,双电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,双电机,双电机,双电机
驱动方式,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
零重力座椅,-,-,-,-,-,-,-,-,,-,,
隐藏电动门把手,●,●,○,●,●,○,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615
长*宽*高(mm),4615*1875*1715,4615*1875*1715,4615*1875*1715,4615*1875*1715,4615*1875*1715,4615*1875*1715,4615*1875*1715,4615*1875*1715,4615*1875*1715,4615*1875*1715,4615*1875*1715,4615*1875*1715
钥匙类型,,,,,,,,,,,,
遥控泊车,-,●,-,-,●,-,-,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,●,-,-,●,-,-,●,●,●,●,●
远程启动功能,,,,,,,,,,,,
远程召唤,-,●,-,-,●,-,-,●,●,●,●,●
远光灯光源,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,
辅助驾驶芯片,-,,-,-,,-,-,,,,,
辅助驾驶等级,-,,-,-,,-,-,,,,,
辅助泊车入位,-,●,-,-,●,-,-,●,●,●,●,●
辅助变道,-,-,-,-,-,-,-,-,●,-,●,●
轴距(mm),2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
轮圈材质,,,,,,,,,,,,
车顶行李架,-,●,-,-,●,-,-,●,●,●,●,●
车门数(个),,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,●,-,-,●,-,-,●,●,●,●,●
车道偏离预警系统,-,●,-,-,●,-,-,●,●,●,●,●
车道保持辅助系统,-,●,-,-,●,-,-,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,,,,,
车载冰箱,-,-,-,-,-,-,-,-,●,-,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,
车机智能芯片,,,,,,,,,,,,
