Feature,1013157,1013159,1013164,1013166,1013235,1013236,1013237,1013238,1013239,1013240,1013241,1013242,1013243,1013244,1013245,1013246,1013247,1013248,1013249,1013250
高度(mm),2030,2030,2030,2030,2050,2050,2030,2030,2050,2050,2030,2030,2050,2050,2050,2050,2600,2600,2600,2600
驾驶辅助影像,-,-,,,,,,,-,-,-,-,-,-,,,,,,
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5585,5985,5585,5985,5985,5585,5585,5985,5985,5585,5585,5985,5985,5585,5985,5585,5510,5510,5510,5510
长*宽*高(mm),5585×1880×2030,5985×1880×2030,5585×1880×2030,5985×1880×2030,5985×1880×2050,5585×1880×2050,5585×1880×2030,5985×1880×2030,5985×1880×2050,5585×1880×2050,5585×1880×2030,5985×1880×2030,5985×1880×2050,5585×1880×2050,5985×1880×2050,5585×1880×2050,5510×1830×2600,5510×1830×2600,5510×1830×2600,5510×1830×2600
钥匙类型,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3400,3600,3400,3600,3600,3400,3400,3600,3600,3400,3400,3600,3600,3400,3600,3400,3400,3400,3400,3400
轮圈材质,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),2,2,2,2,4,4,2,2,4,4,2,2,4,4,4,4,2,2,2,2
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,北汽制造小卡T7 2022款 1.6L手动舒适版单排短轴LQ475QMB,北汽制造小卡T7 2022款 1.6L手动舒适版单排长轴LQ475QMB,北汽制造小卡T7 2022款 1.6L手动豪华版单排短轴LQ475QMB,北汽制造小卡T7 2022款 1.6L手动豪华版单排长轴LQ475QMB,北汽制造小卡T7 2022款 2.0L手动豪华版双排长轴LQ481QFB,北汽制造小卡T7 2022款 2.0L手动豪华版双排短轴LQ481QFB,北汽制造小卡T7 2022款 2.0L手动豪华版单排短轴LQ481QFB,北汽制造小卡T7 2022款 2.0L手动豪华版单排长轴LQ481QFB,北汽制造小卡T7 2022款 2.0L手动舒适版双排长轴LQ481QFB,北汽制造小卡T7 2022款 2.0L手动舒适版双排短轴LQ481QFB,北汽制造小卡T7 2022款 2.0L手动舒适版单排短轴LQ481QFB,北汽制造小卡T7 2022款 2.0L手动舒适版单排长轴LQ481QFB,北汽制造小卡T7 2022款 1.6L手动舒适版双排长轴LQ475QMB,北汽制造小卡T7 2022款 1.6L手动舒适版双排短轴LQ475QMB,北汽制造小卡T7 2022款 1.6L手动豪华版双排长轴LQ475QMB,北汽制造小卡T7 2022款 1.6L手动豪华版双排短轴LQ475QMB,北汽制造小卡T7 2022款 2.0L手动豪华版单排厢货LQ481QFB,北汽制造小卡T7 2022款 2.0L手动豪华版单排仓栅LQ481QFB,北汽制造小卡T7 2022款 1.6L手动豪华版单排厢货LQ475QMB,北汽制造小卡T7 2022款 1.6L手动豪华版单排仓栅LQ475QMB
车前雾灯,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),3300x1780x380,3700x1780x380,3300x1780x380,3700x1780x380,3000x1780x380,2600x1780x380,3300x1780x380,3700x1780x380,3000x1780x380,2600x1780x380,3300x1780x380,3700x1780x380,3000x1780x380,2600x1780x380,3000x1780x380,2600x1780x380,3300x1780x1750,3300x1780x480,3300x1780x1750,3300x1780x480
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最小离地间隙(mm),170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
最大马力(Ps),124,124,124,124,133,133,133,133,133,133,133,133,124,124,124,124,133,133,124,124
最大载重质量(kg),1770/1495/995,1770/1495/995,1770/1495/995,1770/1495/995,1430/995,1430/995,1700/1495/995,1700/1495/995,1430/995,1430/995,1700/1495/995,1700/1495/995,1495/995,1495/995,1495/995,1495/995,1455/995,1495,1495/995,1495
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
