Feature,61422,63440,63441,63442
高度(mm),1684,1684,1684,1684
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,,,,
驱动方式,,,,
风阻系数(Cd),-,-,-,-
隐藏电动门把手,●,●,●,●
陡坡缓降,●,●,●,●
长度(mm),4811,4811,4811,4811
长*宽*高(mm),4811*1930*1684,4811*1930*1684,4811*1930*1684,4811*1930*1684
钥匙类型,,,,
配气机构,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●
道路交通标识识别,●,●,●,●
远光灯光源,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压+电动增压
近光灯光源,,,,
辅助驾驶等级,,,,
轴距(mm),2874,2874,2874,2874
轮圈材质,,,,
车顶行李架,○,○,○,○
车门数(个),,,,
车门开启方式,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,●,●
车道保持辅助系统,●,●,●,●
车载空气净化器,●,●,●,●
车载智能系统,,,,
车身结构_y,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车库门遥控装置,○,○,○,○
车型名称,揽胜星脉 2024款 S,揽胜星脉 2024款 Dynamic SE,揽胜星脉 2024款 Dynamic HSE,揽胜星脉 2024款 典范版
车前雾灯,-,,,
车内环境氛围灯,,,,
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,●,●,●,●
车侧脚踏板,,,,
车体结构,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,●
语音识别控制系统,,,,
语音分区域唤醒识别,,,,
触摸式阅读灯,●,●,●,●
行车电脑显示屏幕,,,,
行李厢12V电源接口,●,●,●,●
蓝牙/车载电话,●,●,●,●
自适应远近光,-,●,●,●
自动驻车,●,●,●,●
自动泊车入位,●,●,●,●
自动头灯,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油+48V轻混系统
能源类型_x,汽油,汽油,汽油,汽油+48V轻混系统
胎压监测功能,,,,
缺气保用轮胎,○,○,○,○
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金
纵向通过角(°),18.3,18.3,18.3,18.3
级别,中型SUV,中型SUV,中型SUV,中型SUV
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排座椅调节,-,-,,
第二排座椅电动调节,-,-,●,●
第二排座椅功能,,,,
空调温度控制方式,,,,
空气悬架,○,○,●,●
离去角(°),24.8,24.8,24.8,24.8
疲劳驾驶提示,●,●,●,●
电动座椅记忆功能,,,,
电动后备厢位置记忆,●,●,●,●
电动后备厢,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●
燃油标号,95号,95号,95号,95号
灯光特色功能,-,-,,
满载最小离地间隙(mm),205,205,205,205
温度分区控制,●,●,●,●
液晶仪表尺寸,,,,
涉水感应系统,●,●,●,●
油箱容积(L),83,83,83,83
气缸数(个),4,4,4,6
气缸排列形式,L,L,L,L
每缸气门数(个),4,4,4,4
最高车速(km/h),217,217,217,250
最小转弯半径(m),5.95,5.95,5.95,5.95
最大马力(Ps),250,250,250,400
最大满载质量(kg),2550,2550,2550,2670
最大涉水深度(mm),530,530,580,580
最大扭矩转速(rpm),-,-,-,-
最大扭矩(N·m)_y,365,365,365,550
最大扭矩(N·m)_x,365,365,365,550
最大功率转速(rpm),-,-,-,-
最大功率(kW)_y,184,184,184,294
最大功率(kW)_x,184,184,184,294
最大净功率(kW),184,184,184,294
无钥匙进入功能,,,,
无钥匙启动系统,●,●,●,●
方向盘记忆,○,○,●,●
方向盘材质,,,,
方向盘换挡,●,●,●,●
方向盘加热,○,○,○,○
方向盘位置调节,,,,
整车质保,,,,
整备质量(kg),2050,2050,2050,2180
接近角(°),22.5,22.5,22.5,22.5
排量(mL),1997,1997,1997,2995
换挡形式,,,,
挡位个数,8,8,8,8
扬声器数量,,,,
扬声器品牌名称,,,,
手机无线充电功能,-,-,-,-
手机互联/映射,,,,
手机APP远程功能,,,,
感应雨刷功能,,,,
感应后备厢,○,○,○,○
座椅材质,,,,
座位数(个),,,,
并线辅助,○,●,●,●
巡航系统,,,,
导航路况信息显示,●,●,●,●
宽度(mm),1930,1930,1930,1930
官方0-100km/h加速(s),7.5,7.5,7.5,5.5
安全带未系提醒,,,,
天窗类型,,,,
大灯高度可调,●,●,●,●
大灯清洗装置,-,○,-,-
大灯延时关闭,●,●,●,●
多媒体/充电接口,,,,
多功能方向盘,●,●,●,●
外后视镜功能,,,,
备胎规格,,,,
四驱形式,,,,
后雨刷,●,●,●,●
