Feature,58083,60965,63178,63417,63553
高度(mm),1625,1625,1625,1625,1625
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
首任车主质保政策,-,-,-,-,-
面部识别,-,●,●,●,●
隐藏电动门把手,-,●,●,●,●
陡坡缓降,●,●,●,●,●
长度(mm),4750,4750,4750,4750,4750
长*宽*高(mm),4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625,4750*1930*1625
钥匙类型,,,,,
配气机构,DOHC,-,DOHC,-,DOHC
道路救援呼叫,●,●,●,●,●
道路交通标识识别,-,●,●,●,●
透明底盘/540度影像,●,●,●,●,●
远程启动功能,,,,,
远光灯光源,,,,,
进气形式,自然吸气,-,自然吸气,-,自然吸气
近光灯光源,,,,,
辅助驾驶等级,-,,,,
轴距(mm),2900,2900,2900,2900,2900
轮圈材质,,,,,
车门数(个),5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,●,●,●,●
车道偏离预警系统,-,●,●,●,●
车道保持辅助系统,-,●,●,●,●
车载空气净化器,-,●,●,●,●
车载智能系统,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车机系统存储（GB）,,,,,
车机系统内存（GB）,,,,,
车机智能芯片,,,,,
车型名称,深蓝S7 2023款 121Pro增程版,深蓝S7 2023款 620Max纯电版,深蓝S7 2023款 200Max增程版,深蓝S7 2023款 520Max纯电版,深蓝S7 2023款 121Max增程版
车前雾灯,-,-,-,-,-
车内环境氛围灯,-,,,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
负离子发生器,-,●,●,●,●
语音连续识别,●,●,●,●,●
语音识别控制系统,,,,,
语音分区域唤醒识别,,,,,
语音免唤醒词,●,●,●,●,●
触摸式阅读灯,●,●,●,●,●
行车电脑显示屏幕,,,,,
行李厢12V电源接口,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●
自适应远近光,-,●,●,●,●
自动驻车,●,●,●,●,●
自动头灯,●,●,●,●,●
能量回收系统,●,●,●,●,●
能源类型,增程式,纯电动,增程式,纯电动,增程式
胎压监测功能,,,,,
缺气保用轮胎,-,-,-,-,-
缸盖材料,铝合金,-,铝合金,-,铝合金
缸体材料,铝合金,-,铝合金,-,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-
空调温度控制方式,,,,,
离去角(°),24,24,24,24,24
百公里耗电量(kWh/100km),14.3,14.4,14.5,14.2,14.3
疲劳驾驶提示,-,●,●,●,●
电芯品牌,中创新航,宁德时代/中创新航,宁德时代/中创新航,中创新航,中创新航
电池预加热,●,●,●,●,●
电池能量(kWh),18.99,79.97,31.73,66.8,18.99
电池组质保,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）
电池类型,磷酸铁锂电池,三元锂电池,磷酸铁锂电池,三元锂电池,磷酸铁锂电池
电池冷却方式,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置
电动机总扭矩(N·m),320,320,320,320,320
电动机总功率(kW),175,160,175,190,175
电动机总功率(Ps),238,218,238,258,238
电动机(Ps),238,218,238,258,238
电动座椅记忆功能,-,,,,
电动后备厢位置记忆,-,●,●,●,●
电动后备厢,-,●,●,●,●
环保标准_y,国VI,-,国VI,-,国VI
环保标准_x,国VI,-,国VI,-,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
燃油标号,92号,-,92号,-,92号
燃料形式,增程式,纯电动,增程式,纯电动,增程式
温度分区控制,●,●,●,●,●
液晶仪表尺寸,-,-,-,-,-
油箱容积(L),45,-,45,-,45
气缸数(个),4,-,4,-,4
气缸排列形式,L,-,L,-,L
毫米波雷达数量,-,,,,
每缸气门数(个),4,-,4,-,4
最高车速(km/h),180,180,180,180,180
最大马力(Ps),95,218,95,258,95
最大满载质量(kg),2325,2465,2420,2380,2325
最大扭矩转速(rpm),-,-,-,-,-
最大扭矩(N·m)_y,141,320,141,320,141
最大扭矩(N·m)_x,320,320,320,320,320
最大功率转速(rpm),-,-,-,-,-
最大功率(kW)_y,70,160,70,190,70
最大功率(kW)_x,175,160,175,190,175
最大净功率(kW),66,-,66,-,66
最低荷电状态油耗(L/100km),4.95,-,4.95,-,4.95
无钥匙进入功能,,,,,
无钥匙启动系统,●,●,●,●,●
无框设计车门,●,●,●,●,●
旋转大屏,-,●,●,●,●
方向盘记忆,-,-,-,-,-
方向盘材质,,,,,
方向盘换挡,-,-,-,-,-
方向盘加热,-,-,-,-,-
方向盘位置调节,,,,,
整车质保,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里
整备质量(kg),1895,2035,1990,1950,1895
摄像头数量,,,,,
接近角(°),18,19,18,19,18
排量(mL),1480,-,1480,-,1480
换挡形式,,,,,
挡位个数,1,1,1,1,1
扬声器数量,,,,,
扬声器品牌名称,-,-,-,-,-
手机无线充电功能,-,,,,
手机互联/映射,-,-,-,-,-
手机APP远程功能,,,,,
手势控制,-,●,●,●,●
慢充时间(小时)_y,-,-,-,-,-
慢充时间(小时)_x,-,-,-,-,-
感应雨刷功能,,,,,
快充电量百分比,30-80,30-80,30-80,30-80,30-80
快充电量(%),30-80,30-80,30-80,30-80,30-80
快充时间(小时)_y,0.5,0.58,0.5,0.58,0.5
快充时间(小时)_x,0.5,0.58,0.5,0.58,0.5
快充功能,支持,支持,支持,支持,支持
座椅材质,,,,,
座位数(个),5,5,5,5,5
并线辅助,-,●,●,●,●
巡航系统,,,,,
导航路况信息显示,●,●,●,●,●
对外放电,●,●,●,●,●
宽度(mm),1930,1930,1930,1930,1930
官方0-50km/h加速(s),3.1,3.26,3.16,3.1,3.1
官方0-100km/h加速(s),7.6,7.5,7.7,6.7,7.6
安全带未系提醒,,,,,
天窗类型,,,,,
大灯高度可调,●,●,●,●,●
大灯延时关闭,●,●,●,●,●
多指飞屏操控,-,○,○,○,○
多层隔音玻璃,,,,,
多媒体/充电接口,,,,,
多功能方向盘,●,●,●,●,●
外后视镜功能,,,,,
备胎规格,补胎工具,补胎工具,补胎工具,补胎工具,补胎工具
地图品牌,,,,,
四驱形式,-,-,-,-,-
后雨刷,●,●,●,●,●
后轮距(mm),1650,1650,1650,1650,1650
后轮胎规格,235/55 R19,235/55 R19,235/55 R19,235/55 R19,235/55 R19
后电动机最大扭矩(N·m),320,320,320,320,320
后电动机最大功率(kW),175,160,175,190,175
后方碰撞预警,-,●,●,●,●
后排独立空调,-,-,-,-,-
后排杯架,-,●,●,●,●
后排座椅放倒形式,,,,,
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●,●
后备厢容积(L),-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式
可见即可说,●,●,●,●,●
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
发动机电子防盗,●,-,●,-,●
发动机布局,横置,-,横置,-,横置
发动机型号,JL473QJ,-,JL473QJ,-,JL473QJ
发动机启停技术,-,-,-,-,-
发动机,1.5L 95马力 L4,纯电动,1.5L 95马力 L4,纯电动,1.5L 95马力 L4
厂商指导价(元),14.99万,20.29万,16.99万,18.99万,15.99万
厂商,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车,深蓝汽车
卫星导航系统,●,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,●,●,●,●
副驾娱乐屏,-,,,,
副座椅调节方式,,,,,
前轮距(mm),1640,1640,1640,1640,1640
前轮胎规格,235/55 R19,235/55 R19,235/55 R19,235/55 R19,235/55 R19
前方碰撞预警,-,●,●,●,●
前排座椅功能,-,,,,
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前备厢容积(L),-,125,-,125,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●
内置行车记录仪,●,●,●,●,●
内后视镜功能,,,,,
全液晶仪表盘,-,-,-,-,-
倒车车侧预警系统,-,●,●,●,●
供油方式,多点电喷,-,多点电喷,-,多点电喷
