Feature,1015028,1015029,1015030,1017528,1017529,1017530
高度(mm),2070,2700,2760,2035,2530,2560
驾驶辅助影像,-,,,,,
驾驶模式切换,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-,-,-,-
长度(mm),5875,5875,5875,5360,5360,5360
长*宽*高(mm),5875*1830*2070,5875*1920*2700,5875*1920*2760,5360*1750*2035,5360*1750*2530,5360*1750*2560
钥匙类型,,,,,,
远光灯光源,,,,,,
近光灯光源,,,,,,
轴距(mm),3600,3600,3600,3360,3360,3360
轮圈材质,,,,,,
车门数(个),2,2,2,2,2,2
车道偏离预警系统,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-
车联网,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-
车型名称,小象EV 2023款 栏板车豪华型55.7kWh,小象EV 2023款 仓栅车豪华型55.7kWh,小象EV 2023款 厢式车豪华型55.7kWh,小象EV 2023款 青春版 载货车41.86kWh,小象EV 2023款 青春版 仓栅式运输车41.86kWh,小象EV 2023款 青春版 厢式运输车41.86kWh
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-
车内中控锁,●,●,●,-,-,-
车内PM2.5过滤装置,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,承载式,承载式,承载式
货箱尺寸(mm),3700x1730x380,3700*1730x380,3700x1750x1800,3200x1650x380,3200x1650x380,3200x1670x380
语音识别控制系统,-,-,-,-,-,-
行车电脑显示屏幕,,,,-,-,-
蓝牙/车载电话,●,●,●,-,-,-
自适应远近光,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-
