Feature,1014260,1014594,1014686,1017131,1017132,1017133,1017134,1017135,1017136,1017137,1017138,1017519,1018407,1018408,1018409,1018410,1018411,1018412,1018413,1018414,1018667
高度(mm),2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,1990
驾驶辅助影像,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
长*宽*高(mm),4800×1680×2005,4800×1680×2005,4800×1680×2005,4800*1680*2005,4800*1680*2005,4800*1680*2005,4800*1680*2005,4800*1680*2005,4800*1680*2005,4800*1680*2005,4800*1680*2005,4800*1680*2005,4800*1680*2005,4800*1680*2005,4800*1680*2005,4800*1680*2005,4800*1680*2005,4800*1680*2005,4800*1680*2005,4800*1680*2005,4800*1680*1990
钥匙类型,,,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135
轮圈材质,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-
车型名称,跨越星V7EV 2022款 标准型270km,跨越星V7EV 2022款 标准型240km,跨越星V7EV 2022款 高配型240km,跨越星V7EV 2023款 250km 掀背门智享型 2座,跨越星V7EV 2023款 250km 对开门智享型 2座,跨越星V7EV 2023款 250km 掀背门智享型 5座,跨越星V7EV 2023款 250km 对开门智享型 5座,跨越星V7EV 2023款 250km 掀背门标准型 2座,跨越星V7EV 2023款 250km 对开门标准型 2座,跨越星V7EV 2023款 250km 掀背门高配型 2座,跨越星V7EV 2023款 250km 对开门高配型 2座,2023款 251km 对开门旗舰型 6座,跨越星V7 EV 2024款 251km 掀背门舒适型 6座,跨越星V7 EV 2024款 251km 掀背门豪华型 6座,跨越星V7 EV 2024款 251km 掀背门舒适型 7座,跨越星V7 EV 2024款 251km 掀背门豪华型 7座,跨越星V7 EV 2024款 251km 对开门舒适型 7座,跨越星V7 EV 2024款 251km 对开门豪华型 7座,跨越星V7 EV 2024款 251km 掀背门舒适型 9座,跨越星V7 EV 2024款 251km 掀背门豪华型 9座,跨越星V7 EV 2024款 239km 客运版舒适型 6座
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),2930×1504×1350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,-,,-,-,-,-,-,-,-,-,,,,,,,,,,-
级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,
离去角(°),21,-,-,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
