Feature,1019655,1019656,1019657,1019658,1019659,1019660,1019661,1019662,1019663,1019664,1019665,1019666
高度(mm),2370,3320,2370,3320,3290,2370,3320,3290,2370,3320,3290,3300
驾驶辅助影像,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,
驻车制动类型,-,-,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995
长*宽*高(mm),5995*2200*2370,5995*2200*3320,5995*2200*2370,5995*2200*3320,5995*2200*3290,5995*2200*2370,5995*2160*3320,5995*2200*3290,5995*2200*2370,5995*2200*3320,5995*2200*3290,5995*2240*3300
钥匙类型,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,
轴距(mm),3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360
轮圈材质,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,
