Feature,1010752,1010753,1010754,1010755,1010756,1010757,1010758,1010759,1010760,1010761,1010762,1010763
高度(mm),1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820
驾驶辅助影像,,,,,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5330,5640,5330,5640,5330,5640,5330,5640,5330,5640,5330,5640
长*宽*高(mm),5330×1880×1820,5640×1880×1820,5330×1880×1820,5640×1880×1820,5330×1880×1820,5640×1880×1820,5330×1880×1820,5640×1880×1820,5330×1880×1820,5640×1880×1820,5330×1880×1820,5640×1880×1820
钥匙类型,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,
轴距(mm),3095,3405,3095,3405,3095,3405,3095,3405,3095,3405,3095,3405
轮圈材质,,,,,,,,,,,,
车顶行李架,●,●,●,●,-,-,-,-,-,-,-,-
车门数(个),,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-
