Feature,71238,71397,72085,72086,72087,72088
高度(mm),1795,1795,1795,1795,1795,1795
驾驶辅助影像,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-
驻车制动类型,,,,,,
驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机
驱动方式,,,,,,
风阻系数(Cd),-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
长度(mm),5190,5190,5190,5190,5190,5190
长*宽*高(mm),5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795,5190*1999*1795
钥匙类型,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,-,-,-,-,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,-,-,-,-,-,-
轴距(mm),3105,3105,3105,3105,3105,3105
轮圈材质,-,-,-,-,-,-
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门6座SUV,5门6座SUV,5门6座SUV
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-
车联网,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-
车型名称,问界M8 2025款 增程 Max版 37kWh 5座版,问界M8 2025款 增程 Max+版 53.4kWh 5座版,问界M8 2025款 增程 Ultra版 53.4kWh 5座版,问界M8 2025款 增程 Max版 37kWh 6座版,问界M8 2025款 增程 Max+版 53.4kWh 6座版,问界M8 2025款 增程 Ultra版 53.4kWh 6座版
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-
车内PM2.5过滤装置,-,-,-,-,-,-
车侧脚踏板,,,,,,
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-
能源类型_y,增程式,增程式,增程式,增程式,增程式,增程式
能源类型_x,增程式,增程式,增程式,增程式,增程式,增程式
胎压监测功能,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-
空调温度控制方式,-,-,-,-,-,-
离去角(°),20,20,20,20,20,20
百公里耗电量(kWh/100km),22.6,23.7,23.7,22.6,23.7,23.7
疲劳驾驶提示,-,-,-,-,-,-
电芯品牌,,,,,,
电池能量(kWh),37,53.4,53.4,37,53.4,53.4
电池类型,,,,,,
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步
电机布局,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机总马力(Ps),533,533,533,533,533,533
电动机总功率(kW),392,392,392,392,392,392
电动机(Ps),533,533,533,533,533,533
电动座椅记忆功能,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-
燃油标号,95号,95号,95号,95号,95号,95号
温度分区控制,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-
油电综合燃料消耗量(L/100km),3.47,3.28,3.28,3.47,3.28,3.28
气缸数(个),4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4
最高车速(km/h),200,200,200,200,200,200
最大马力(Ps),160,160,160,160,160,160
最大满载质量(kg),3145,3165,3165,3145,3165,3165
最大扭矩转速(rpm),-,-,-,-,-,-
最大扭矩(N·m)_y,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-
最大功率转速(rpm),-,-,-,-,-,-
最大功率(kW)_y,118,118,118,118,118,118
最大功率(kW)_x,392,392,392,392,392,392
最大净功率(kW),-,-,-,-,-,-
最低荷电状态油耗(L/100km)WLTC,6.6,6.6,6.6,6.6,6.6,6.6
无钥匙进入功能,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-
方向盘材质,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-
整车质保,-,-,-,-,-,-
整备质量(kg),2640,2660,2660,2640,2660,2660
接近角(°),18,18,18,18,18,18
排量(mL),1496,1496,1496,1496,1496,1496
挡位个数,1,1,1,1,1,1
扬声器数量,-,-,-,-,-,-
扬声器品牌名称,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-
快充功能,支持,支持,支持,支持,支持,支持
座椅材质,-,-,-,-,-,-
座位数(个),,,,,,
并线辅助,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-
宽度(mm),1999,1999,1999,1999,1999,1999
官方0-100km/h加速(s),-,-,-,-,-,-
安全带未系提醒,-,-,-,-,-,-
天窗类型,-,-,-,-,-,-
