Feature,1013389,1013390,1013391,1013392,1013393,1013394,1013395,1013396,1013397,1013398,1013399,1013400,1013401,1013402,1013403,1013404,1013564,1013565,1013566,1013567,1013568,1013569,1013570,1013571,1013572,1013573,1013574,1013575,1013576,1013577,1013578,1013579,1013580,1013581,1013582,1013583,1013584,1013585,1013586,1013587
高度(mm),1985,1995,1985,1995,,,,,1985,1995,1985,1995,1985,1995,1985,1995,2475,2470,2475,2470,2520,2515,2490,2485,2520,2515,2490,2485,2475,2470,2520,2515,2490,2485,2475,2470,2520,2515,2490,2485
驾驶辅助影像,,,,,,,,,-,-,-,-,-,-,-,-,,,-,-,,,,,-,-,-,-,,,,,,,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,,,,,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5360,5360,5360,5360,,,,,5360,5360,5360,5360,5360,5360,5360,5360,5375,5375,5375,5375,5405,5405,5420,5420,5405,5405,5420,5420,5375,5375,5405,5405,5420,5420,5375,5375,5405,5405,5420,5420
长*宽*高(mm),5360×1780×1985,5360×1780×1995,5360×1780×1985,5360×1780×1995,,,,,5360×1780×1985,5360×1780×1995,5360×1780×1985,5360×1780×1995,5360×1780×1985,5360×1780×1995,5360×1780×1985,5360×1780×1995,5375×1780×2475,5375×1780×2470,5375×1780×2475,5375×1780×2470,5405×1830×2520,5405×1830×2515,5420×1845×2490,5420×1845×2485,5405×1830×2520,5405×1830×2515,5420×1845×2490,5420×1845×2485,5375×1780×2475,5375×1780×2470,5405×1830×2520,5405×1830×2515,5420×1845×2490,5420×1845×2485,5375×1780×2475,5375×1780×2470,5405×1830×2520,5405×1830×2515,5420×1845×2490,5420×1845×2485
钥匙类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,,,,,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,,,,,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3400,3400,3400,3400,,,,,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),2,4,2,4,,,,,2,4,2,4,2,4,2,4,2,2,2,2,2,4,2,4,2,4,2,4,2,2,2,4,2,4,2,2,2,4,2,4
车身结构_y,货车,货车,货车,货车,,,,,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,,,,,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
