Feature,62410,62760,64942,64943,64944,64945,64946,64947,64948,64949,65729,65730,65731,65732,66873
高度(mm),1760,1760,1775,1775,1775,1775,1775,1775,1775,1775,1765,1765,1765,1765,1765
驾驶辅助影像,,,-,-,,,,,,,,,,,-
驾驶模式切换,-,-,,,,,,,,,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-
长度(mm),4545,4545,4785,4785,4785,4785,4785,4785,4785,4785,4545,4545,4545,4545,4545
长*宽*高(mm),4545*1855*1760,4545*1855*1760,4785*1872*1775,4785*1872*1775,4785*1872*1775,4785*1872*1775,4785*1872*1775,4785*1872*1775,4785*1872*1775,4785*1872*1775,4545*1855*1765,4545*1855*1765,4545*1855*1765,4545*1855*1765,4545*1855*1765
钥匙类型,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远程启动功能,-,-,-,-,-,-,,,,,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,
轴距(mm),2720,2720,2753,2753,2753,2753,2753,2753,2753,2753,2720,2720,2720,2720,2720
轮圈材质,,,,,,,,,,,,,,,
车顶行李架,●,●,-,-,●,●,●,●,●,●,-,-,●,●,●
车门数(个),,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),-,-,●,●,●,●,●,●,●,●,-,-,-,-,-
车联网,●,○,-,-,○,○,●,●,●,●,○,●,○,●,●
车窗防夹手功能,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,-,-,,,,,,,,,,,
车型名称,风行T5 2023款 盛世款 1.6L 手动追梦版 五座,风行T5 2023款 盛世款 1.6L 手动筑梦版 五座,风行T5 2023款 马赫版 1.5T DCT急驰版 五座,风行T5 2023款 马赫版 1.5T DCT急驰版 七座,风行T5 2023款 马赫版 1.5T DCT迅驰版 五座,风行T5 2023款 马赫版 1.5T DCT迅驰版 七座,风行T5 2023款 马赫版 1.5T DCT飞驰版 五座,风行T5 2023款 马赫版 1.5T DCT飞驰版 七座,风行T5 2023款 马赫版 1.5T DCT风驰版 五座,风行T5 2023款 马赫版 1.5T DCT风驰版 七座,风行T5 2024款 盛世款 1.6L 手动筑梦版 五座,风行T5 2024款 盛世款 1.6L 手动寻梦版 五座,风行T5 2024款 盛世款 1.6L CVT追梦版 五座,风行T5 2024款 盛世款 1.6L CVT圆梦版 五座,风行T5 2024款 盛世款 1.6L CVT好事花生版 五座
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,,,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,,,,,,,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,
行程(mm),90,90,-,-,-,-,-,-,-,-,93.13,93.13,93.13,93.13,93.13
蓝牙/车载电话,●,○,-,-,○,○,●,●,●,●,○,●,○,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,●,●,●,●,●,●,●,●,-,-,-,-,-
自动头灯,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),75,75,-,-,-,-,-,-,-,-,75,75,75,75,75
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,5挡手动,5挡手动,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,5挡手动,5挡手动,CVT无级变速,CVT无级变速,CVT无级变速
第二排座椅调节,-,-,-,,-,,-,,-,,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,
离去角(°),22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,○,○,●,●,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,●,●,●,●,●,●,●,●,-,-,-,-,-
满载最小离地间隙(mm),165,165,195,195,195,195,195,195,195,195,165,165,165,165,165
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,,,,,-,-,-,-,-
油箱容积(L),45,45,55,55,55,55,55,55,55,55,45,45,45,45,45
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),160,160,180,180,180,180,180,180,180,180,155,155,155,155,155
最大马力(Ps),122,122,190,190,190,190,190,190,190,190,122,122,122,122,122
最大满载质量(kg),1740,1740,1960,2160,1960,2160,1960,2160,1960,2160,1770,1770,1805,1805,1805
最大扭矩转速(rpm),4000,4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,4000,4000,4000,4000,4000
最大扭矩(N·m)_y,151,151,300,300,300,300,300,300,300,300,162,162,162,162,162
最大扭矩(N·m)_x,151,151,300,300,300,300,300,300,300,300,162,162,162,162,162
最大功率转速(rpm),6000,6000,5200,5200,5200,5200,5200,5200,5200,5200,5600,5600,5600,5600,5600
最大功率(kW)_y,90,90,140,140,140,140,140,140,140,140,90,90,90,90,90
最大功率(kW)_x,90,90,140,140,140,140,140,140,140,140,90,90,90,90,90
最大净功率(kW),80,80,140,140,140,140,140,140,140,140,80,80,80,80,80
无钥匙进入功能,-,-,-,-,,,,,,,-,-,-,-,-
无钥匙启动系统,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,
整备质量(kg),1365,1365,1585,1635,1585,1635,1585,1635,1585,1635,1395,1395,1430,1430,1430
推荐燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
接近角(°),17,17,19,19,19,19,19,19,19,19,17,17,17,17,17
排量(mL),1590,1590,1476,1476,1476,1476,1476,1476,1476,1476,1646,1646,1646,1646,1646
换挡形式,,,,,,,,,,,,,,,
挡位个数,5,5,7,7,7,7,7,7,7,7,5,5,无级变速,无级变速,无级变速
扬声器数量,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,,,-,-,,,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,
座椅布局,-,-,-,,-,,-,,-,,-,-,-,-,-
座位数(个),,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,,,,,,,-,-,,,
导航路况信息显示,●,○,-,-,○,○,●,●,●,●,○,●,○,●,●
宽度(mm),1855,1855,1872,1872,1872,1872,1872,1872,1872,1872,1855,1855,1855,1855,1855
官方0-100km/h加速(s),-,-,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,,,,,-,-,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,
多功能方向盘,-,-,●,●,●,●,●,●,●,●,-,-,●,●,●
外后视镜功能,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,
地图品牌,,,-,-,,,-,-,-,-,-,-,-,-,-
