Feature,1004932,1006521,1006522,1006523,1011552
高度(mm),2590,2590,2590,2590,2590
驾驶辅助影像,-,-,-,-,
驱动电机数,-,-,-,-,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
陡坡缓降,-,-,-,-,-
长度(mm),6350,5980,5980,5980,5980
长*宽*高(mm),6350×2036×2590,5980×2036×2590,5980×2036×2590,5980×2036×2590,5980×2036×2590
钥匙类型,,,,,
远光灯光源,,,,,
近光灯光源,,,,,
轴距(mm),4210,3610,3610,3610,3610
轮圈材质,,,,,
车门数(个),4,5,5,5,5
车身结构_y,客车,货车,货车,货车,货车
车身结构_x,客车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-
车窗防夹手功能,-,-,-,-,-
车型名称,御风EV 2015款 商旅之星豪华版,御风EV 2018款 EA100物流车95kWh,御风EV 2018款 EA100物流车71kWh,御风EV 2018款 EA100物流车131kWh,御风EV 2021款 V9E超航版厢货
车前雾灯,,,,,
车内环境氛围灯,-,-,-,-,-
车内化妆镜,-,-,-,-,-
车内中控锁,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-
行车电脑显示屏幕,,,,,
蓝牙/车载电话,●,-,-,-,○
自适应远近光,-,-,-,-,-
自动驻车,-,-,-,-,-
自动头灯,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,,,,-
缺气保用轮胎,-,-,-,-,-
级别,轻客,轻客,轻客,轻客,轻客
简称,4挡手动,6挡手动,4挡手动,4挡手动,电动车单速变速箱
第二排座椅调节,,-,-,-,-
空调温度控制方式,,,,,
百公里耗电量(kWh/100km),-,-,-,-,-
电池组质保,-,-,-,-,-
电池类型,-,-,-,-,磷酸铁锂电池
电池容量(kWh),69.1,95,71,131,92.16
电池充电时间,-,-,-,-,-
电机类型,-,-,-,-,永磁 / 同步
电机布局,-,-,-,-,前置
电动机总扭矩(N·m),-,480,480,480,320
电动机总功率(kW),45,90,90,90,100
电动机(Ps),61,122,122,122,136
电动座椅记忆功能,-,-,-,-,-
电动后备厢,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-
温度分区控制,-,-,-,-,-
最高车速(km/h),-,-,-,-,100
最小离地间隙(mm),-,196,196,196,196
最大载重质量(kg),-,-,-,-,-
最大满载质量(kg),-,-,-,-,-
最大扭矩(N·m),-,480,480,480,320
最大功率(kW),45,90,90,90,100
无钥匙进入功能,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-
方向盘记忆,-,-,-,-,-
方向盘材质,,,,,
方向盘换挡,-,-,-,-,-
方向盘加热,-,-,-,-,-
方向盘位置调节,-,-,-,-,-
整车质保,-,-,-,-,-
整备质量(kg),-,-,-,-,-
挡位个数,4,6,4,4,1
扬声器数量,,,,,
扬声器品牌名称,-,-,-,-,-
慢充时间(小时),-,-,-,-,-
感应雨刷功能,-,-,-,-,-
快充电量百分比,-,-,-,-,-
快充电量(%),-,-,-,-,-
快充时间(小时),-,-,-,-,-
座椅材质,,,,,
座位数(个),10,3,3,3,3
并线辅助,-,-,-,-,-
工信部续航里程(km),260,260,190,330,240
工信部纯电续航里程(km),260,260,190,330,240
巡航系统,-,-,-,-,-
宽度(mm),2036,2036,2036,2036,2036
安全带未系提醒,-,-,-,-,-
天窗类型,-,-,-,-,-
大灯高度可调,●,●,●,●,●
多媒体/充电接口,,,,,
多功能方向盘,●,-,-,-,-
外后视镜功能,,,,,
后雨刷,-,-,-,-,-
后轮距(mm),-,-,-,-,-
后轮胎规格,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16
后电动机最大扭矩(N·m),-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-
后排车门开启方式,-,侧滑门,侧滑门,侧滑门,侧滑门
后排独立空调,-,-,-,-,-
后排杯架,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-
后排侧窗遮阳帘,,-,-,-,-
后悬架类型,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架,霍奇基斯悬架
后座出风口,●,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),固定齿比变速箱
厂商指导价(元),48.00万,19.80万,18.80万,24.80万,24.80万
厂商,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车
卫星导航系统,●,-,-,-,-
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力
副座椅调节方式,,,,,
前轮距(mm),-,-,-,-,-
前轮胎规格,215/75 R16,215/75 R16,215/75 R16,215/75 R16,215/75 R16
