Feature,64667,64668,64669,64670,64671,64672,64673,64674,64704,67473,67474,67476,67477,67478,67479
高度(mm),1660,1660,1670,1660,1660,1670,1670,1670,1660,1660,1660,1660,1660,1660,1660
驾驶辅助影像,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,
驱动电机数,-,-,-,单电机,单电机,单电机,双电机,双电机,-,-,-,单电机,单电机,双电机,双电机
驱动方式,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4660,4660,4660,4660,4660,4660,4660,4660,4660,4660,4660,4660,4660,4660,4660
长*宽*高(mm),4660*1865*1660,4660*1865*1660,4660*1865*1670,4660*1865*1660,4660*1865*1660,4660*1865*1670,4660*1865*1670,4660*1865*1670,4660*1865*1660,4660*1865*1660,4660*1865*1660,4660*1865*1660,4660*1865*1660,4660*1865*1660,4660*1865*1660
钥匙类型,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远光灯光源,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,●,-,-,-,-,-,-,●
辅助驾驶系统,-,-,-,-,-,-,-,-,-,,,,,,
辅助驾驶等级,,,,,,,,,,,,,,,
轴距(mm),2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690
轮圈材质,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-
车顶行李架,-,-,●,-,-,●,●,●,-,-,○,-,○,○,●
车门数(个),,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,
