Feature,1011776,1011777,1015258,1015259,1015364,1015365,1018286,1018287,1018288,1018289,1018290,1018291,1018292,1018293,1018294,1018295
高度(mm),2300,1875,1875,2300,1875,2300,1960,1960,2335,2335,2450,2450,2430,2430,2500,2500
驾驶辅助影像,-,-,-,-,-,-,-,,-,,-,,-,,-,
驾驶模式切换,-,-,-,-,-,-,,,,,,,,,,
驻车制动类型,-,-,-,-,-,-,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4615,4880,4880,4615,4880,4640,4890,4890,5000,5000,5000,5000,4890,4890,5000,5000
长*宽*高(mm),4615×1600×2300,4880×1600×1875,4880×1600×1875,4615×1600×2300,4880×1600×1875,4640*1650*2300,4890*1610*1960,4890*1610*1960,5000*1650*2335,5000*1650*2335,5000*1655*2450,5000*1655*2450,4890*1610*2430,4890*1610*2430,5000*1700*2500,5000*1700*2500
钥匙类型,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,
轴距(mm),2900,3060,3060,2900,3060,2900,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
轮圈材质,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,
车门开启方式,-,-,平开门,平开门,平开门,平开门,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,长安星卡EV 2021款 纯电动厢式运输车,长安星卡EV 2021款 纯电动载货汽车,长安星卡EV 2022款 纯电动载货汽车3000厢长,长安星卡EV 2022款 纯电动厢式运输车4615车长,长安星卡EV 2022款 纯电动载货汽车3050厢长,长安星卡EV 2022款 纯电动厢式运输车4640车长,长安星卡EV 2024款 载货车 舒适型,长安星卡EV 2024款 载货车 豪华型,长安星卡EV 2024款 复合板厢货 舒适型,长安星卡EV 2024款 复合板厢货 豪华型,长安星卡EV 2024款 钢板厢货 舒适型,长安星卡EV 2024款 钢板厢货 豪华型,长安星卡EV 2024款 仓栅车 舒适型,长安星卡EV 2024款 仓栅车 豪华型,长安星卡EV 2024款 翼开启厢式车 舒适型,长安星卡EV 2024款 翼开启厢式车 豪华型
车前雾灯,,,,,,,-,,-,,-,,-,,-,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),2625x1500x1500,3000x1520x375,3000x1520x370,2625x1500x1500,3050x1520x375,2625x1500x1500,3060x1520x370,3060x1520x370,2940x1500x1500,2940x1500x1500,2980x1535x1650,2980x1535x1650,3060x1520x370,3060x1520x370,2940x1500x1665,2940x1500x1665
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,-,●,-,●,-,●,-,●,-,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
