Feature,1013157,1013159,1013164,1013166,1013235,1013236,1013237,1013238,1013239,1013240,1013241,1013242,1013243,1013244,1013245,1013246,1013247,1013248,1013249,1013250,1015044,1015045,1015046,1015047,1015048,1015049,1015050,1015051,1015052,1015401,1015402,1015403,1015404,1015405,1015406,1015407,1016934,1016935,1016936,1016937,1016938
高度(mm),2030,2030,2030,2030,2050,2050,2030,2030,2050,2050,2030,2030,2050,2050,2050,2050,2600,2600,2600,2600,2030,2030,2030,2030,2050,2050,2650,2650,2650,2030,2720,2720,2720,2720,2720,2720,2030,2030,2050,2650,2650
驾驶辅助影像,-,-,,,,,,,-,-,-,-,-,-,,,,,,,-,,-,,-,,,,,,-,,-,,-,,-,-,-,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5585,5985,5585,5985,5985,5585,5585,5985,5985,5585,5585,5985,5985,5585,5985,5585,5510,5510,5510,5510,5585,5585,5985,5985,5985,5985,5560,5560,5960,5585,5640,5640,5840,5840,5990,5990,5585,5985,5985,5560,5960
长*宽*高(mm),5585×1880×2030,5985×1880×2030,5585×1880×2030,5985×1880×2030,5985×1880×2050,5585×1880×2050,5585×1880×2030,5985×1880×2030,5985×1880×2050,5585×1880×2050,5585×1880×2030,5985×1880×2030,5985×1880×2050,5585×1880×2050,5985×1880×2050,5585×1880×2050,5510×1830×2600,5510×1830×2600,5510×1830×2600,5510×1830×2600,5585*1880*2030,5585*1880*2030,5985*1880*2030,5985*1880*2030,5985*1880*2050,5985*1880*2050,5560*1830*2650,5560*1830*2650,5960*1830*2650,5585×1880×2030,5640*1830*2720,5640*1830*2720,5840*1830*2720,5840*1830*2720,5990*1830*2720,5990*1830*2720,5585*1880*2030,5985*1880*2030,5985*1880*2050,5560*1830*2650,5960*1830*2650
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3400,3600,3400,3600,3600,3400,3400,3600,3600,3400,3400,3600,3600,3400,3600,3400,3400,3400,3400,3400,3400,3400,3600,3600,-,-,-,-,-,3400,3400,3400,3600,3600,3600,3600,3400,3600,3600,3400,3600
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,-,-,-,-,-,-,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,鲸卡T7 2022款 1.6L手动舒适版单排短轴LQ475QMB,鲸卡T7 2022款 1.6L手动舒适版单排长轴LQ475QMB,鲸卡T7 2022款 1.6L手动豪华版单排短轴LQ475QMB,鲸卡T7 2022款 1.6L手动豪华版单排长轴LQ475QMB,鲸卡T7 2022款 2.0L手动豪华版双排长轴LQ481QFB,鲸卡T7 2022款 2.0L手动豪华版双排短轴LQ481QFB,鲸卡T7 2022款 2.0L手动豪华版单排短轴LQ481QFB,鲸卡T7 2022款 2.0L手动豪华版单排长轴LQ481QFB,鲸卡T7 2022款 2.0L手动舒适版双排长轴LQ481QFB,鲸卡T7 2022款 2.0L手动舒适版双排短轴LQ481QFB,鲸卡T7 2022款 2.0L手动舒适版单排短轴LQ481QFB,鲸卡T7 2022款 2.0L手动舒适版单排长轴LQ481QFB,鲸卡T7 2022款 1.6L手动舒适版双排长轴LQ475QMB,鲸卡T7 2022款 1.6L手动舒适版双排短轴LQ475QMB,鲸卡T7 2022款 1.6L手动豪华版双排长轴LQ475QMB,鲸卡T7 2022款 1.6L手动豪华版双排短轴LQ475QMB,鲸卡T7 2022款 2.0L手动豪华版单排厢货LQ481QFB,鲸卡T7 2022款 2.0L手动豪华版单排仓栅LQ481QFB,鲸卡T7 2022款 1.6L手动豪华版单排厢货LQ475QMB,鲸卡T7 2022款 1.6L手动豪华版单排仓栅LQ475QMB,鲸卡T7 2023款 2.0L CNG手动舒适版单排短轴栏板LQ481QSM,鲸卡T7 2023款 2.0L CNG手动豪华版单排短轴栏板LQ481QSM,鲸卡T7 2023款 2.0L CNG手动舒适版单排长轴栏板LQ481QSM,鲸卡T7 2023款 2.0L CNG手动豪华版单排长轴栏板LQ481QSM,鲸卡T7 2023款 2.0L CNG手动舒适版双排长轴栏板LQ481QSM,鲸卡T7 2023款 2.0L CNG手动豪华版双排长轴栏板LQ481QSM,鲸卡T7 2023款 2.0L CNG手动豪华版单排短轴厢货LQ481QSM,鲸卡T7 2023款 2.0L CNG手动豪华版单排长轴厢货LQ481QSM,鲸卡T7 2023款 2.0L CNG手动豪华版双排长轴厢货LQ481QSM,鲸卡T7 2023款 2.0L手动至臻版单排短轴LQ481QFB,鲸卡T7 2023款 2.0L手动舒适型3.3米单排冷藏车LQ481QFB,鲸卡T7 2023款 2.0L手动豪华型3.3米单排冷藏车LQ481QFB,鲸卡T7 2023款 2.0L手动舒适型3.5米单排冷藏车LQ481QFB,鲸卡T7 2023款 2.0L手动豪华型3.5米单排冷藏车LQ481QFB,鲸卡T7 2023款 2.0L手动舒适型3.6米单排冷藏车LQ481QFB,鲸卡T7 2023款 2.0L手动豪华型3.6米单排冷藏车LQ481QFB,鲸卡T7 2023款 2.0L CNG手动舒适版（空调）单排短轴栏板LQ481QSM,鲸卡T7 2023款 2.0L CNG手动舒适版（空调）单排长轴栏板LQ481QSM,鲸卡T7 2023款 2.0L CNG手动舒适版（空调）双排长轴栏板LQ481QSM,鲸卡T7 2023款 2.0L CNG手动豪华版（导流罩）单排短轴厢货LQ481QSM,鲸卡T7 2023款 2.0L CNG手动豪华版（导流罩）单排长轴厢货LQ481QSM
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
