Feature,60295,61121
高度(mm),1540,1540
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,,
驱动电机数,单电机,双电机
驱动方式,,
风阻系数(Cd),-,-
面部识别,●,●
陡坡缓降,-,-
长度(mm),4980,4980
长*宽*高(mm),4980*1840*1540,4980*1840*1540
钥匙类型,,
配气机构,DOHC,DOHC
遥控泊车,-,●
道路救援呼叫,●,●
道路交通标识识别,●,●
远光灯光源,,
进气形式,自然吸气,涡轮增压
近光灯光源,,
辅助驾驶等级,,
轴距(mm),2850,2850
轮圈材质,,
车门数(个),,
车门开启方式,平开门,平开门
车道居中保持,●,●
车道偏离预警系统,●,●
车道保持辅助系统,●,●
车载空气净化器,-,-
车身结构_y,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,皇冠SportCross 2023款 2.5L SportCross HEV两驱尊贵版,皇冠SportCross 2023款 2.4T SportCross HEV四驱至尊版
车前雾灯,-,-
车内香氛装置,○,○
车内环境氛围灯,-,-
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,●,●
车体结构,承载式,承载式
负离子发生器,●,●
语音识别控制系统,,
行车电脑显示屏幕,,
蓝牙/车载电话,●,●
自适应远近光,●,●
自动驻车,●,●
自动泊车入位,-,●
自动头灯,●,●
膝部气囊,,
能源类型_y,油电混合,油电混合
能源类型_x,油电混合,油电混合
胎压监测功能,,
缺气保用轮胎,-,-
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
级别,中大型车,中大型车
系统综合扭矩(N·m),-,550.8
系统综合功率(kW),-,255
系统综合功率(Ps),-,347
简称,E-CVT无级变速,6挡手自一体
第二排座椅调节,-,-
第二排座椅功能,,
空调温度控制方式,,
疲劳驾驶提示,-,-
电机布局,前置,前置+后置
电动机总马力(Ps),120,163
电动机总扭矩(N·m),202,-
电动机总功率(kW),88,119.6
电动机(Ps),120,163
电动座椅记忆功能,,
电动后备厢位置记忆,-,●
电动后备厢,-,●
环保标准_y,国VI,国VI
环保标准_x,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●
燃油标号,92号,95号
温度分区控制,●,●
液晶仪表尺寸,,
油箱容积(L),55,55
气缸数(个),4,4
气缸排列形式,L,L
每缸气门数(个),4,4
最高车速(km/h),180,200
最小离地间隙(mm),139,139
最大马力(Ps),185,269
最大满载质量(kg),-,-
最大扭矩转速(rpm),3600-5200,2000-3000
最大扭矩(N·m)_y,221,460
最大扭矩(N·m)_x,-,550.8
最大功率转速(rpm),6000,5800
最大功率(kW)_y,136,198
最大功率(kW)_x,-,255
最大净功率(kW),-,-
无钥匙进入功能,,
无钥匙启动系统,●,●
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,-,-
方向盘加热,●,●
方向盘位置调节,,
整车质保,,
整备质量(kg),1745,1960
排量(mL),2487,2393
换挡形式,,
挡位个数,无级变速,6
扬声器数量,,
扬声器品牌名称,,
手机无线充电功能,,
