Feature,57812,57813,63449,63450
高度(mm),1453,1453,1453,1453
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱
首任车主质保政策,-,-,-,-
陡坡缓降,-,-,-,-
长度(mm),5090,5090,5090,5090
长*宽*高(mm),5090*1879*1453,5090*1879*1453,5090*1879*1453,5090*1879*1453
钥匙类型,,,,
配气机构,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●
远程启动功能,,,,
远光灯光源,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,
辅助驾驶系统,,,,
辅助驾驶等级,,,,
轴距(mm),3061,3061,3061,3061
轮圈材质,,,,
转向头灯,-,●,-,●
车门数(个),4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●
车道偏离预警系统,●,●,●,●
车道保持辅助系统,●,●,●,●
车载空气净化器,●,●,●,●
车身结构_y,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车型名称,沃尔沃S90新能源 2023款 T8插电式混合动力 四驱长续航智逸豪华版,沃尔沃S90新能源 2023款 T8插电式混合动力 四驱长续航智雅豪华版,沃尔沃S90新能源 2024款 T8插电式混合动力 四驱长续航智逸豪华版,沃尔沃S90新能源 2024款 T8插电式混合动力 四驱长续航智雅豪华版
车前雾灯,-,-,-,-
车内环境氛围灯,-,,-,
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,●,●,●,●
车体结构,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,●
语音连续识别,-,-,●,●
语音识别控制系统,,,,
语音分区域唤醒识别,-,-,,
语音免唤醒词,-,-,●,●
触摸式阅读灯,●,●,●,●
行车电脑显示屏幕,,,,
蓝牙/车载电话,●,●,●,●
自适应远近光,●,●,●,●
自动驻车,●,●,●,●
自动头灯,●,●,●,●
膝部气囊,●,●,●,●
能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,
缺气保用轮胎,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金
级别,中大型车,中大型车,中大型车,中大型车
系统综合扭矩(N·m),709,709,709,709
系统综合功率(kW),335,335,335,335
系统综合功率(Ps),456,456,455,455
简称,8挡自动,8挡自动,8挡自动,8挡自动
第二排座椅调节,-,-,-,-
第二排座椅功能,,,,
空调温度控制方式,,,,
空气悬架,-,○,-,○
离去角(°),17,17,17,17
百公里耗电量(kWh/100km),22.4,22.4,22.4,22.4
