Feature,1014590,1020968,1020969,1020970,1020971,1020972,1020973,1020974,1020975,1020976,1020977,1020978,1020979,1020980,1020981,1020982,1020983,1020984,1020985,1020986,1020987,1020988,1020989,1020990,1020991,1020992,1020993,1020994,1020995,1020996,1020997,1020998,1020999,1021000,1021001,1021002,1021003,1021004,1021005,1021006,1021007,1021008,1021009,1021010,1021011,1021012,1021013,1021014,1021015,1021016
高度(mm),2015,2015,2025,2040,2035,2015,2015,2015,2015,2015,2040,2040,2015,2025,2025,2010,2035,2035,2015,2015,2015,2025,2010,2040,2040,2020,2015,2045,2025,2010,2035,2035,2010,2035,2020,2045,2045,2010,2035,2020,2045,2045,2010,2035,2020,2045,2045,2600,2490,2530
驾驶辅助影像,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5130,4675,5450,5615,5620,4675,5130,5105,5455,5130,5455,5615,5130,5110,5460,5130,5460,5620,4675,5130,5105,5460,5130,5455,5615,4675,5130,5110,5460,5130,5460,5620,5130,5460,5130,5460,5620,5130,5460,5130,5460,5620,5130,5460,5130,5460,5620,5130,5130,5620
长*宽*高(mm),5130×1600×2015,4675*1600*2015,5450*1700*2025,5615*1650*2040,5620*1650*2035,4675*1600*2015,5130*1600*2015,5105*1600*2015,5455*1600*2015,5130*1650*2015,5455*1650*2040,5615*1600*2040,5130*1600*2015,5110*1600*2025,5460*1650*2025,5130*1650*2010,5460*1650*2035,5620*1650*2035,4675*1600*2015,5130*1600*2015,5105*1600*2015,5460*1600*2025,5130*1650*2010,5455*1650*2040,5615*1650*2040,4675*1600*2020,5130*1600*2015,5110*1600*2045,5460*1600*2025,5130*1650*2010,5460*1650*2035,5620*1650*2035,5130*1600*2010,5460*1600*2035,5130*1650*2020,5460*1650*2045,5620*1650*2045,5130*1600*2010,5460*1600*2035,5130*1650*2020,5460*1650*2045,5620*1650*2045,5130*1600*2010,5460*1600*2035,5130*1650*2020,5460*1650*2045,5620*1650*2045,5130*1650*2600,5130*1600*2490,5620*1660*2530
钥匙类型,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
