Feature,52575,53368,53369,53546,53547,59566,59807,59867,59868,63330,66165,66224,66225,66226
高精地图,-,-,-,-,-,○,○,○,○,-,○,○,○,○
高度(mm),1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780
驾驶辅助影像,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,三电机,三电机,三电机,三电机,单电机,三电机,三电机,三电机,三电机
驱动方式,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,●,●,●,●,●,●,●,●,●,●,●,●,●
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●
防侧翻系统,-,-,-,-,-,-,-,-,-,-,●,●,●,●
长度(mm),5042,5042,5042,5042,5042,5042,5042,5042,5042,5042,5042,5042,5042,5042
长*宽*高(mm),5042*1977*1780,5042*1977*1780,5042*1977*1780,5042*1977*1780,5042*1977*1780,5042*1977*1780,5042*1977*1780,5042*1977*1780,5042*1977*1780,5042*1977*1780,5042*1977*1780,5042*1977*1780,5042*1977*1780,5042*1977*1780
钥匙类型,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,●,○,○,●,-,-,-,-,○,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●,-,●,●,●,●
辅助驾驶系统,,,,,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,,,,,
轴距(mm),2984,2984,2984,2984,2984,2984,2984,2984,2984,2984,2984,2984,2984,2984
轮圈材质,,,,,,,,,,,,,,
转向头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,-,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,●,●,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,-,-,-,-,-,,,,,,,,,
车载KTV,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门6座SUV,5门6座SUV,5门6座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门7座SUV,5门5座SUV,5门6座SUV,5门7座SUV,5门7座SUV,5门6座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,
车机系统存储(GB),-,-,-,-,-,,,,,,,,,
车机系统内存(GB),-,-,-,-,-,,,,,,,,,
车机智能芯片,,,,,,,,,,,,,,
车型名称,领克09新能源 2021款 2.0T PHEV Pro 六座,领克09新能源 2021款 2.0T PHEV Ultra 六座,领克09新能源 2021款 2.0T PHEV Halo 六座,领克09新能源 2021款 2.0T PHEV Halo 七座,领克09新能源 2021款 2.0T PHEV Ultra 七座,领克09新能源 2023款 2.0TD EM-P 远航版PM 七座,领克09新能源 2023款 2.0TD EM-P 远航版AM 六座,领克09新能源 2023款 2.0TD EM-P 远航版PM 六座,领克09新能源 2023款 2.0TD EM-P 远航版AM 七座,领克09新能源 2023款 2.0TD EM-P 亚运行政版 五座,领克09新能源 2024款 2.0TD EM-P ULTRA 六座,领克09新能源 2024款 2.0TD EM-P PLUS 七座,领克09新能源 2024款 2.0TD EM-P PRO 七座,领克09新能源 2024款 2.0TD EM-P HALO 六座
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,●,○,○,●,○,-,○,-,●,●,-,-,●
车内环境氛围灯,-,,,,,,-,,-,,,-,,
车内化妆镜,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,,
起步提醒,-,-,-,-,-,-,-,-,-,-,●,●,●,●
语音连续识别,-,-,-,-,-,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,,,,
语音助手唤醒词,-,-,-,-,-,-,-,-,-,-,,,,
语音分区域唤醒识别,-,-,-,-,-,,,,,,,,,
语音免唤醒词,-,-,-,-,-,●,●,●,●,●,●,●,●,●
记忆泊车,-,●,○,○,●,-,-,-,-,-,-,-,-,-
触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动驾驶辅助路段,-,-,-,-,-,-,-,-,-,-,,,,
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,●,●,●,●,-,-,-,-,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动变道辅助,-,●,●,●,●,●,●,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
系统综合扭矩(N·m),659,659,659,659,659,844,844,844,844,659,844,844,844,844
系统综合功率(kW),317,317,317,317,317,382,382,382,382,317,408,408,408,408
系统综合功率(Ps),431,431,431,431,431,520,520,520,520,431,555,555,555,555
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,3挡DHT,3挡DHT,3挡DHT,3挡DHT,8挡手自一体,3挡DHT,3挡DHT,3挡DHT,3挡DHT
第二排独立座椅,●,●,●,-,-,-,●,●,-,-,●,-,-,●
第二排座椅调节,,,,,,,,,,,,,,
第二排座椅电动调节,●,●,●,-,-,-,●,●,-,-,●,-,-,●
第二排座椅功能,-,,,,,,-,,-,,,-,,
第三排座椅调节,-,-,-,-,-,-,-,-,-,-,,-,-,
第三排座椅电动调节,-,-,-,-,-,-,-,-,-,-,●,-,-,●
空载最小离地间隙(mm),225,225,225,225,225,190,190,190,190,225,220,190,190,190
空调温度控制方式,,,,,,,,,,,,,,
空气质量监测,-,-,-,-,-,-,-,-,-,-,●,-,-,●
空气悬架,-,○,-,-,○,-,-,-,-,○,●,-,-,-
离去角(°),20,20,20,20,20,20,20,20,20,20,20,20,20,20
百公里耗电量(kWh/100km),18.7,18.7,18.7,18.7,18.7,26.1,26.1,26.1,26.1,18.7,-,-,-,-
疲劳驾驶提示,-,●,●,●,●,●,●,●,●,●,●,●,●,●
电芯品牌,,,,,,,,,,,,,,
电能当量燃料消耗量(L/100km),2.11,2.11,2.11,2.11,2.11,2.95,2.95,2.95,2.95,2.11,-,-,-,-
电池预加热,●,●,●,●,●,●,●,●,●,-,●,●,●,●
电池能量(kWh),18.83,18.83,18.83,18.83,18.83,40.1,40.1,40.1,40.1,18.83,40.1,40.1,40.1,40.1
电池类型,,,,,,,,,,,,,,
电池快充电量范围(%)_y,-,-,-,-,-,80,80,80,80,-,20-80,20-80,20-80,20-80
电池快充电量范围(%)_x,-,-,-,-,-,80,80,80,80,-,20-80,20-80,20-80,20-80
电池快充时间(小时)_y,-,-,-,-,-,0.47,0.47,0.47,0.47,-,0.47,0.47,0.47,0.47
电池快充时间(小时)_x,-,-,-,-,-,0.47,0.47,0.47,0.47,-,0.47,0.47,0.47,0.47
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,前置+后置,前置+后置,前置+后置,前置+后置,后置,前置+后置,前置+后置,前置+后置,前置+后置
电动机总马力(Ps),177,177,177,177,177,313,313,313,313,177,348,348,348,348
电动机总扭矩(N·m),309,309,309,309,309,629,629,629,629,309,629,629,629,629
电动机总功率(kW),130,130,130,130,130,230,230,230,230,130,256,256,256,256
电动机(Ps),177,177,177,177,177,313,313,313,313,177,348,348,348,348
电动座椅记忆功能,-,,,,,,,,,,,,,
电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
灯光特色功能,,,,,,,,,,,,,,
满载最小离地间隙(mm),190,190,190,190,190,180,180,180,180,190,220,180,180,180
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,
油箱容积(L),50,50,50,50,50,70,70,70,70,50,70,70,70,70
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L
毫米波雷达数量,,,,,,,,,,,,,,
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),230,230,230,230,230,230,230,230,230,230,239,239,239,239
最小转弯半径(m),6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15
最大马力(Ps),254,254,254,254,254,254,254,254,254,254,254,254,254,254
最大满载质量(kg),2935,2935,2935,2935,2935,3020,3020,3020,3020,2935,3020,3020,3020,3020
最大扭矩转速(rpm),1800-4800,1800-4800,1800-4800,1800-4800,1800-4800,1800-4800,1800-4800,1800-4800,1800-4800,1800-4800,1800-4800,1800-4800,1800-4800,1800-4800
最大扭矩(N·m)_y,350,350,350,350,350,350,350,350,350,350,350,350,350,350
