Feature,62039,62041,62042,62044,62047,62048,62049,62050,62051,62052,65311,65312,65313,65314,65315,65316,65317,65318,65319,65320
高度(mm),1691,1691,1691,1691,1691,1691,1691,1691,1691,1691,1691,1691,1691,1691,1691,1691,1691,1691,1691,1691
驾驶辅助影像,-,-,-,-,,,,,,,-,-,-,-,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825,4825
长*宽*高(mm),4825*1870*1691,4825*1870*1691,4825*1870*1691,4825*1870*1691,4825*1870*1691,4825*1870*1691,4825*1870*1691,4825*1870*1691,4825*1870*1691,4825*1870*1691,4825*1870*1691,4825*1870*1691,4825*1870*1691,4825*1870*1691,4825*1870*1691,4825*1870*1691,4825*1870*1691,4825*1870*1691,4825*1870*1691,4825*1870*1691
钥匙类型,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,
轴距(mm),2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
轮圈材质,,,,,,,,,,,,,,,,,,,,
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,●,●,●,●
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,
车型名称,VGV U75PLUS 2023款 2.0TGDI 精英版 5座,VGV U75PLUS 2023款 2.0TGDI 精英版 7座,VGV U75PLUS 2023款 2.0TGDI 卓越版 5座,VGV U75PLUS 2023款 2.0TGDI 卓越版 7座,VGV U75PLUS 2023款 2.0TGDI 奇趣山地版 5座,VGV U75PLUS 2023款 2.0TGDI 奇趣山地版 7座,VGV U75PLUS 2023款 2.0TGDI 梦幻旅行版 5座,VGV U75PLUS 2023款 2.0TGDI 梦幻旅行版 7座,VGV U75PLUS 2023款 2.0TGDI 贵宾版 5座,VGV U75PLUS 2023款 2.0TGDI 贵宾版 7座,VGV U75PLUS 2024款 2.0TGDI 精英版 5座,VGV U75PLUS 2024款 2.0TGDI 精英版 7座,VGV U75PLUS 2024款 2.0TGDI 卓越版 5座,VGV U75PLUS 2024款 2.0TGDI 卓越版 7座,VGV U75PLUS 2024款 2.0TGDI 奇趣山地版 5座,VGV U75PLUS 2024款 2.0TGDI 奇趣山地版 7座,VGV U75PLUS 2024款 2.0TGDI 梦幻旅行版 5座,VGV U75PLUS 2024款 2.0TGDI 梦幻旅行版 7座,VGV U75PLUS 2024款 2.0TGDI 贵宾版 5座,VGV U75PLUS 2024款 2.0TGDI 贵宾版 7座
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,,,,,,,,,,,,,,,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,-,-,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●
