Feature,1018311,1018312,1018313,1018314,1018315,1018316,1018317,1018318,1018322,1018323,1018324,1018325,1018326,1018327,1018328,1018329,1018330,1018331,1018345,1018346,1018347,1018348,1018349,1018350,1018351,1018352,1018353,1018354,1018355,1018356,1018357,1018358,1018359,1018360,1018361,1019679,1019680,1020141,1020142,1020792,1020793,1020794,1020795,1020796
高度(mm),2545,2545,2525,2740,2545,2545,2525,2740,2365,2535,2535,2365,2535,2535,2365,2535,2535,2535,2545,2545,2525,2740,2545,2545,2525,2740,2555,2555,2555,2535,2755,2555,2555,2535,2755,2525,2525,2525,2525,2525,2525,2525,2525,2525
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5498,5498,5940,5940,5498,5498,5940,5940,5180,5180,5498,5180,5180,5498,5180,5180,5498,5498,5498,5498,5940,5940,5498,5498,5940,5940,5180,5498,5498,5940,5940,5180,5498,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940,5940
长*宽*高(mm),5498×2062×2545,5498×2062×2545,5940×2110×2525,5940×2110×2740,5498×2062×2545,5498×2062×2545,5940×2110×2525,5940×2110×2740,5180*2062*2365,5180*2062*2535,5498*2062*2535,5180*2062*2365,5180*2062*2535,5498*2062*2535,5180*2062*2365,5180*2062*2535,5498*2062*2535,5498*2062*2535,5498×2062×2545,5498×2062×2545,5940×2110×2525,5940×2110×2740,5498×2062×2545,5498×2062×2545,5940×2110×2525,5940×2110×2740,5180*2062*2555,5498*2062*2555,5498*2062*2555,5940*2110*2535,5940*2110*2755,5180*2062*2555,5498*2062*2555,5940*2110*2535,5940*2110*2755,5940*2110*2525,5940*2110*2525,5940*2110*2525,5940*2110*2525,5940*2110*2525,5940*2110*2525,5940*2110*2525,5940*2110*2525,5940*2110*2525
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
