Feature,63860,63861,63862,63863,63864
高度(mm),1663,1658,1658,1654,1654
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,,,,,
驱动电机数,单电机,单电机,单电机,双电机,双电机
驱动方式,,,,,
风阻系数(Cd),-,-,-,-,-
面部识别,●,●,●,●,●
陡坡缓降,-,-,-,-,-
长度(mm),4603,4603,4603,4603,4603
长*宽*高(mm),4603*1900*1663,4603*1900*1658,4603*1900*1658,4603*1900*1654,4603*1900*1654
钥匙类型,,,,,
道路救援呼叫,●,●,●,●,●
道路交通标识识别,●,●,●,●,●
远程启动功能,,,,,
远光灯光源,,,,,
近光灯光源,,,,,
辅助驾驶系统,,,,,
辅助驾驶等级,,,,,
轴距(mm),2775,2775,2775,2775,2775
轮圈材质,,,,,
车顶行李架,-,-,●,●,●
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●
车载空气净化器,●,●,●,●,●
车载智能系统,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,ARIYA艾睿雅 2023款 500,ARIYA艾睿雅 2023款 600,ARIYA艾睿雅 2023款 600 Plus,ARIYA艾睿雅 2023款 Performance,ARIYA艾睿雅 2023款 Performance Plus
车前雾灯,,,,,
车内环境氛围灯,,,,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
语音识别控制系统,,,,,
语音分区域唤醒识别,,,,,
行车电脑显示屏幕,,,,,
蓝牙/车载电话,●,●,●,●,●
自适应远近光,●,●,●,●,●
自动驻车,●,●,●,●,●
自动泊车入位,-,-,-,-,●
自动头灯,●,●,●,●,●
自动变道辅助,-,●,●,●,●
能量回收系统,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-
第二排座椅功能,,,,,
空调温度控制方式,,,,,
空气质量监测,●,●,●,●,●
移动物体预警系统,-,-,●,●,●
离去角(°),20,20,20,20,20
百公里耗电量(kWh/100km),14.5,16,16,17.8,18.7
疲劳驾驶提示,●,●,●,●,●
电池预加热,●,●,●,●,●
电池能量(kWh),65,90,90,90,90
电池类型,,,,,
电池慢充电量范围(%)_y,10-100,10-100,10-100,10-100,10-100
电池慢充电量范围(%)_x,10-100,10-100,10-100,10-100,10-100
电池慢充时间(小时)_y,10,14,14,14,14
电池慢充时间(小时)_x,10,14,14,14,14
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.42,0.5,0.5,0.5,0.5
电池快充时间(小时)_x,0.42,0.5,0.5,0.5,0.5
电池冷却方式,液冷,液冷,液冷,液冷,液冷
电机类型,励磁/同步,励磁/同步,励磁/同步,励磁/同步,励磁/同步
电机布局,前置,前置,前置,前置+后置,前置+后置
电动机总马力(Ps),218,242,242,394,394
电动机总扭矩(N·m),300,300,300,600,600
电动机总功率(kW),160,178,178,290,290
电动机(Ps),218,242,242,394,394
电动座椅记忆功能,,,,,
电动后备厢位置记忆,-,-,●,●,●
电动后备厢,-,-,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
热泵空调,●,●,●,●,●
满载最小离地间隙(mm),141,141,141,140,140
温度分区控制,●,●,●,●,●
液晶仪表尺寸,,,,,
毫米波雷达数量,,,,,
最高车速(km/h),160,160,160,200,200
最小转弯半径(m),5.4,5.4,5.4,5.4,5.4
最大满载质量(kg),-,-,-,-,-
最大扭矩(N·m),300,300,300,600,600
最大功率(kW),160,178,178,290,290
无钥匙进入功能,,,,,
无钥匙启动系统,●,●,●,●,●
方向盘记忆,●,●,●,●,●
方向盘材质,,,,,
方向盘换挡,-,-,-,-,-
方向盘加热,●,●,●,●,●
方向盘位置调节,,,,,
整车质保,,,,,
整备质量(kg),1935,2106,2116,2245,2269
摄像头数量,,,,,
接近角(°),17,17,17,17,17
换挡形式,,,,,
挡位个数,1,1,1,1,1
扬声器数量,,,,,
扬声器品牌名称,-,-,-,-,
手机无线充电功能,,,,,
手机互联/映射,-,-,-,-,-
手机APP远程功能,,,,,
感应雨刷功能,,,,,
感应后备厢,-,-,-,-,●
快充功能,支持,支持,支持,支持,支持
座椅材质,,,,,
座位数(个),,,,,
并线辅助,●,●,●,●,●
巡航系统,,,,,
导航路况信息显示,●,●,●,●,●
宽度(mm),1900,1900,1900,1900,1900
官方0-100km/h加速(s),-,-,-,-,-
安全带未系提醒,,,,,
天窗类型,,,,,
大灯高度可调,●,●,●,●,●
大灯延时关闭,●,●,●,●,●
多层隔音玻璃,-,,,,
多媒体/充电接口,,,,,
多功能方向盘,●,●,●,●,●
外后视镜功能,,,,,
备胎规格,,,,,
地图品牌,,,,,
四驱形式,-,-,-,,
后雨刷,●,●,●,●,●
后轮距(mm),1639,1639,1639,1639,1629
后轮胎规格,,,,,
