Feature,62314,63209,66811,70925,70926,70927
魔毯智能悬架,○,-,-,-,○,○
高度(mm),1838,1838,1838,1838,1838,1838
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动方式,,,,,,
风阻系数(Cd),-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●
长度(mm),5208,5208,5208,5208,5208,5208
长*宽*高(mm),5208*2030*1838,5208*2030*1838,5208*2030*1838,5208*2030*1838,5208*2030*1838,5208*2030*1838
钥匙类型,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●
远程启动功能,,,,,,
远光灯光源,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,
辅助驾驶等级,,,,,,
轴距(mm),3135,3135,3135,3135,3135,3135
轮圈材质,,,,,,
转向头灯,●,●,●,●,●,●
车顶行李架,●,●,●,●,●,●
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●
车载智能系统,,,,,,
车载冰箱,○,-,○,○,○,○
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门4座SUV,5门4座SUV,5门5座SUV,5门5座SUV,5门4座SUV,5门4座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,迈巴赫GLS 2024款 GLS 600 4MATIC 礼乐版,迈巴赫GLS 2024款 GLS 600 4MATIC 极夜版,迈巴赫GLS 2024款 GLS 480 4MATIC,迈巴赫GLS 2025款 GLS 480 4MATIC,迈巴赫GLS 2025款 GLS 600 4MATIC 礼乐版,迈巴赫GLS 2025款 GLS 600 4MATIC 极夜版
车前雾灯,-,-,-,-,-,-
车内香氛装置,●,●,●,●,●,●
车内环境氛围灯,,,,,,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车侧脚踏板,,,,,,
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,●,●,●
语音识别控制系统,,,,,,
语音助手唤醒词,,,,,,
行车电脑显示屏幕,,,,,,
行李厢12V电源接口,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●
自动变道辅助,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●
能源类型_y,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
能源类型_x,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
胎压监测功能,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV
简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
第二排独立座椅,●,●,○,○,●,●
第二排座椅调节,,,,,,
第二排座椅电动调节,●,●,●,●,●,●
第二排座椅功能,,,,,,
空调温度控制方式,,,,,,
空气悬架,●,●,●,●,●,●
离去角(°),24.3,24.3,24.3,24.3,24.3,24.3
疲劳驾驶提示,●,●,●,●,●,●
电动座椅记忆功能,,,,,,
电动吸合车门,,,,,,
电动后备厢位置记忆,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号
灯光特色功能,,,,,,
温度分区控制,●,●,●,●,●,●
液晶仪表尺寸,,,,,,
油箱容积(L),90,90,90,90,90,90
气缸数(个),8,8,6,6,8,8
气缸排列形式,V,V,L,L,V,V
每缸气门数(个),4,4,4,4,4,4
最高车速(km/h),250,250,240,240,250,250
最大马力(Ps),558,558,381,381,558,558
最大满载质量(kg),3360,3360,3240,3240,3360,3360
最大扭矩转速(rpm),2500-5000,2500-5000,1800-5000,1800-5000,2500-5000,2500-5000
最大扭矩(N·m)_y,770,770,500,500,770,770
最大扭矩(N·m)_x,770,770,500,500,770,770
最大功率转速(rpm),6500,6500,6000,6000,6500,6500
最大功率(kW)_y,410,410,280,280,410,410
最大功率(kW)_x,410,410,280,280,410,410
最大净功率(kW),410,410,280,280,410,410
无钥匙进入功能,,,,,,
无钥匙启动系统,●,●,●,●,●,●
方向盘记忆,●,●,●,●,●,●
方向盘材质,,,,,,
方向盘换挡,●,●,●,●,●,●
方向盘加热,●,●,●,●,●,●
方向盘位置调节,,,,,,
整车质保,,,,,,
整备质量(kg),2817,2817,2640,2640,2817,2817
接近角(°),27.8,27.8,27.8,27.8,27.8,27.8
排量(mL),3982,3982,2999,2999,3982,3982
换挡形式,,,,,,
挡位个数,9,9,9,9,9,9
扬声器数量,,,,,,
扬声器品牌名称,,,,,,
手机无线充电功能,,,,,,
手机互联/映射,,,,,,
手机APP远程功能,,,,,,
手势控制,●,●,●,●,●,●
感应雨刷功能,,,,,,
感应后备厢,●,●,●,●,●,●
座椅材质,,,,,,
座位数(个),,,,,,
并线辅助,●,●,●,●,●,●
巡航系统,,,,,,
导航路况信息显示,●,●,●,●,●,●
宽度(mm),2030,2030,2030,2030,2030,2030
官方0-100km/h加速(s),4.9,4.9,6.6,6.6,4.9,4.9
安全带未系提醒,,,,,,
天窗类型,,,,,,
大灯高度可调,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●
多媒体/充电接口,,,,,,
多功能方向盘,●,●,●,●,●,●
外后视镜功能,,,,,,
备胎规格,,,,,,
地图品牌,,,,,,
四驱形式,,,,,,
后雨刷,●,●,●,●,●,●
后轮距(mm),-,-,-,-,-,-
后轮胎规格,,,,,,
后排独立空调,●,●,●,●,●,●
后排液晶屏幕尺寸,,,,,,
后排液晶屏幕,,,,,,
后排杯架,●,●,●,●,●,●
后排控制多媒体,●,●,●,●,●,●
后排座椅放倒形式,-,-,-,-,-,-
后排小桌板,○,-,○,○,○,○
后排多媒体屏幕数量,,,,,,
后排侧隐私玻璃,●,●,●,●,●,●
后排侧窗遮阳帘,,,,,,
后悬架类型,,,,,,
后座出风口,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-
后制动器类型,,,,,,
可变转向比,●,●,●,●,●,●
可变悬架功能,,,,,,
可加热喷水嘴,●,●,●,●,●,●
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
发动机电子防盗,●,●,●,●,●,●
发动机布局,纵置,纵置,纵置,纵置,纵置,纵置
发动机型号,177 980,177 980,256 930,256 930,177 980,177 980
发动机启停技术,●,●,●,●,●,●
发动机,4.0T 558马力 V8,4.0T 558马力 V8,3.0T 381马力 L6,3.0T 381马力 L6,4.0T 558马力 V8,4.0T 558马力 V8
厂商指导价(元),248.80万,278.80万,183.30万,183.30万,248.80万,278.80万
厂商,梅赛德斯-迈巴赫,梅赛德斯-迈巴赫,梅赛德斯-迈巴赫,梅赛德斯-迈巴赫,梅赛德斯-迈巴赫,梅赛德斯-迈巴赫
卫星导航系统,●,●,●,●,●,●
助力类型,,,,,,
加热/制冷杯架,,,,,,
副驾驶位后排可调节按钮,●,●,●,●,●,●
副座椅调节方式,,,,,,
前轮距(mm),-,-,-,-,-,-
前轮胎规格,,,,,,
前方碰撞预警,●,●,●,●,●,●
前排座椅功能,,,,,,
前悬架类型,,,,,,
前制动器类型,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●
内置行车记录仪,●,●,●,●,●,●
内后视镜功能,,,,,,
全液晶仪表盘,●,●,●,●,●,●
侧窗多层隔音玻璃,,,,,,
供油方式,直喷,直喷,直喷,直喷,直喷,直喷
主座椅调节方式,,,,,,
主动降噪,○,○,○,○,○,○
主动刹车/主动安全系统,●,●,●,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,
中控屏幕尺寸,,,,,,
中央差速器结构,,,,,,
上市时间,2024.02,2024.04,2024.02,2024.11,2024.11,2024.11
上坡辅助,●,●,●,●,●,●
WLTC综合油耗(L/100km),12.8,12.8,10.3,10.3,12.8,12.8
USB/Type-C接口数量,,,,,,
OTA升级,●,●,●,●,●,●
LED日间行车灯,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●
HUD抬头数字显示,●,●,●,●,●,●
ETC装置,○,○,○,○,○,○
AR实景导航,●,●,●,●,●,●
ABS防抱死,●,●,●,●,●,●
4G/5G网络,,,,,,
