Feature,41234,42902,42903,42904,42905,43007,43008,43009
高度(mm),1725,1725,1725,1725,1725,1725,1725,1725
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,双电机,单电机,单电机,双电机,双电机,双电机,双电机,双电机
驱动方式,双电机四驱,前置前驱,前置前驱,双电机四驱,双电机四驱,双电机四驱,双电机四驱,双电机四驱
面部识别,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,-,-,-,-,,,
长度(mm),4890,4890,4890,4890,4890,4890,4890,4890
长*宽*高(mm),4890*1950*1725,4890*1950*1725,4890*1950*1725,4890*1950*1725,4890*1950*1725,4890*1950*1725,4890*1950*1725,4890*1950*1725
钥匙类型,,,,,,,,
配气机构,DOHC,-,-,-,-,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,
远光灯光源,,,,,,,,
进气形式,涡轮增压,-,-,-,-,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-
辅助驾驶等级,,,,,,,,
轴距(mm),2820,2820,2820,2820,2820,2820,2820,2820
轮圈材质,,,,,,,,
转向辅助灯,●,-,●,●,●,-,●,●
转向头灯,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,
车型名称,腾势X 2020款 PHEV旗舰版,腾势X 2020款 纯电启航版,腾势X 2020款 纯电经典版,腾势X 2020款 纯电运动版,腾势X 2020款 纯电旗舰版,腾势X 2020款 PHEV启航版,腾势X 2020款 PHEV经典版,腾势X 2020款 PHEV运动版
车前雾灯,-,-,-,-,-,-,-,-
