Feature,60771,60772,60773,60795,60796,60797,61775,61776,66527,67324,67332,67333,68254,68661
高度(mm),1631,1631,1641,1695,1695,1705,1631,1695,1695,1647,1638,1638,1705,1695
驾驶辅助影像,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,●,-,●,●,-,-,-,-,-,-,●,●
限滑差速器/差速锁,-,-,,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4662,4662,4662,4845,4845,4845,4662,4845,4822,4641,4641,4641,4822,4822
长*宽*高(mm),4662*1883*1631,4662*1883*1631,4662*1883*1641,4845*1883*1695,4845*1883*1695,4845*1883*1705,4662*1883*1631,4845*1883*1695,4822*1883*1695,4641*1883*1647,4641*1883*1638,4641*1883*1638,4822*1883*1705,4822*1883*1695
钥匙类型,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,-,-,-,-,-,-,-,●,●,-,-,●,●
远程启动功能,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,
辅助驾驶系统,-,-,-,-,-,-,-,-,,,,,,
辅助驾驶等级,-,-,-,-,-,-,-,-,,,,,,
轴距(mm),2779,2779,2779,2833,2833,2833,2779,2833,2833,2779,2779,2779,2833,2833
轮圈材质,,,,,,,,,,,,,,
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,-,-,-,-,●,●,-,-,●,●
车道偏离预警系统,●,●,●,●,●,●,-,-,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,-,-,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,●,-,-,-,-,-,-,●,-
车载智能系统,,,,,,,,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,
车机智能芯片,-,-,-,-,-,-,-,-,,,,,,
