Feature,62059,62060,62061,62062,62063,62064,62065,62066,62067,62068,62069,62070,64504,64505,64506,64507,64508,64509,64510,64511,65033,65034,65035,65599,65600,65601,65933,65934,65935,66251,66252,66253,66331,66332,66333,66334,66335,66336
高度(mm),1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
驾驶辅助影像,-,,-,-,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890
长*宽*高(mm),4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
