Feature,1011844,1011845,1011846,1011847,1011848,1013008,1014165,1015792,1018099
高度(mm),1950,1950,1950,1950,1950,1950,1950,1950,1950
驾驶辅助影像,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-
长度(mm),4430,4430,4430,4430,4430,4430,4430,4430,4430
长*宽*高(mm),4430×1655×1950,4430×1655×1950,4430×1655×1950,4430×1655×1950,4430×1655×1950,4430×1655×1950,4430×1655×1950,4430×1655×1950,4430*1655*1950
钥匙类型,,,,,,,,,
远光灯光源,,,,,,,,,
近光灯光源,,,,,,,,,
轴距(mm),2800,2800,2800,2800,2800,2800,2800,2800,2800
轮圈材质,,,,,,,,,
车门数(个),,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,客车,货车,货车,客车
车身结构_x,货车,货车,货车,货车,货车,客车,货车,货车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-
车型名称,长安之星9EV 2021款 纯电动厢式运输车2座55kW,长安之星9EV 2021款 纯电动厢式运输车2座60kW,长安之星9EV 2021款 纯电动厢式运输车2座70kW,长安之星9EV 2021款 纯电动厢式运输车5座60kW,长安之星9EV 2021款 纯电动厢式运输车5座70kW,长安之星9EV 2022款 纯电动客车7座60kW,长安之星9EV 2022款 纯电动厢式运输车创富版2座55kW,长安之星9EV 2023款 纯电动厢式运输车财富版2座55kW,长安之星9EV 2024款 纯电动客车舒适型7座35.9kWh
车前雾灯,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-
