Feature,66949,67001,67041,67042,67043,67044,69959
高度(mm),1630,1630,1630,1630,1630,1630,1630
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,,,,,,,
驱动电机数,-,单电机,单电机,-,-,-,单电机
驱动方式,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-
防侧翻系统,●,●,●,●,●,●,●
长度(mm),4612,4612,4612,4612,4612,4612,4612
长*宽*高(mm),4612*1887*1630,4612*1887*1630,4612*1887*1630,4612*1887*1630,4612*1887*1630,4612*1887*1630,4612*1887*1630
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,●,●,●,●,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,
辅助驾驶系统,,-,,-,-,,
辅助驾驶等级,,-,,-,-,,
轴距(mm),2711,2711,2711,2711,2711,2711,2711
轮圈材质,,,,,,,
转向辅助灯,●,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●
车门数(个),,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,●,-,-,●,●
车道偏离预警系统,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●
车载智能系统,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车机智能芯片,,,,,,,
