Feature,60930,65083
高度(mm),1940,1940
驾驶辅助影像,-,-
驾驶模式切换,-,-
驻车制动类型,,
驱动方式,,
风阻系数(Cd),-,-
陡坡缓降,-,-
限滑差速器/差速锁,-,
长度(mm),4360,4360
长*宽*高(mm),4360*1890*1940,4360*1890*1940
钥匙类型,,
配气机构,DOHC,DOHC
远光灯光源,,
进气形式,涡轮增压,涡轮增压
近光灯光源,,
轴距(mm),2620,2620
轮圈材质,,
车门数(个),,
车门开启方式,平开门,平开门
车道偏离预警系统,-,-
车道保持辅助系统,-,-
车载空气净化器,-,-
车身结构_y,SUV,SUV
车身结构_x,4门5座SUV,4门5座SUV
车身稳定控制(ESC/ESP/DSC等),-,-
车联网,-,-
车窗防夹手功能,-,-
车窗一键升降功能,-,-
车型名称,212经典 2023款 狙击手 2.4T 手动轻装款,212经典 2023款  狙击手 2.4T 手动加强版
车前雾灯,,
车内环境氛围灯,-,-
车内化妆镜,-,-
车内中控锁,-,-
车内PM2.5过滤装置,-,-
车侧脚踏板,,
车体结构,非承载式,非承载式
语音识别控制系统,-,-
行车电脑显示屏幕,,
行程(mm),100,100
蓝牙/车载电话,-,-
自适应远近光,-,-
自动驻车,-,-
自动头灯,-,-
能源类型_y,汽油,汽油
能源类型_x,汽油,汽油
胎压监测功能,,
缸盖材料,铝合金,铝合金
缸径(mm),87,87
缸体材料,铝合金,铝合金
级别,小型SUV,小型SUV
简称,6挡手动,6挡手动
第二排座椅调节,-,-
空调温度控制方式,,
离去角(°),35,35
疲劳驾驶提示,-,-
电动座椅记忆功能,-,-
电动后备厢,-,-
环保标准_y,国VI,国VI
环保标准_x,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-
燃油标号,92号,92号
满载最小离地间隙(mm),245,245
温度分区控制,-,-
液晶仪表尺寸,-,-
油箱容积(L),70,70
气缸数(个),4,4
气缸排列形式,L,L
每缸气门数(个),4,4
最高车速(km/h),130,130
最大马力(Ps),211,211
最大满载质量(kg),2510,2510
最大扭矩转速(rpm),2000-4000,2000-4000
最大扭矩(N·m)_y,320,320
最大扭矩(N·m)_x,320,320
最大功率转速(rpm),5200,5200
最大功率(kW)_y,155,155
最大功率(kW)_x,155,155
最大净功率(kW),150,150
无钥匙进入功能,-,-
无钥匙启动系统,-,-
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,-,-
方向盘加热,-,-
方向盘位置调节,,
整车质保,,
整备质量(kg),1860,1860
接近角(°),47,47
排量(mL),2378,2378
换挡形式,,
挡位个数,6,6
扬声器数量,,
扬声器品牌名称,-,-
手机无线充电功能,-,-
手机互联/映射,-,-
感应雨刷功能,-,-
座椅材质,,
座位数(个),,
并线辅助,-,-
巡航系统,-,-
导航路况信息显示,-,-
宽度(mm),1890,1890
官方0-100km/h加速(s),-,-
安全带未系提醒,,
天窗类型,-,-
大灯高度可调,●,●
大灯延时关闭,-,-
多媒体/充电接口,,
多功能方向盘,-,-
外后视镜功能,-,-
备胎规格,,
四驱形式,,
后雨刷,-,-
后轮距(mm),1540,1540
后轮胎规格,,
后排独立空调,-,-
后排杯架,-,-
后排座椅放倒形式,-,-
后悬架类型,,
后座出风口,-,-
后备厢容积(L),-,-
后制动器类型,,
变速箱类型,手动变速箱(MT),手动变速箱(MT)
变速箱,6挡手动,6挡手动
发动机电子防盗,-,-
发动机布局,纵置,纵置
发动机型号,4K22D4T,4K22D4T
发动机,2.4T 211马力 L4,2.4T 211马力 L4
压缩比,9.6,9.6
厂商指导价(元),9.99万,10.59万
厂商,北京汽车制造厂,北京汽车制造厂
卫星导航系统,-,-
助力类型,,
副驾驶位后排可调节按钮,-,-
副座椅调节方式,,
前轮距(mm),1540,1540
前轮胎规格,,
前排座椅功能,-,-
前悬架类型,,
前制动器类型,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,-,-
前/后排头部气囊(气帘),-,-
前/后排侧气囊,-,-
前/后中央扶手,-,-
刹车辅助(EBA/BAS/BA等),-,-
制动力分配(EBD/CBC等),●,●
准拖挂车总质量(kg),2000,2000
内后视镜功能,,
全液晶仪表盘,-,-
供油方式,多点电喷,多点电喷
主座椅调节方式,,
主动刹车/主动安全系统,-,-
主/副驾驶座电动调节,-,-
主/副驾驶座安全气囊,-,-
中控彩色屏幕,-,-
中控屏幕尺寸,-,-
上市时间,2022.12,2023.09
上坡辅助,-,-
WLTC综合油耗(L/100km),9.70,9.70
USB/Type-C接口数量,,
OTA升级,-,-
LED日间行车灯,-,-
ISOFIX儿童座椅接口,-,-
ABS防抱死,●,●
