Feature,57472,58314,60716,60717,61228,62423,62750
高度(mm),1515,1515,1515,1515,1515,1515,1515
驾驶辅助影像,-,,-,,,-,-
驾驶模式切换,,,,,,-,-
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-
长度(mm),3732,3732,3732,3732,3732,3732,3732
长*宽*高(mm),3732*1579*1515,3732*1579*1515,3732*1579*1515,3732*1579*1515,3732*1579*1515,3732*1579*1515,3732*1579*1515
钥匙类型,,,,,,,
远程启动功能,-,-,-,-,-,,
远光灯光源,,,,,,,
近光灯光源,,,,,,,
轴距(mm),2423,2423,2423,2423,2423,2423,2423
轮圈材质,,,,,,,
车顶行李架,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门4座SUV,5门4座SUV,5门4座SUV,5门4座SUV,5门4座SUV,5门4座SUV,5门4座SUV
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-
车联网,-,●,-,●,●,-,-
车窗防夹手功能,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-
车型名称,纳米BOX 2022款 追风版 331KM 标准型,纳米BOX 2022款 追风版 331KM 进阶型,纳米BOX 2022款 追风版 351KM 标准型,纳米BOX 2022款 追风版 351KM 进阶型,纳米BOX 2022款 轻风版 201KM 进阶型,纳米BOX 2022款 改款 轻风版 201KM 标准型,纳米BOX 2022款 冠军款 轻风版 201KM 标准型
车前雾灯,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,,-,,,-,-
行车电脑显示屏幕,,,,,,,
蓝牙/车载电话,-,●,-,●,●,-,-
自适应远近光,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,
离去角(°),32,32,32,32,32,32,32
百公里耗电量(kWh/100km),-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-
电池预加热,●,●,●,●,●,●,●
电池能量密度(Wh/kg),151,151,148,148,110,110,110
电池能量(kWh),27.17,27.17,28.9,28.9,15.974,15.974,15.974
电池组质保,八年或12万公里,八年或12万公里,八年或12万公里,八年或12万公里,八年或12万公里,八年或12万公里,八年或12万公里
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池冷却方式,风冷,风冷,风冷,风冷,风冷,风冷,风冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置
电动机总扭矩(N·m),125,125,125,125,125,125,125
电动机总功率(kW),33,33,33,33,33,33,33
电动机总功率(Ps),45,45,45,45,45,45,45
电动机(Ps),45,45,45,45,45,45,45
电动座椅记忆功能,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-
满载最小离地间隙(mm),150,150,150,150,150,150,150
温度分区控制,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,
最高车速(km/h),100,100,100,100,100,100,100
最大满载质量(kg),1240,1240,1240,1240,1191,1191,1191
最大扭矩(N·m),125,125,125,125,125,125,125
最大功率(kW),33,33,33,33,33,33,33
无钥匙进入功能,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-
方向盘材质,,,,,,,
方向盘换挡,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg),921,921,921,921,872,872,872
接近角(°),23,23,23,23,23,23,23
换挡形式,,,,,,,
挡位个数,1,1,1,1,1,1,1
扬声器数量,-,,-,,,-,-
扬声器品牌名称,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-
手机互联/映射,-,,-,,,-,-
手机APP远程功能,,,,,,,
慢充时间(小时)_y,4,4,4,4,3,3,3
慢充时间(小时)_x,4,4,4,4,3,3,3
感应雨刷功能,-,-,-,-,-,-,-
快充电量百分比,80,80,80,80,80,80,80
快充电量(%),80,80,80,80,80,80,80
快充时间(小时)_y,0.5,0.5,0.5,0.5,0.533,0.533,0.533
快充时间(小时)_x,0.5,0.5,0.5,0.5,0.533,0.533,0.533
快充功能,支持,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,,
座位数(个),4,4,4,4,4,4,4
并线辅助,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-
宽度(mm),1579,1579,1579,1579,1579,1579,1579
官方0-50km/h加速(s),6,6,6,6,7,7,7
官方0-100km/h加速(s),-,-,-,-,-,-,-
安全带未系提醒,,,,,,,
天窗类型,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●
大灯延时关闭,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,
多功能方向盘,-,-,-,-,-,-,-
外后视镜功能,,,,,,,
备胎规格,无,无,无,无,无,无,无
四驱形式,-,-,-,-,-,-,-
后雨刷,-,●,-,●,●,-,-
后轮距(mm),1365,1365,1365,1365,1365,1365,1365
后轮胎规格,165/70 R14,165/70 R14,165/70 R14,165/70 R14,165/70 R14,165/70 R14,165/70 R14
后排独立空调,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
后座出风口,-,-,-,-,-,-,-
后备厢容积(L),300-1107,300-1107,300-1107,300-1107,300-1107,300-1107,300-1107
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),6.97万,7.37万,7.07万,7.47万,5.37万,4.87万,4.97万
厂商,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车,东风汽车
卫星导航系统,-,-,-,-,-,-,-
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,
前轮距(mm),1380,1380,1380,1380,1380,1380,1380
前轮胎规格,165/70 R14,165/70 R14,165/70 R14,165/70 R14,165/70 R14,165/70 R14,165/70 R14
前电动机最大扭矩(N·m),125,125,125,125,125,125,125
前电动机最大功率(kW),33,33,33,33,33,33,33
前排座椅功能,-,-,-,-,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,●,●
内后视镜功能,-,,-,,,-,-
全液晶仪表盘,●,●,●,●,●,●,●
低速行车警告,●,●,●,●,●,●,●
主座椅调节方式,,,,,,,
主动刹车/主动安全系统,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,-,,-,,,-,-
中控屏幕尺寸,-,,-,,,-,-
中央差速器结构,-,-,-,-,-,-,-
上市时间,2022.07,2022.07,2022.11,2022.11,2023.01,2023.04,2023.04
上坡辅助,-,-,-,-,-,-,-
USB/Type-C接口数量,,,,,,,
OTA升级,-,-,-,-,-,-,-
LED日间行车灯,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●
CLTC纯电续航里程(km)_y,331,331,351,351,201,201,201
CLTC纯电续航里程(km)_x,331,331,351,351,201,201,201
ABS防抱死,●,●,●,●,●,●,●
