Feature,1009161,1009162,1012284,1012285,1012286,1012287,1014136,1014137,1014138,1014139
高度(mm),1750,1750,1770,1770,1755,1755,1770,1770,1755,1755
驾驶辅助影像,-,-,,,-,-,,,-,-
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-
长度(mm),4390,4390,4420,4420,4420,4420,4420,4420,4420,4420
长*宽*高(mm),4390×1660×1750,4390×1660×1750,4420×1685×1770,4420×1685×1770,4420×1685×1755,4420×1685×1755,4420×1685×1770,4420×1685×1770,4420×1685×1755,4420×1685×1755
钥匙类型,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,
轴距(mm),2720,2720,2720,2720,2720,2720,2720,2720,2720,2720
轮圈材质,,,,,,,,,,
车顶行李架,-,-,●,●,-,-,●,●,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5
车身结构_y,客车,货车,客车,客车,客车,货车,客车,客车,客车,货车
车身结构_x,客车,货车,客车,客车,客车,货车,客车,客车,客车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-
车型名称,五菱宏光 2020款 1.2L S基本型国VI LSI,五菱宏光 2020款 1.2L S基本型封窗车国VI LSI,五菱宏光 2021款 1.5L改款 S舒适型 电动助力LAR,五菱宏光 2021款 1.5L改款 S标准型 电动助力LAR,五菱宏光 2021款 1.5L改款 S基本型 电动助力LAR,五菱宏光 2021款 1.5L改款 S基本型封窗车 电动助力LAR,五菱宏光 2021款 1.5L改款 S舒适型 液压助力LAR,五菱宏光 2021款 1.5L改款 S标准型 液压助力LAR,五菱宏光 2021款 1.5L改款 S基本型 液压助力LAR,五菱宏光 2021款 1.5L改款 S基本型封窗车 液压助力LAR
车前雾灯,-,-,,,-,-,,,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,●,○,-,-,●,○,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,-,,,,-,,,,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
简称,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
第二排座椅调节,,-,,,,-,,,,-
空调温度控制方式,,,,,,,,,,
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-
油箱容积(L),50,50,50,50,50,50,50,50,50,50
气缸数(个),4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4
最高车速(km/h),120,120,155,155,155,155,155,155,155,155
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-
最大马力(Ps),76,76,99,99,99,99,99,99,99,99
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),3000-4000,3000-4000,3400-4400,3400-4400,3400-4400,3400-4400,3400-4400,3400-4400,3400-4400,3400-4400
最大扭矩(N·m)_y,110,110,140,140,140,140,140,140,140,140
最大扭矩(N·m)_x,110,110,140,140,140,140,140,140,140,140
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-
最大功率(kW)_y,56,56,73,73,73,73,73,73,73,73
最大功率(kW)_x,56,56,73,73,73,73,73,73,73,73
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,-,-,-,-,-,-,-,-
整备质量(kg)_y,-,-,-,-,-,-,-,-,-,-
整备质量(kg)_x,1185,1151,-,-,-,-,-,-,-,-
排量(mL),1206,1206,1485,1485,1485,1485,1485,1485,1485,1485
挡位个数,5,5,6,6,6,6,6,6,6,6
扬声器数量,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,
座位数(个),5/7/8,2,5/7/8,5/7/8,5/7/8,2,5/7/8,5/7/8,5/7/8,2
并线辅助,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),6.6,6.6,6.5,6.5,6.5,6.7,6.5,6.5,6.5,6.7
巡航系统,-,-,-,-,-,-,-,-,-,-
宽度(mm),1660,1660,1685,1685,1685,1685,1685,1685,1685,1685
安全带未系提醒,-,-,-,-,-,-,-,-,-,-
天窗类型,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,
多功能方向盘,-,-,-,-,-,-,-,-,-,-
外后视镜功能,-,-,,-,-,-,,-,-,-
后雨刷,-,-,●,-,-,-,●,-,-,-
后轮距(mm),1440,1440,1440,1440,1440,1440,1440,1440,1440,1440
后轮胎规格,175/70 R14,175/70 R14,185/70 R14,185/70 R14,175/70 R14,175/70 R14,185/70 R14,185/70 R14,175/70 R14,175/70 R14
后排车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
后排独立空调,-,-,●,●,-,-,●,●,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,,-,,,,-,,,,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,五连杆式非独立悬架,五连杆式非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,五连杆式非独立悬架,五连杆式非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,○,-,●,●,-,-,●,●,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
发动机电子防盗,-,-,-,-,-,-,-,-,-,-
发动机型号,LSI,LSI,LAR,LAR,LAR,LAR,LAR,LAR,LAR,LAR
发动机启停技术,-,-,-,-,-,-,-,-,-,-
发动机,1.2L 76马力 L4,1.2L 76马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4,1.5L 99马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-
厂商指导价(元),4.60万,4.685万,5.99万,5.69万,5.39万,5.485万,5.99万,5.69万,5.39万,5.465万
厂商,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱,上汽通用五菱
卫星导航系统,-,-,-,-,-,-,-,-,-,-
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,液压助力,液压助力,液压助力,液压助力
副座椅调节方式,,,,,,,,,,
前轮距(mm),1420,1420,1420,1420,1420,1420,1420,1420,1420,1420
前轮胎规格,175/70 R14,175/70 R14,185/70 R14,185/70 R14,175/70 R14,175/70 R14,185/70 R14,185/70 R14,175/70 R14,175/70 R14
前排座椅功能,-,-,-,-,-,-,-,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,盘式,盘式,通风盘式,通风盘式,盘式,盘式,通风盘式,通风盘式,盘式,盘式
前/后驻车雷达,-,-,前-&nbsp;/&nbsp;后●,-,-,-,前-&nbsp;/&nbsp;后●,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,前-&nbsp;/&nbsp;后○,-,前●&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,-,前●&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●
准拖挂车总质量(kg),-,-,-,-,-,-,-,-,-,-
内后视镜功能,-,-,-,-,-,-,-,-,-,-
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
主座椅调节方式,,,,,,,,,,
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,-,-,-,-,-,-,-,-,-,-
中控彩色屏幕,-,-,,,-,-,,,-,-
上市时间,2020.03,2020.03,2021.10,2021.10,2021.10,2021.10,2022.07,2022.07,2022.07,2022.07
上坡辅助,-,-,-,-,-,-,-,-,-,-
LED日间行车灯,-,-,-,-,-,-,-,-,-,-
ISOFIX儿童座椅接口,-,-,-,-,-,-,-,-,-,-
ABS防抱死,●,●,●,●,●,●,●,●,●,●
