Feature,58848,58849,58850
高度(mm),1490,1490,1490
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,,,
驱动电机数,单电机,单电机,单电机
驱动方式,,,
风阻系数(Cd),-,-,-
陡坡缓降,-,-,-
长度(mm),5106,5106,5106
长*宽*高(mm),5106*1868*1490,5106*1868*1490,5106*1868*1490
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●
道路交通标识识别,○,○,●
远光灯光源,,,
进气形式,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,
运动外观套件,-,●,●
辅助驾驶等级,,,
轴距(mm),3105,3105,3105
轮圈材质,,,
转向辅助灯,●,●,●
车门数(个),,,
车门开启方式,平开门,平开门,平开门
车道居中保持,○,○,●
车道偏离预警系统,○,○,●
车道保持辅助系统,○,○,●
车载空气净化器,-,-,-
车载智能系统,,,
车载CD/DVD,-,-,
车身结构_y,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,宝马5系新能源 2022款 改款二 535Le 豪华套装,宝马5系新能源 2022款 改款二 535Le M运动套装,宝马5系新能源 2022款 改款三 535Le 先锋版M运动套装
车前雾灯,-,-,-
车内香氛装置,○,○,○
车内环境氛围灯,,,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
超声波雷达数量,,,
负离子发生器,○,○,○
语音识别控制系统,,,
被动行人保护,●,●,●
行车电脑显示屏幕,,,
蓝牙/车载电话,●,●,●
自适应远近光,●,●,●
自动驻车,●,●,●
自动泊车入位,○,○,○
自动头灯,●,●,●
自动变道辅助,○,○,●
能量回收系统,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,
缺气保用轮胎,-,-,-
缸盖材料,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金
级别,中大型车,中大型车,中大型车
系统综合扭矩(N·m),420,420,420
系统综合功率(kW),215,215,215
系统综合功率(Ps),292,292,292
简称,8挡手自一体,8挡手自一体,8挡手自一体
第二排座椅调节,-,-,
第二排座椅电动调节,-,-,●
第二排座椅功能,,,
空调温度控制方式,,,
