Feature,1016368,1016369,1016370,1016371,1016372,1016373,1016374,1016375,1016376,1016377,1016378,1016379,1016380,1016405,1016406,1016407,1016408,1016409,1016410,1016494,1016495,1016496,1016497
高度(mm),1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1865,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,,,,,,,,,,,,,,,,,,,,,,
长度(mm),5395,5395,5710,5710,5395,5395,5710,5710,5395,5710,5395,5710,5506,5395,5710,5395,5710,5395,5710,5395,5710,5395,5710
长*宽*高(mm),5395*1960*1855,5395*1960*1855,5710*1960*1855,5710*1960*1855,5395*1960*1855,5395*1960*1855,5710*1960*1855,5710*1960*1855,5395*1960*1855,5710*1960*1855,5395*1960*1855,5710*1960*1855,5506*1960*1865,5395*1960*1855,5710*1960*1855,5395*1960*1855,5710*1960*1855,5395*1960*1855,5710*1960*1855,5395*1960*1855,5710*1960*1855,5395*1960*1855,5710*1960*1855
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
轴距(mm),3165,3165,3480,3480,3165,3165,3480,3480,3165,3480,3165,3480,3173,3165,3480,3165,3480,3165,3480,3165,3480,3165,3480
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,星际H 2023款 2.0T 手动 柴油单增压四驱精英版 标轴,星际H 2023款 2.0T 自动 柴油单增压两驱精英版 标轴,星际H 2023款 2.0T 手动 柴油单增压四驱精英版 长轴,星际H 2023款 2.0T 自动 柴油单增压两驱精英版 长轴,星际H 2023款 2.0T 手动 柴油双增压四驱豪华版 标轴,星际H 2023款 2.0T 自动 柴油双增压两驱豪华版 标轴,星际H 2023款 2.0T 手动 柴油双增压四驱豪华版 长轴,星际H 2023款 2.0T 自动 柴油双增压两驱豪华版 长轴,星际H 2023款 2.0T 自动 柴油双增压四驱旗舰版 标轴,星际H 2023款 2.0T 自动 柴油双增压四驱旗舰版 长轴,星际H 2023款 2.0T 自动两驱汽油豪华版标轴,星际H 2023款 2.0T 自动两驱汽油豪华版长轴,星际H 2023款 2.0T 自动 柴油双增压四驱牛魔王版,星际H 2023款 2.0T 自动四驱汽油豪华版标轴,星际H 2023款 2.0T 自动四驱汽油豪华版长轴,星际H 2023款 2.0T 自动 柴油单增压四驱精英版 标轴,星际H 2023款 2.0T 自动 柴油单增压四驱精英版 长轴,星际H 2023款 2.0T 自动 柴油双增压四驱豪华版 标轴,星际H 2023款 2.0T 自动 柴油双增压四驱豪华版 长轴,星际H 2023款 2.0T 自动两驱汽油智领版标轴,星际H 2023款 2.0T 自动两驱汽油智领版长轴,星际H 2023款 2.0T 自动四驱汽油智领版标轴,星际H 2023款 2.0T 自动四驱汽油智领版长轴
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,柴油,汽油,汽油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
