Feature,68371,68372,68373,72756
高度(mm),1481,1481,1481,1481
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,,,,
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,,,,
风阻系数(Cd),-,-,-,-
陡坡缓降,-,-,-,-
长度(mm),4872,4872,4872,4872
长*宽*高(mm),4872*1846*1481,4872*1846*1481,4872*1846*1481,4872*1846*1481
钥匙类型,,,,
道路救援呼叫,●,●,●,●
道路交通标识识别,●,●,●,●
远程启动功能,,,,
远光灯光源,,,,
近光灯光源,,,,
辅助驾驶等级,,,,
辅助泊车入位,○,●,●,●
辅助变道,○,●,●,●
轴距(mm),2966,2966,2966,2966
轮圈材质,,,,
转向头灯,○,○,●,-
车门数(个),,,,
车门开启方式,平开门,平开门,平开门,平开门
车道居中保持,○,●,●,●
车道偏离预警系统,●,●,●,●
车道保持辅助系统,○,●,●,●
车载空气净化器,-,-,-,-
车载智能系统,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车机智能芯片,,,,
车型名称,宝马i3 2025款 eDrive 35 L,宝马i3 2025款 eDrive 40 L 曜夜套装,宝马i3 2025款 eDrive 40 L 曜夜运动套装,宝马i3 2025款 eDrive 40 L 50周年限量版
车前雾灯,-,-,-,-
车内环境氛围灯,,,,
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,●,●,●,●
车体结构,承载式,承载式,承载式,承载式
超声波雷达数量,,,,
语音识别控制系统,,,,
被动行人保护,●,●,●,●
行车电脑显示屏幕,,,,
蓝牙/车载电话,●,●,●,●
自适应远近光,●,●,●,●
自动驻车,●,●,●,●
自动头灯,●,●,●,●
能量回收系统,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,
级别,中型车,中型车,中型车,中型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-
空调温度控制方式,,,,
空气悬架,●,●,●,●
离去角(°),15,15,15,15
百公里耗电量(kWh/100km),14.3,14.1,14.1,14.1
疲劳驾驶提示,●,●,●,●
电芯品牌,,,,
电能当量燃料消耗量(L/100km),1.62,1.59,1.59,1.59
电池预加热,●,●,●,●
电池能量密度(Wh/kg),138,140,140,140
电池能量(kWh),70,79.05,79.05,79.05
电池组质保,,,,
电池类型,,,,
电池慢充电量范围(%)_y,0-100,0-100,0-100,0-100
电池慢充电量范围(%)_x,0-100,0-100,0-100,0-100
电池慢充时间(小时)_y,10.75,12.25,12.25,12.25
电池慢充时间(小时)_x,10.75,12.25,12.25,12.25
电池快充电量范围(%)_y,10-80,10-80,10-80,10-80
电池快充电量范围(%)_x,10-80,10-80,10-80,10-80
电池快充时间(小时)_y,0.52,0.53,0.53,0.53
电池快充时间(小时)_x,0.52,0.53,0.53,0.53
电池冷却方式,液冷,液冷,液冷,液冷
电机类型,励磁/同步,励磁/同步,励磁/同步,励磁/同步
电机布局,后置,后置,后置,后置
电动机总马力(Ps),286,340,340,340
电动机总扭矩(N·m),400,430,430,430
电动机总功率(kW),210,250,250,250
电动机(Ps),286,340,340,340
电动座椅记忆功能,,,,
电动后备厢,○,○,○,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●
热泵空调,●,●,●,●
温度分区控制,●,●,●,●
