Feature,1013187,1013188,1013189,1013190,1013191,1013192,1013193,1013194,1013195,1013196,1013197,1013198,1014481,1014482,1014483,1017829
高度(mm),1960,2050,2250,1960,2050,2250,1960,2050,2250,1960,2050,2250,1995,2085,2285,2050
驾驶辅助影像,,,,,,,,,,,,,,,,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5300,5300,5300,5270
长*宽*高(mm),5270×1700×1960,5270×1700×2050,5270×1700×2250,5270×1700×1960,5270×1700×2050,5270×1700×2250,5270×1700×1960,5270×1700×2050,5270×1700×2250,5270×1700×1960,5270×1700×2050,5270×1700×2250,5300×1700×1995,5300×1700×2085,5300×1700×2285,5270×1700×2050
钥匙类型,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,
轴距(mm),2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890
轮圈材质,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●
车门数(个),,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,客车,客车,客车,货车,货车,货车,客车,客车,客车,货车,货车,货车,客车
车身结构_x,货车,货车,货车,客车,客车,客车,货车,货车,货车,客车,客车,客车,货车,货车,货车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,金威 2022款 2.2L捷运商务型厢货平顶V22H,金威 2022款 2.2L捷运商务型厢货中顶V22H,金威 2022款 2.2L捷运商务型厢货高顶V22H,金威 2022款 2.2L捷运商务型10座平顶V22H,金威 2022款 2.2L捷运商务型10座中顶V22H,金威 2022款 2.2L捷运商务型10座高顶V22H,金威 2022款 2.2L捷运厢货平顶V22H,金威 2022款 2.2L捷运厢货中顶V22H,金威 2022款 2.2L捷运厢货高顶V22H,金威 2022款 2.2L捷运10座平顶V22H,金威 2022款 2.2L捷运10座中顶V22H,金威 2022款 2.2L捷运10座高顶V22H,金威 2022款 2.2L捷运CNG厢货平顶V22H,金威 2022款 2.2L捷运CNG厢货中顶V22H,金威 2022款 2.2L捷运CNG厢货高顶V22H,金威 2024款 2.2L捷运4-7座
车前雾灯,,,,,,,,,,,,,,,,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
