Feature,1016884,1016885,1016886,1016887,1016888,1016889,1016890,1016891,1018975,1018976,1018977,1018978,1018979,1018980,1018981,1018982,1018983,1018984,1018985,1018986,1018987,1018988,1018989,1018990,1018991,1018992,1018993,1018994,1018995,1018996,1018997,1018998,1019091,1019092,1019093,1019363,1019364,1019365,1019366,1019367,1019368,1019369,1019370,1019371,1019372,1019373,1019374,1019375,1019376,1019377,1019378,1019379,1019380,1019384,1019385,1019386,1019387
高度(mm),1895,1895,1895,1895,1920,1920,1920,1920,2565,2565,2565,2175,2175,2175,2175,2175,2175,2565,2565,2565,2185,2185,2185,2185,2185,2185,1875,1900,1875,1875,1900,1900,2040,2040,2040,2520,2520,2520,2485,2485,2485,2540,2540,2540,2485,2485,2485,2485,2485,2485,2485,2485,2485,1875,1875,1900,1900
驾驶辅助影像,-,,-,,-,,-,,-,-,-,-,-,,-,-,,-,-,-,-,-,,-,-,,-,-,-,,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4840,4840,5190,5190,4840,4840,5230,5230,4840,4840,4840,5190,5190,5190,5190,5190,5190,4840,4840,4840,5230,5230,5230,5230,5230,5230,5190,5230,5190,5190,5230,5230,4840,4840,4840,4850,4850,4850,4850,4850,4850,4850,4850,4850,5220,5220,5220,4850,4850,4850,5220,5220,5220,4840,5190,4840,5230
长*宽*高(mm),4840*1635*1895,4840*1635*1895,5190*1635*1895,5190*1635*1895,4840*1635*1920,4840*1635*1920,5230*1635*1920,5230*1635*1920,4840*1635*2565,4840*1635*2565,4840*1635*2565,5190*1635*2175,5190*1635*2175,5190*1635*2175,5190*1780*2175,5190*1780*2175,5190*1780*2175,4840*1635*2565,4840*1635*2565,4840*1635*2565,5230*1635*2185,5230*1635*2185,5230*1635*2185,5230*1780*2185,5230*1780*2185,5230*1780*2185,5190*1635*1875,5230*1635*1900,5190*1635*1875,5190*1635*1875,5230*1635*1900,5230*1635*1900,4840*1635*2040,4840*1635*2040,4840*1635*2040,4850*1635*2520,4850*1635*2520,4850*1635*2520,4850*1635*2485,4850*1635*2485,4850*1635*2485,4850*1635*2540,4850*1635*2540,4850*1635*2540,5220*1635*2485,5220*1635*2485,5220*1635*2485,4850*1635*2485,4850*1635*2485,4850*1635*2485,5220*1635*2485,5220*1635*2485,5220*1635*2485,4840*1635*1875,5190*1635*1875,4840*1635*1900,5230*1635*1900
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
