Feature,61995,61996,62004,62005,62006,62007,62008,62009
高度(mm),1660,1660,1660,1660,1660,1660,1660,1660
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,,,,,,,,
驱动电机数,-,单电机,-,-,-,单电机,单电机,双电机
驱动方式,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
面部识别,-,-,-,-,●,-,-,●
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),4780,4780,4780,4780,4780,4780,4780,4780
长*宽*高(mm),4780*1855*1660,4780*1855*1660,4780*1855*1660,4780*1855*1660,4780*1855*1660,4780*1855*1660,4780*1855*1660,4780*1855*1660
钥匙类型,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●
远光灯光源,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,
辅助驾驶系统,,,,,,,,
辅助驾驶等级,,,,,,,,
轴距(mm),2690,2690,2690,2690,2690,2690,2690,2690
轮圈材质,,,,,,,,
车门数(个),,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,●,-,-,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,●,-,●,●,-,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,
车型名称,威飒 2023款 2.0L CVT两驱科技版,威飒 2023款 2.5L智能电混双擎 两驱科技版,威飒 2023款 2.0L CVT两驱豪华版,威飒 2023款 2.0L CVT两驱尊贵版,威飒 2023款 2.0L CVT四驱至尊版,威飒 2023款 2.5L智能电混双擎 两驱豪华版,威飒 2023款 2.5L智能电混双擎 两驱尊贵版,威飒 2023款 2.5L智能电混双擎 四驱至尊版
车前雾灯,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,●,-,-,●
语音识别控制系统,,,,,,,,
行车电脑显示屏幕,,,,,,,,
行程(mm),97.6,103.4,97.6,97.6,97.6,103.4,103.4,103.4
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●,●,●
能量回收系统,-,●,-,-,-,●,●,●
能源类型_y,汽油,油电混合,汽油,汽油,汽油,油电混合,油电混合,油电混合
能源类型_x,汽油,油电混合,汽油,汽油,汽油,油电混合,油电混合,油电混合
胎压监测功能,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),80.5,87.5,80.5,80.5,80.5,87.5,87.5,87.5
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
系统综合功率(kW),-,160,-,-,-,160,160,163
系统综合功率(Ps),-,218,-,-,-,218,218,222
简称,CVT无级变速(模拟10挡),E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排座椅调节,,,,,,,,
空调温度控制方式,,,,,,,,
离去角(°),20,20,20,20,20,20,20,20
疲劳驾驶提示,-,-,-,-,-,-,-,-
电芯品牌,-,,-,-,-,,,
电池类型,-,,-,-,-,,,
电机类型,-,永磁/同步,-,-,-,永磁/同步,永磁/同步,永磁/同步
电机布局,-,前置,-,-,-,前置,前置,前置+后置
电动机总马力(Ps),-,120,-,-,-,120,120,174
电动机总扭矩(N·m),-,220,-,-,-,220,220,341
电动机总功率(kW),-,88,-,-,-,88,88,128
电动机(Ps),-,120,-,-,-,120,120,174
电动座椅记忆功能,-,-,-,-,,-,-,
电动后备厢位置记忆,●,●,-,●,●,-,●,●
电动后备厢,●,●,-,●,●,-,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号
温度分区控制,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,
油箱容积(L),55,55,55,55,55,55,55,55
气缸数(个),4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4
最高车速(km/h),175,180,175,175,175,180,180,180
最小转弯半径(m),5.7,5.7,5.5,5.7,5.7,5.5,5.7,5.7
最大马力(Ps),171,178,171,171,171,178,178,178
最大满载质量(kg),2065,2160,2065,2065,2160,2160,2160,2230
最大扭矩转速(rpm),4600-5000,3600-5200,4600-5000,4600-5000,4600-5000,3600-5200,3600-5200,3600-5200
最大扭矩(N·m)_y,206,221,206,206,206,221,221,221
最大扭矩(N·m)_x,206,-,206,206,206,-,-,-
最大功率转速(rpm),6000,5700,6000,6000,6000,5700,5700,5700
最大功率(kW)_y,126,131,126,126,126,131,131,131
最大功率(kW)_x,126,160,126,126,126,160,160,163
最大净功率(kW),126,131,126,126,126,131,131,131
无钥匙进入功能,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,●,-,-,●
方向盘位置调节,,,,,,,,
整车质保,,,,,,,,
整备质量(kg),1605,1675,1575,1605,1665,1645,1675,1750
接近角(°),16,16,16,16,16,16,16,16
排量(mL),1987,2487,1987,1987,1987,2487,2487,2487
换挡形式,,,,,,,,
挡位个数,10,无级变速,10,10,10,无级变速,无级变速,无级变速
扬声器数量,,,,,,,,
扬声器品牌名称,,,-,,,-,,
手机无线充电功能,-,-,-,-,,-,-,
手机互联/映射,-,-,,-,-,,-,-
手机APP远程功能,,,,,,,,
感应雨刷功能,,,,,,,,
感应后备厢,●,●,-,●,●,-,●,●
座椅材质,,,,,,,,
座位数(个),,,,,,,,
并线辅助,-,-,-,-,●,-,-,●
巡航系统,,,,,,,,
导航路况信息显示,●,●,-,●,●,-,●,●
宽度(mm),1855,1855,1855,1855,1855,1855,1855,1855
官方0-100km/h加速(s),-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,
天窗类型,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●
大灯延时关闭,-,-,-,-,-,-,-,-
多层隔音玻璃,-,-,-,-,,-,-,
多媒体/充电接口,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,
备胎规格,,,,,,,,
四驱形式,-,-,-,-,,-,-,
后雨刷,●,●,●,●,●,●,●,●
后轮距(mm),1627,1627,1627,1627,1627,1627,1627,1627
后轮胎规格,,,,,,,,
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,121
后电动机最大功率(kW),-,-,-,-,-,-,-,40
后排独立空调,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,
后排侧隐私玻璃,●,●,●,●,●,●,●,●
后悬架类型,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,
变速箱类型,无级变速箱(CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
变速箱,CVT无级变速(模拟10挡),E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
发动机电子防盗,●,●,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,M20C,A25D,M20C,M20C,M20C,A25D,A25D,A25D
发动机启停技术,●,-,●,●,●,-,-,-
发动机,2.0L 171马力 L4,2.5L 178马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.5L 178马力 L4,2.5L 178马力 L4,2.5L 178马力 L4
压缩比,13,14,13,13,13,14,14,14
厂商指导价(元),24.18万,27.18万,21.68万,23.58万,26.88万,24.68万,26.58万,30.38万
厂商,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田,广汽丰田
卫星导航系统,●,●,-,●,●,-,●,●
助力类型,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,
前轮距(mm),1607,1607,1607,1607,1607,1607,1607,1607
前轮胎规格,,,,,,,,
前电动机最大扭矩(N·m),-,220,-,-,-,220,220,220
