Feature,1015999,1016986,1017022,1017023,1017521,1017619,1017620,1019084,1019085,1019086,1020360,1020361,1020362,1020363,1020364,1020365,1020366,1020367
高度(mm),2180,1960,1960,2180,1960,1960,2180,1960,2180,1960,1960,1960,2180,1960,2180,1960,1960,2180
驾驶辅助影像,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4800,4800,4800,4800,4800,5250,5250,5250,5250,5250,4800,5250,5250,5250,5250,4800,5250,5250
长*宽*高(mm),4800*1870*2180,4800*1870*1960,4800*1870*1960,4800*1870*2180,4800*1870*1960,5250*1870*1960,5250*1870*2180,5250*1870*1960,5250*1870*2180,5250*1870*1960,4800*1870*1960,5250*1870*1960,5250*1870*2180,5250*1870*1960,5250*1870*2180,4800*1870*1960,5250*1870*1960,5250*1870*2180
钥匙类型,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,
轴距(mm),3100,3100,3100,3100,3100,3450,3450,3450,3450,3450,3100,3450,3450,3450,3450,3100,3450,3450
轮圈材质,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,客车,货车,货车,客车,客车,客车,货车,货车,货车,货车,货车,客车,客车,客车
车身结构_x,货车,货车,货车,货车,客车,货车,货车,客车,客车,客车,货车,货车,货车,货车,货车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,○,○
车联网,-,-,-,-,○,-,-,○,○,●,-,○,○,○,○,-,○,○
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,大拿V1 2023款 V1 短轴高顶（42kWh）,大拿V1 2023款 V1 短轴低顶（42kWh）,大拿V1 2023款 V1 短轴低顶（43kWh）,大拿V1 2023款 V1 短轴高顶（43kWh）,2024款 V1 短轴低顶 多功能版（51kWh）,大拿V1 2024款 V1 长轴低顶（51kWh）,大拿V1 2024款 V1 长轴高顶（51kWh）,大拿V1 2024款 V1 长轴低顶 多功能版（62kWh）,大拿V1 2024款 V1 长轴高顶 多功能版（62kWh）,大拿V1 2024款 M1 长轴低顶 客运版（64kWh）,大拿V1 2025款 V1+ 短轴低顶 货运版（42kWh）,大拿V1 2025款 V1 长轴低顶 货运版（50kWh）,大拿V1 2025款 V1 长轴高顶 货运版（50kWh),大拿V1 2025款 V1 长轴低顶 货运版（51kWh）,大拿V1 2025款 V1 长轴高顶 货运版（51kWh）,大拿V1 2025款 V1 短轴低顶 多功能版（42kWh）,大拿V1 2025款 V1+ 长轴低顶 多功能版（62kWh）,大拿V1 2025款 V1+ 长轴高顶 多功能版（62kWh）
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),2653x1704x1675,2653x1704x1455,2653x1704x1455,2653x1704x1675,-,3103x1704x1455,3103x1704x1675,-,-,-,2653x1704x1455,3103x1704x1455,3103x1704x1675,3103x1704x1455,3103x1704x1675,-,-,-
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,-,,,,,,,
级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,
离去角(°),-,-,-,-,-,-,-,-,-,-,22,20,20,21,21,21,19,19
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,,,,,,,,,,,
电池能量(kWh),42,42,43,43,51,51,51,62,62,64,42,50,50,51,51,42,62,62
电池类型,,,,,,,,,,,,,,,,,,
