Feature,1019232,1019233,1019234,1019235,1019236,1019237,1019238,1019239,1019240,1019241,1019242,1019243,1019244,1019245,1019246,1019247,1019248,1019249,1019252,1019253,1019254,1019255,1019256,1019257,1019258,1019259
高度(mm),1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,2180
驾驶辅助影像,-,,-,-,,,,,,,,,,-,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890,4890
长*宽*高(mm),4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*1995,4890*1700*2180
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185
轮圈材质,,,,,,,,,,,,,-,,,,,,,,,,,,,
车门数(个),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,客车,客车,客车,客车,客车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,货车,货车,客车,客车,客车,客车,客车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,●,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,金海狮 2024款 1.6L 厢货工程狮2座,金海狮 2024款  1.6L 厢货旅行狮2座,金海狮 2024款 1.5L 客车工程狮5/6/7座,金海狮 2024款 1.5L 客车工程狮9座,金海狮 2024款 1.5L 客车旅行狮5/6/7座中央空调版,金海狮 2024款 1.5L 魔术狮5/6/7座,金海狮 2024款 1.5L 客车旅行狮9座中央空调版,金海狮 2024款 2.0L 厢货工程狮2座,金海狮 2024款 2.0L 工程狮5/6/7座,金海狮 2024款 2.0L 工程狮9座,金海狮 2024款 2.0L 旅行狮5/6/7座 中央空调,金海狮 2024款 2.0L 旅行狮9座中央空调,金海狮 2024款 2.0L 魔术狮9座,金海狮 2024款 1.5L 工程狮营运版7/9座,金海狮 2024款 1.5L 旅行狮营运版7/9座,金海狮 2024款 2.0L 工程狮营运版7/9座,金海狮 2024款 2.0L 旅行狮营运版7/9座,金海狮 2024款 2.0L 工程狮客车5/6/7座CNG,金海狮 2024款 2.0L 旅行狮客车5/6/7座CNG中央空调,金海狮 2024款 2.0L 工程狮客车9座CNG,金海狮 2024款 2.0L 旅行狮客车9座CNG中央空调,金海狮 2024款 2.0L 营运版旅行狮7座140L气罐CNG,金海狮 2024款 1.5L 简易宿营车旅行狮5/6座,金海狮 2024款 2.0L 简易宿营车工程狮5/6座,金海狮 2024款 2.0L 简易宿营车旅行狮5/6座,金海狮 2024款 2.0L 易家宿营车豪华版5座
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
