Feature,64386,65852,66323,66324,66325,66326,66994,66995,66996,67530,67531,67950,69718,69719,69720,69721,69722
高度(mm),1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
驾驶辅助影像,,-,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,
首任车主质保政策,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,●,-,-,●,-,●,●,●,●,-,-,●,-,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4073,4020,4020,4020,4020,4073
长*宽*高(mm),4030*1810*1570,4030*1810*1570,4030*1810*1570,4030*1810*1570,4030*1810*1570,4030*1810*1570,4030*1810*1570,4030*1810*1570,4030*1810*1570,4030*1810*1570,4030*1810*1570,4073*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4020*1810*1570,4073*1810*1570
钥匙类型,,,,,,,,,,,,,,,,,
遥控泊车,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-
道路交通标识识别,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,●,-
透明底盘/540度影像,●,-,-,-,-,-,●,●,●,-,-,●,-,●,●,●,●
远光灯光源,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,
轴距(mm),2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,2663,2663,2663,2663,2663,2663
轮圈材质,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,●,-
车道偏离预警系统,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,●,-
车道保持辅助系统,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,●,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,
车型名称,纳米01 2024款 430 Max,纳米01 2024款 330 Lite,纳米01 2024款 330 Air,纳米01 2024款 330 Plus,纳米01 2024款 430 Air,纳米01 2024款 430 Plus,纳米01 2024款 330 Plus智+,纳米01 2024款 430 Plus智+,纳米01 2024款 430 Max智+,纳米01 2024款 330 行业版,纳米01 2024款 430 行业版,纳米01 2024款 共创版 共创YOU版,纳米01 2024款 焕新版 330 Air,纳米01 2024款 焕新版 330 Plus智+,纳米01 2024款 焕新版 430 Plus智+,纳米01 2024款 焕新版 430 Max智+,纳米01 2024款 共创版 共创ME版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,-,-,,-,,,,,-,-,,-,,,,
车内化妆镜,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,-,,,,,,,,,,,,,,,
语音分区域唤醒识别,,-,,,,,,,,,,,,,,,
行车电脑显示屏幕,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,●,-
自动驻车,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,-,-,-,-,-,-,-,●,-,-,-,-,-,-,●,-
自动头灯,●,-,-,●,-,●,●,●,●,-,-,●,-,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,
级别,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,
离去角(°),30,30,30,30,30,30,30,30,30,30,30,21,30,30,30,30,21
百公里耗电量(kWh/100km),10.7,10.6,10.6,10.6,10.7,10.7,10.6,10.7,10.7,10.6,10.7,12,10.6,10.6,10.7,10.7,11.8
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
