Feature,1012062,1012189,1012190,1012191,1012192,1012193,1012194,1012195,1012196,1012197,1012198,1012199,1012200,1012201,1012202,1012203,1012204,1012205,1012206,1012207,1016258,1016259,1016260,1016261,1016262,1016263,1016264,1016265,1016266,1016267,1016268,1016269,1016270,1016271,1016272,1016273,1016274,1016275,1016276,1016277,1016992,1016993,1016994,1016995,1016996,1016997,1016998,1016999,1017000,1017001,1017139,1017140,1017513,1017514,1017515,1017516
高度(mm),1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835,1835
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
限滑差速器/差速锁,,,,,,,-,-,,,-,-,,,-,-,,,-,-,-,,,-,,,-,,,-,,,-,,-,,-,,-,,-,,,-,,,-,,-,,,,,,,
长度(mm),5288,5638,5288,5638,5288,5638,5288,5638,5288,5638,5288,5638,5288,5638,5288,5638,5288,5638,5288,5638,5288,5288,5288,5638,5638,5638,5288,5288,5288,5638,5638,5638,5288,5288,5638,5638,5288,5288,5638,5638,5638,5638,5638,5638,5638,5638,5638,5638,5638,5638,5288,5638,5288,5288,5288,5288
长*宽*高(mm),5288×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5288×1905×1835,5288×1905×1835,5638×1905×1835,5638×1905×1835,5638×1905×1835,5288×1905×1835,5288×1905×1835,5288×1905×1835,5638×1905×1835,5638×1905×1835,5638×1905×1835,5288×1905×1835,5288×1905×1835,5638×1905×1835,5638×1905×1835,5288×1905×1835,5288×1905×1835,5638×1905×1835,5638×1905×1835,5638×1905×1835,5638×1905×1835,5638×1905×1835,5638×1905×1835,5638×1905×1835,5638×1905×1835,5638×1905×1835,5638×1905×1835,5638×1905×1835,5638×1905×1835,5288×1905×1835,5638×1905×1835,5288×1905×1835,5288×1905×1835,5288×1905×1835,5288×1905×1835
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
