Feature,69013,69054,69055
高度(mm),1502,1502,1502
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,,,
驱动方式,,,
风阻系数(Cd),0.27,0.27,0.27
陡坡缓降,-,-,-
长度(mm),4705,4705,4705
长*宽*高(mm),4705*1859*1502,4705*1859*1502,4705*1859*1502
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
道路交通标识识别,-,●,●
远光灯光源,,,
进气形式,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,
辅助驾驶系统,-,,
辅助驾驶等级,-,,
轴距(mm),2787,2787,2787
轮圈材质,,,
车门数(个),,,
车门开启方式,平开门,平开门,平开门
车道居中保持,-,●,●
车道偏离预警系统,-,●,●
车道保持辅助系统,-,●,●
车载空气净化器,-,-,●
车载智能系统,,,
车身结构_y,掀背车,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,标致408X 2025款 ME,标致408X 2025款 RS,标致408X 2025款 GT
车前雾灯,-,-,-
车内环境氛围灯,-,-,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
超声波雷达数量,,,
语音识别控制系统,,,
语音助手唤醒词,,,
行车电脑显示屏幕,,,
蓝牙/车载电话,●,●,●
自适应远近光,-,●,●
自动驻车,-,-,-
自动头灯,●,●,●
能源类型_y,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油
胎压监测功能,,,
缸盖材料,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金
级别,中型车,中型车,中型车
简称,8挡手自一体,8挡手自一体,8挡手自一体
第二排座椅调节,-,-,-
空载最小离地间隙(mm),194,194,194
空调温度控制方式,,,
空气质量监测,-,-,●
离去角(°),21,21,21
疲劳驾驶提示,-,●,●
电动座椅记忆功能,-,-,-
电动后备厢位置记忆,-,○,●
电动后备厢,-,○,●
环保标准_y,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●
燃油标号,92号,92号,92号
满载最小离地间隙(mm),166,166,166
温度分区控制,●,●,●
液晶仪表尺寸,,,
油箱容积(L),51,51,51
气缸数(个),4,4,4
气缸排列形式,L,L,L
毫米波雷达数量,-,,
每缸气门数(个),4,4,4
模拟声浪,-,-,●
最高车速(km/h),220,220,220
最小转弯半径(m),5.59,5.59,5.59
最大马力(Ps),175,175,175
最大满载质量(kg),1903,1903,1903
最大扭矩转速(rpm),1750-4500,1750-4500,1750-4500
最大扭矩(N·m)_y,250,250,250
最大扭矩(N·m)_x,250,250,250
最大功率转速(rpm),5500,5500,5500
最大功率(kW)_y,129,129,129
最大功率(kW)_x,129,129,129
最大净功率(kW),-,-,-
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,●,●,●
方向盘加热,-,-,-
方向盘位置调节,,,
整车质保,,,
整备质量(kg),1465,1465,1465
摄像头数量,,,
接近角(°),16,16,16
排量(mL),1598,1598,1598
换挡形式,,,
挡位个数,8,8,8
扬声器数量,,,
扬声器品牌名称,-,-,
手机无线充电功能,-,-,
手机无线充电功率,-,-,
手机互联/映射,,,
手机APP远程功能,,,
感应雨刷功能,,,
感应后备厢,-,○,●
座椅材质,,,
座位数(个),,,
并线辅助,-,-,●
巡航系统,,,
导航路况信息显示,●,●,●
宽度(mm),1859,1859,1859
官方0-100km/h加速(s),-,-,-
安全带未系提醒,,,
天窗类型,,,
大灯高度可调,●,●,●
大灯延时关闭,●,●,●
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
备胎规格,,,
地图品牌,,,
后雨刷,-,-,-
后轮距(mm),1604,1604,1604
后轮胎规格,,,
后排独立空调,-,-,-
后排杯架,-,●,●
后排座椅放倒形式,,,
后悬架类型,,,
后座出风口,●,●,●
后备厢容积(L),536-1611,536-1611,536-1611
后制动器类型,,,
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,8挡手自一体,8挡手自一体,8挡手自一体
发动机电子防盗,●,●,●
发动机特有技术,CVVT,CVVT,CVVT
发动机布局,横置,横置,横置
发动机型号,5G06,5G06,5G06
发动机启停技术,●,●,●
发动机,1.6T 175马力 L4,1.6T 175马力 L4,1.6T 175马力 L4
厂商指导价(元),15.37万,16.17万,17.97万
厂商,东风标致,东风标致,东风标致
卫星导航系统,●,●,●
助力类型,,,
副驾驶位后排可调节按钮,-,-,-
副座椅调节方式,,,
前轮距(mm),1599,1599,1599
前轮胎规格,,,
前方碰撞预警,-,●,●
前方感知摄像头,-,,
前排座椅功能,-,-,
前悬架类型,,,
前制动器类型,,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●
制动力分配(EBD/CBC等),●,●,●
内后视镜功能,,,
全液晶仪表盘,●,●,●
倒车车侧预警系统,-,-,●
供油方式,直喷,直喷,直喷
主座椅调节方式,,,
主动闭合式进气格栅,-,●,●
主动刹车/主动安全系统,-,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,
中控屏幕尺寸,,,
中控下屏幕尺寸,-,,
上市时间,2024.07,2024.07,2024.07
上坡辅助,●,●,●
WLTC综合油耗(L/100km),6.35,6.35,6.35
USB/Type-C接口数量,,,
OTA升级,●,●,●
LED日间行车灯,●,●,●
ISOFIX儿童座椅接口,●,●,●
ABS防抱死,●,●,●
4G/5G网络,,,
