Feature,59086,59087
高度(mm),1673,1673
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,,
驱动电机数,单电机,单电机
驱动方式,,
风阻系数(Cd),-,-
陡坡缓降,-,-
长度(mm),4733,4733
长*宽*高(mm),4733*1859*1673,4733*1859*1673
钥匙类型,,
配气机构,DOHC,DOHC
远光灯光源,,
进气形式,涡轮增压,涡轮增压
近光灯光源,,
辅助驾驶系统,,
辅助驾驶等级,,
轴距(mm),2791,2791
轮圈材质,,
转向辅助灯,○,●
转向头灯,○,●
车顶行李架,●,●
车门数(个),,
车门开启方式,平开门,平开门
车道居中保持,●,●
车道偏离预警系统,●,●
车道保持辅助系统,●,●
车载空气净化器,-,-
车身结构_y,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,途观L新能源 2023款 430PHEV 插电混动尊贵版,途观L新能源 2023款 430PHEV 插电混动旗舰版
车前雾灯,-,-
车内环境氛围灯,,
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,●,●
车体结构,承载式,承载式
语音识别控制系统,,
行车电脑显示屏幕,,
行李厢12V电源接口,●,●
蓝牙/车载电话,●,●
自适应远近光,-,-
自动驻车,●,●
自动泊车入位,●,●
自动头灯,●,●
能量回收系统,●,●
能源类型_y,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力
胎压监测功能,,
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
级别,中型SUV,中型SUV
系统综合扭矩(N·m),400,400
系统综合功率(kW),155,155
系统综合功率(Ps),211,211
简称,6挡湿式双离合,6挡湿式双离合
第二排座椅调节,,
空调温度控制方式,,
空气质量监测,●,●
离去角(°),16,16
百公里耗电量(kWh/100km),16.2,16.2
疲劳驾驶提示,-,●
电芯品牌,,
电能当量燃料消耗量(L/100km),1.8,1.8
电池能量(kWh),13,13
电池类型,,
电机类型,永磁/同步,永磁/同步
电机布局,前置,前置
电动机总马力(Ps),116,116
电动机总扭矩(N·m),330,330
电动机总功率(kW),85,85
电动机(Ps),116,116
电动座椅记忆功能,-,-
电动后备厢位置记忆,●,●
电动后备厢,●,●
环保标准_y,国VI,国VI
环保标准_x,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●
灯光特色功能,,
温度分区控制,●,●
液晶仪表尺寸,,
油箱容积(L),47,47
气缸数(个),4,4
气缸排列形式,L,L
每缸气门数(个),4,4
最高车速(km/h),200,200
最大马力(Ps),150,150
最大满载质量(kg),2340,2340
最大扭矩转速(rpm),1750-2000,1750-2000
最大扭矩(N·m)_y,250,250
最大扭矩(N·m)_x,400,400
最大功率转速(rpm),6000,6000
最大功率(kW)_y,110,110
最大功率(kW)_x,155,155
最大净功率(kW),110,110
最低荷电状态油耗(L/100km),5.8,5.8
无钥匙进入功能,,
无钥匙启动系统,●,●
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,-,-
方向盘加热,●,●
方向盘位置调节,,
整车质保,,
整备质量(kg),1870,1870
推荐燃油标号,95号,95号
接近角(°),16,16
排量(mL),1395,1395
换挡形式,,
挡位个数,6,6
扬声器数量,,
扬声器品牌名称,-,-
手机无线充电功能,,
