Feature,63820,65554,65555,69238,69497,69818,69819,69820,70238,70350,70351,70414,71137
高度(mm),1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656
驾驶辅助影像,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,
风阻系数(Cd),0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283
隐藏电动门把手,●,-,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4658,4658,4658,4658,4658,4658,4658,4658,4673,4673,4673,4658,4673
长*宽*高(mm),4658*1890*1656,4658*1890*1656,4658*1890*1656,4658*1890*1656,4658*1890*1656,4658*1890*1656,4658*1890*1656,4658*1890*1656,4673*1890*1656,4673*1890*1656,4673*1890*1656,4658*1890*1656,4673*1890*1656
钥匙类型,,,,,,,,,,,,,
遥控泊车,●,-,-,-,-,-,-,-,●,-,-,-,-
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,-,-,-,-,-,-,-,●,-,●,-,●
透明底盘/540度影像,●,●,●,-,-,-,-,●,●,●,●,-,●
远程启动功能,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,
辅助驾驶芯片,,-,,-,-,-,-,,,-,,-,
辅助驾驶系统,,-,,-,-,-,-,,,-,,-,
辅助驾驶等级,,-,,-,-,-,-,,,-,,-,
轴距(mm),2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850
轮圈材质,,,,,,,,,,,,,
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,●
车门数(个),,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,●,-,-,-,-,●,●,-,●,-,●
车道偏离预警系统,●,-,●,-,-,-,-,●,●,-,●,-,●
车道保持辅助系统,●,-,●,-,-,-,-,●,●,-,●,-,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,,,,,,
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,
车机系统存储(GB),,,,,,,,,,,,,
车机系统内存(GB),,,,,,,,,,,,,
车机智能芯片,-,-,-,-,-,-,-,-,,,,-,
车型名称,启辰VX6 2023款 520 Max,启辰VX6 2023款 520 Air,启辰VX6 2023款 520 Pro,启辰VX6 2024款 520 出行版,启辰VX6 2024款 450 出行版,启辰VX6 2024款 450 行政版,启辰VX6 2024款 520 行政版,启辰VX6 2024款 520行政版Pro,启辰VX6 2025款 大平层 520 Max,启辰VX6 2025款 大平层 450 Air,启辰VX6 2025款 大平层 520 Pro,启辰VX6 2025款 LXC荣耀版,启辰VX6 2025款 大平层 520 诗和远方版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,-,-,-,-,-,-,-,,-,-,-,-
车内化妆镜,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,-,-,-,-,-,-,-,,-,-,-,-
语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,,,
语音助手唤醒词,,,,,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,,,,,
行车电脑显示屏幕,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,-,●,-,-,-,-,●,●,-,●,-,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,-,-,-,-,-,-,-,●,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,,,,,,,,,,,,,
空载最小离地间隙(mm),180,179,179,180,180,180,180,179,180,180,180,180,180
空调温度控制方式,,,,,,,,,,,,,
离去角(°),24,24,24,24,24,24,24,24,24,24,24,24,24
百公里耗电量(kWh/100km),13.5,13.5,13.5,13.5,13.2,13.2,13.5,13.5,13.5,13.2,13.5,13.2,13.5
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,,,,,,
电能当量燃料消耗量(L/100km),-,-,-,1.57,1.53,1.53,1.57,-,1.57,1.53,1.57,1.53,1.57
电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),140,140,140,135,130,130,135,140,135,130,135,130,135
电池能量(kWh),62,62,62,62,53,53,62,62,62,53,62,53,62
电池类型,,,,,,,,,,,,,
电池慢充电量范围(%)_y,30-100,30-100,30-100,30-100,30-100,30-100,30-100,30-100,30-100,30-100,30-100,30-100,30-100
电池慢充电量范围(%)_x,30-100,30-100,30-100,30-100,30-100,30-100,30-100,30-100,30-100,30-100,30-100,30-100,30-100
电池慢充时间(小时)_y,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
电池慢充时间(小时)_x,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
电池快充时间(小时)_x,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),217,217,217,217,211,211,217,217,217,211,217,211,217
电动机总扭矩(N·m),275,275,275,275,275,275,275,275,275,275,275,275,275
电动机总功率(kW),160,160,160,160,155,155,160,160,160,155,160,155,160
电动机(Ps),217,217,217,217,211,211,217,217,217,211,217,211,217
电动座椅记忆功能,,-,,-,-,-,-,,,-,,-,
电动后备厢位置记忆,-,-,-,-,-,-,-,-,●,-,-,-,-
电动后备厢,●,-,-,-,-,-,-,-,●,-,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●
热泵空调,○,○,○,○,○,○,○,○,○,○,○,○,○
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,,,
最高车速(km/h),165,165,165,165,165,165,165,165,165,165,165,165,165
最小转弯半径(m),5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
最大满载质量(kg),2196,2196,2196,2196,2125,2125,2196,2196,2217,2125,2217,2125,2217
