Feature,66775,66835,66857,66858,67874,67875,67876,67877,67878,67879
高度(mm),1725,1725,1725,1725,1725,1725,1725,1725,1725,1725
驾驶辅助影像,,,,,,,,,,
驾驶模式切换,,,,,,,,,,
驻车制动类型,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,双电机,双电机,双电机,双电机
驱动方式,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,
防侧翻系统,●,●,●,●,-,-,-,-,-,-
长度(mm),4870,4870,4870,4870,4900,4900,4900,4870,4870,4870
长*宽*高(mm),4870*1950*1725,4870*1950*1725,4870*1950*1725,4870*1950*1725,4900*1950*1725,4900*1950*1725,4900*1950*1725,4870*1950*1725,4870*1950*1725,4870*1950*1725
钥匙类型,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,-,-,-,DOHC,DOHC,DOHC
遥控泊车,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,
远光灯光源,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-,-,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,
辅助驾驶系统,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,
轴距(mm),2820,2820,2820,2820,2820,2820,2820,2820,2820,2820
轮圈材质,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●
车顶行李架,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,-,-,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,,
车载KTV,●,-,-,●,-,-,●,-,-,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门6座SUV,5门7座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,
车机系统存储(GB),,,,,,,,,,
车机系统内存(GB),,,,,,,,,,
车型名称,唐新能源 2024款 DM-i 荣耀版 112KM 旗舰型,唐新能源 2024款 DM-i 荣耀版 112KM 尊荣型,唐新能源 2024款 DM-i 荣耀版 112KM 尊贵型,唐新能源 2024款 DM-i 荣耀版 200KM 旗舰型,唐新能源 2024款 EV 荣耀版 600KM 尊享型,唐新能源 2024款 EV 荣耀版 730KM 尊享型,唐新能源 2024款 EV 荣耀版 635KM 四驱旗舰型,唐新能源 2024款 DM-p 荣耀版 215KM 四驱尊享型,唐新能源 2024款 DM-p 荣耀版 215KM 四驱旗舰型,唐新能源 2024款 改款 DM-p 战神版
车前雾灯,-,-,-,-,-,-,-,-,-,-
车内香氛装置,●,-,-,●,-,-,●,-,-,●
车内环境氛围灯,,,,,,,,,,
