Feature,1014267,1014268,1014269,1014270,1014271,1014272,1014273,1014274,1014275,1014276,1014277,1014278,1015450,1015731,1015732,1015733,1015734,1015735,1015736,1015737,1015738,1015739,1015782,1015783,1015784,1015785,1015786,1015787,1017059,1017060,1017061,1017062,1018083,1018084,1018085,1018086,1018087,1018088,1018089,1018090
高度(mm),1970,1980,1970,1980,1970,1980,1970,1980,1970,1980,1970,1980,1900,1900,1970,1970,1980,1980,1990,1990,2010,2010,1900,1900,1970,1980,1970,1980,1978,1978,1996,1996,1990,1990,2010,2010,1978,1978,1996,1996
驾驶辅助影像,,,-,-,,,-,-,,,-,-,-,-,-,,-,,-,,-,,-,-,-,-,,,-,,-,,-,,-,,-,,-,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5220,5220,5500,5500,5500,5500,5490,5490,5490,5490,5220,5220,5500,5500,5500,5500,5490,5490,5490,5490,5905,5905,5905,5905,5905,5905,5905,5905
长*宽*高(mm),5550×1760×1970,5550×1760×1980,5550×1760×1970,5550×1760×1980,5550×1760×1970,5550×1760×1980,5550×1760×1970,5550×1760×1980,5550×1760×1970,5550×1760×1980,5550×1760×1970,5550×1760×1980,5220*1760*1900,5220*1760*1900,5500*1760*1970,5500*1760*1970,5500*1760*1980,5500*1760*1980,5490*1880*1990,5490*1880*1990,5490*1880*2010,5490*1880*2010,5220*1760*1900,5220*1760*1900,5500*1760*1970,5500*1760*1980,5500*1760*1970,5500*1760*1980,5490*1880*1978,5490*1880*1978,5490*1880*1996,5490*1880*1996,5905*1910*1990,5905*1910*1990,5905*1910*2010,5905*1910*2010,5905*1910*1978,5905*1910*1978,5905*1910*1996,5905*1910*1996
钥匙类型,,,,,,,,,,,,,-,-,-,-,-,-,,,,,-,-,-,-,-,-,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,平开门,平开门,平开门,平开门,平开门,平开门,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,五菱荣光新卡 2022款 1.8L舒适型单排3.0T(吨)LJ479Q6,五菱荣光新卡 2022款 1.8L舒适型双排3.0T(吨)LJ479Q6,五菱荣光新卡 2022款 1.8L基本型单排3.0T(吨)LJ479Q6,五菱荣光新卡 2022款 1.8L基本型双排3.0T(吨)LJ479Q6,五菱荣光新卡 2022款 1.8L标准型加长单排LJ479Q6,五菱荣光新卡 2022款 1.8L标准型加长双排LJ479Q6,五菱荣光新卡 2022款 1.8L基本型加长单排LJ479Q6,五菱荣光新卡 2022款 1.8L基本型加长双排LJ479Q6,五菱荣光新卡 2022款 1.5L标准型加长单排LAR,五菱荣光新卡 2022款 1.5L标准型加长双排LAR,五菱荣光新卡 2022款 1.5L基本型加长单排LAR,五菱荣光新卡 2022款 1.5L基本型加长双排LAR,五菱荣光新卡 2023款 2.0L单排基本型LJM20B,五菱荣光新卡 2023款 2.0L双排基本型LJM20B,五菱荣光新卡 2023款 2.0L单排加长版基本型LJM20B,五菱荣光新卡 2023款 2.0L单排加长版标准型LJM20B,五菱荣光新卡 2023款 2.0L双排加长版基本型LJM20B,五菱荣光新卡 2023款 2.0L双排加长版标准型LJM20B,五菱荣光新卡 2023款 2.0L单排双后轮基本型LJM20B,五菱荣光新卡 2023款 2.0L单排双后轮舒适型LJM20B,五菱荣光新卡 2023款 2.0L双排双后轮基本型LJM20B,五菱荣光新卡 2023款 2.0L双排双后轮舒适型LJM20B,五菱荣光新卡 2023款 1.5L单排基本型LAR,五菱荣光新卡 2023款 1.5L双排基本型LAR,五菱荣光新卡 2023款 1.5L单排加长版基本型LAR,五菱荣光新卡 2023款 1.5L双排加长版基本型LAR,五菱荣光新卡 2023款 1.5L单排加长版标准型LAR,五菱荣光新卡 2023款 1.5L双排加长版标准型LAR,五菱荣光新卡 2023款 2.0L CNG双后轮单排基本型,五菱荣光新卡 2023款 2.0L CNG双后轮单排舒适型,五菱荣光新卡 2023款 2.0L CNG双后轮双排基本型,五菱荣光新卡 2023款 2.0L CNG双后轮双排舒适型,五菱荣光新卡 2024款 2.0L单排超长款双后轮基本型,五菱荣光新卡 2024款 2.0L单排超长款双后轮舒适型,五菱荣光新卡 2024款 2.0L双排超长款双后轮基本型,五菱荣光新卡 2024款 2.0L双排超长款双后轮舒适型,五菱荣光新卡 2024款 2.0L单排超长款双后轮CNG基本型,五菱荣光新卡 2024款 2.0L单排超长款双后轮CNG舒适型,五菱荣光新卡 2024款 2.0L双排超长款双后轮CNG基本型,五菱荣光新卡 2024款 2.0L双排超长款双后轮CNG舒适型
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),3300x1650x360,2600x1650x360,3300x1650x360,2600x1650x360,3300x1650x360,2600x1650x360,3300x1650x360,2600x1650x360,3300x1650x360,2600x1650x360,3300x1650x360,2600x1650x360,3150x1630x360,2450x1630x360,3300x1650x360,3300x1650x360,2600x1650x360,2600x1650x360,3300x1770x360,3300x1770x360,2600x1770x360,2600x1770x360,3150x1630x360,2450x1630x360,3300x1650x360,2600x1650x360,3300x1650x360,2600x1650x360,3300x1770x360,3300x1770x360,2600x1770x360,2600x1770x360,3690x1800x355,3690x1800x355,2990x1800x355,2990x1800x355,3690x1800x355,3690x1800x355,2990x1800x355,2990x1800x355
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,●,●,●,●,○,○,●,●,●,●,●,●,●,●,-,●,-,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
