Feature,1019181,1019188,1019189,1019190,1019191,1019192,1019193,1019194,1019195,1019196,1019197,1019201,1019202,1019203,1019204,1019205,1019206,1019207,1019208,1019214,1019215,1019216,1019217,1019351,1019352,1019353,1019354,1019355,1019356,1019357,1019358
高度(mm),1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1850,1850,1850,1850,1850,1850,1850,1850,1810,1850,1810,1850,1810,1850,1810,1850,1810,1850,1810,1850
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,-,,-,,,-,,-,,-,-,,-,,-,,-,,-,-,-,-,,,,,,,,
防侧翻系统,●,-,●,-,●,●,-,●,●,●,●,●,●,●,●,-,●,-,●,-,-,●,●,●,●,●,●,●,●,●,●
长度(mm),5690,5310,5310,5310,5310,5690,5690,5690,5310,5310,5690,5310,5310,5690,5690,5310,5310,5690,5690,5310,5310,5310,5310,5690,5310,5310,5690,5690,5310,5310,5690
长*宽*高(mm),5690*1850*1810,5310*1850*1810,5310*1850*1810,5310*1850*1810,5310*1850*1810,5690*1850*1810,5690*1850*1810,5690*1850*1810,5310*1850*1810,5310*1850*1810,5690*1850*1810,5310*1850*1850,5310*1850*1850,5690*1850*1850,5690*1850*1850,5310*1850*1850,5310*1850*1850,5690*1850*1850,5690*1850*1850,5310*1850*1810,5310*1850*1850,5310*1850*1810,5310*1850*1850,5690*1850*1810,5310*1850*1850,5310*1850*1810,5690*1850*1850,5690*1850*1810,5310*1850*1850,5310*1850*1810,5690*1850*1850
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
