Feature,51328
高精地图,●
高度(mm),1760
驾驶辅助影像,
驾驶模式切换,
驻车制动类型,电子驻车
驱动电机数,双电机
驱动方式,双电机四驱
面部识别,-
隐藏电动门把手,-
陡坡缓降,●
限滑差速器/差速锁,-
长度(mm),5030
长*宽*高(mm),5030*1960*1760
钥匙类型,
配气机构,DOHC
道路救援呼叫,●
道路交通标识识别,●
远程启动功能,
远光灯光源,
进气形式,涡轮增压
近光灯光源,
运动风格座椅,-
运动外观套件,-
辅助驾驶芯片,
辅助驾驶等级,
轴距(mm),2935
轮圈材质,
转向辅助灯,●
转向头灯,-
车顶行李架,●
车门数(个),5
车门开启方式,平开门
车道居中保持,●
车道偏离预警系统,●
车道保持辅助系统,●
车载空气净化器,●
车载冰箱,-
车载CD/DVD,-
车身结构_y,SUV
车身结构_x,5门6座SUV
车身稳定控制(ESC/ESP/DSC等),●
车联网,●
车窗防夹手功能,●
车窗一键升降功能,
车型名称,理想ONE 2021款 增程6座版
车前雾灯,-
车内香氛装置,-
车内环境氛围灯,
车内化妆镜,
车内中控锁,●
车内PM2.5过滤装置,●
车体结构,承载式
超声波雷达数量,
负离子发生器,-
语音识别控制系统,
触摸式阅读灯,●
被动行人保护,-
行车电脑显示屏幕,
行李厢12V电源接口,●
蓝牙/车载电话,●
芯片总算力,
自适应远近光,●
自动驻车,●
自动泊车入位,●
自动头灯,●
自动变道辅助,●
膝部气囊,●
能量回收系统,●
能源类型,增程式
胎压监测功能,
缺气保用轮胎,-
缸盖材料,铝合金
缸体材料,铝合金
级别,中大型SUV
系统综合扭矩(N·m),455
系统综合功率(kW),245
系统综合功率(Ps),333
简称,电动车单速变速箱
第二排独立座椅,●
第二排座椅调节,
第二排座椅电动调节,●
第二排座椅功能,
空调温度控制方式,
空气悬架,-
离去角(°),23
百公里耗电量(kWh/100km),16.9
疲劳驾驶提示,-
电芯品牌,宁德时代
电能当量燃料消耗量(L/100km),1.9
电磁感应悬架,-
电池预加热,●
电池能量(kWh),40.5
电池组质保,八年或12万公里
电池类型,三元锂电池
电池冷却方式,液冷
电机类型,永磁/同步
电机布局,前置+后置
电动机总扭矩(N·m),455
电动机总功率(kW),245
电动机总功率(Ps),333
电动机(Ps),333
电动扰流板,-
电动座椅记忆功能,
电动吸合车门,
电动后备厢位置记忆,●
电动后备厢,●
环保标准_y,国VI
环保标准_x,国VI
牵引力控制(ASR/TCS/TRC等),●
燃油标号,95号
燃料形式,增程式
灯光特色功能,-
满载最小离地间隙(mm),180
温度分区控制,●
液晶仪表尺寸,
油箱容积(L),55
气缸数(个),3
气缸排列形式,L
毫米波雷达数量,
每缸气门数(个),4
最高车速(km/h),172
最大马力(Ps),131
最大满载质量(kg),2825
最大扭矩转速(rpm),-
最大扭矩(N·m)_y,-
最大扭矩(N·m)_x,455
最大功率转速(rpm),5500
最大功率(kW)_y,96
最大功率(kW)_x,245
最大净功率(kW),96
最低荷电状态油耗(L/100km),8.8
无钥匙进入功能,
无钥匙启动系统,●
方向盘记忆,-
方向盘材质,
方向盘换挡,-
方向盘加热,●
方向盘位置调节,
整车质保,五年或10万公里
整备质量(kg),2300
整体主动转向系统,-
摄像头数量,
接近角(°),21
排量(mL),1199
换挡形式,
挡位个数,1
扬声器数量,
扬声器品牌名称,-
手机无线充电功能,
手机互联/映射,-
手机APP远程功能,
手势控制,-
慢充时间(小时)_y,6
慢充时间(小时)_x,6
感应雨刷功能,
感应后备厢,●
快充电量百分比,80
快充电量(%),80
快充时间(小时)_y,0.5
快充时间(小时)_x,0.5
快充功能,支持
快充功率(kW),60
座椅材质,
座椅布局,
座位数(个),6
并线辅助,●
巡航系统,
导航路况信息显示,●
对外放电,●
宽度(mm),1960
官方0-100km/h加速(s),6.5
安全带未系提醒,
天窗类型,
大灯高度可调,●
大灯清洗装置,-
大灯延时关闭,-
多层隔音玻璃,
多媒体/充电接口,
多功能方向盘,●
外后视镜功能,
备胎规格,无
地图品牌,
四驱形式,电动四驱
后风挡遮阳帘,-
后雨刷,●
后轮距(mm),1672
后轮胎规格,255/50 R20
后电动机最大扭矩(N·m),215
后电动机最大功率(kW),145
后排独立空调,●
后排液晶屏幕,-
后排杯架,●
后排控制多媒体,-
后排座椅电动放倒,-
后排座椅放倒形式,
后排小桌板,-
后排侧隐私玻璃,●
后排侧窗遮阳帘,-
后悬架类型,多连杆式独立悬架
后座出风口,●
后备厢容积(L),-
后制动器类型,通风盘式
可变转向比,-
可变悬架功能,
可加热喷水嘴,-
变速箱类型,固定齿比变速箱
变速箱,电动车单速变速箱
发动机电子防盗,●
发动机布局,横置
发动机型号,DAM12TD
发动机启停技术,-
发动机,增程式 131马力
厂商指导价(元),34.98万
厂商,理想汽车
卫星导航系统,●
助力类型,电动助力
加热/制冷杯架,-
副驾驶位后排可调节按钮,●
副驾娱乐屏,
副座椅调节方式,
前轮距(mm),1652
前轮胎规格,255/50 R20
前电动机最大扭矩(N·m),240
前电动机最大功率(kW),100
前方碰撞预警,●
前排座椅功能,
前悬架类型,麦弗逊式独立悬架
前大灯雨雾模式,-
前制动器类型,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●
制动力分配(EBD/CBC等),●
内置行车记录仪,●
内后视镜功能,
全液晶仪表盘,●
倒车车侧预警系统,●
供油方式,直喷
低速行车警告,●
主座椅调节方式,
主动降噪,-
主动闭合式进气格栅,●
主动刹车/主动安全系统,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●
中控彩色屏幕,
中控屏幕尺寸,
上市时间,2021.05
上坡辅助,●
WLTC综合油耗(L/100km),1.5
WLTC纯电续航里程(km)_y,148
WLTC纯电续航里程(km)_x,148
USB/Type-C接口数量,
OTA升级,●
NEDC综合油耗(L/100km),1.5
NEDC纯电续航里程(km)_y,188
NEDC纯电续航里程(km)_x,188
LED日间行车灯,●
ISOFIX儿童座椅接口,●
HUD抬头数字显示,-
DOW开门预警,●
ABS防抱死,●
4G/5G网络,
