Feature,56875,56876,56877,56878,62500,62501,64513,64514
高度(mm),1673,1673,1653,1653,1676,1657,1685,1664
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
首任车主质保政策,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-,-,,
长度(mm),4918,4918,4931,4931,4930,4930,4930,4930
长*宽*高(mm),4918*1983*1673,4918*1983*1673,4931*1983*1653,4931*1983*1653,4930*1983*1676,4930*1983*1657,4930*1983*1685,4930*1983*1664
钥匙类型,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,-,-,-,-,○,○
道路救援呼叫,●,●,●,●,●,●,●,●
道路交通标识识别,○,○,○,○,○,○,●,●
远程启动功能,,,,,,,,
远光灯光源,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,双涡轮增压,双涡轮增压
近光灯光源,,,,,,,,
运动风格座椅,○,○,○,○,○,●,○,●
运动外观套件,○,○,○,○,○,○,○,○
辅助驾驶等级,,,,,,,,
轴距(mm),2895,2895,2895,2895,2895,2895,2895,2895
轮圈材质,,,,,,,,
转向头灯,○,●,○,●,-,-,●,●
车顶行李架,○,○,○,○,○,-,○,-
车门数(个),5,5,5,5,5,5,5,5
车门开启方式,-,-,-,-,平开门,平开门,平开门,平开门
车道居中保持,○,○,○,○,○,○,●,●
车道偏离预警系统,○,○,○,○,○,○,●,●
车道保持辅助系统,○,○,○,○,○,○,●,●
车载空气净化器,-,-,-,-,●,●,●,●
车载CD/DVD,,,,,-,-,-,-
车身结构_y,SUV,SUV,SUV跨界车,SUV跨界车,SUV,SUV跨界车,SUV,SUV跨界车
车身结构_x,5门5座SUV,5门5座SUV,5门4座SUV跨界车,5门4座SUV跨界车,5门5座SUV,5门4座SUV跨界车,5门5座SUV,5门4座SUV跨界车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,
车库门遥控装置,-,-,-,-,○,○,○,○
车型名称,Cayenne新能源 2023款 Cayenne E-Hybrid 2.0T,Cayenne新能源 2023款 Cayenne E-Hybrid 2.0T 铂金版,Cayenne新能源 2023款 Cayenne E-Hybrid Coupé 2.0T,Cayenne新能源 2023款 Cayenne E-Hybrid Coupé 2.0T 铂金版,Cayenne新能源 2024款 Cayenne E-Hybrid 2.0T,Cayenne新能源 2024款 Cayenne E-Hybrid Coupé 2.0T,Cayenne新能源 2024款 Cayenne Turbo E-Hybrid 4.0T,Cayenne新能源 2024款 Cayenne Turbo E-Hybrid Coupé 4.0T
车前雾灯,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,
被动行人保护,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,○,●,○,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●
自动泊车入位,○,○,○,○,○,○,○,●
自动头灯,●,●,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●
能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
系统综合扭矩(N·m),600,600,600,600,650,650,950,950
系统综合功率(kW),284,284,284,284,293,293,544,544
系统综合功率(Ps),386,386,386,386,398,398,739,739
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排座椅调节,,,,,,,,
第二排座椅功能,,,,,,,,
空调温度控制方式,,,,,,,,
空气悬架,●,●,●,●,●,●,●,●
百公里耗电量(kWh/100km),24.2,24.2,24.2,24.2,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-
电能当量燃料消耗量(L/100km),2.74,2.74,-,-,-,-,-,-
电池能量(kWh),17.9,17.9,17.9,17.9,-,-,25.9,25.9
电池组质保,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里
电池类型,锂离子电池,锂离子电池,锂离子电池,锂离子电池,锂离子电池,锂离子电池,锂离子电池,锂离子电池
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置
电动机总扭矩(N·m),400,400,400,400,400,400,460,460
电动机总功率(kW),100,100,100,100,100,100,130,130
电动机总功率(Ps),136,136,136,136,136,136,176,176
电动机(Ps),136,136,136,136,136,136,176,176
电动扰流板,-,-,●,●,-,-,-,-
电动座椅记忆功能,,,,,,,,
电动吸合车门,,,,,,,,
