Feature,29916,29917,29918,29919,29920,29921,29922,29923,29924,29925,30664,30665
高度(mm),1665,1665,1665,1665,1665,1665,1665,1665,1665,1665,1665,1665
驻车制动类型,手刹,手刹,手刹,手刹,脚刹,电子驻车,手刹,手刹,脚刹,电子驻车,手刹,手刹
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720,4720
长*宽*高(mm),4720*1840*1665,4720*1840*1665,4720*1840*1665,4720*1840*1665,4720*1840*1665,4720*1840*1665,4720*1840*1665,4720*1840*1665,4720*1840*1665,4720*1840*1665,4720*1840*1665,4720*1840*1665
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,●,-,-,-,●,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,●,-,-,-,●,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
