Feature,58582,58583,58584,58585,65037,65038,65039,65040,65041,68359,68360,68361,68362,68363
高度(mm),2010,2080,2010,2170,2010,2010,1986,1986,2080,2010,2010,2010,2010,2010
驾驶辅助影像,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,,,,,,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5450,5450,5450,5450,5341,5341,4974,5080,5450,5450,5450,5083,5083,5083
长*宽*高(mm),5450*2095*2010,5450*2095*2080,5450*2095*2010,5450*2095*2170,5341*2095*2010,5341*2095*2010,4974*2095*1986,5080*2095*1986,5450*2095*2080,5450*2095*2010,5450*2095*2010,5083*2095*2010,5083*2095*2010,5083*2095*2010
钥匙类型,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远程启动功能,-,-,-,-,-,-,,,-,-,-,,,
远光灯光源,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,
运动外观套件,-,-,-,-,-,-,-,●,●,-,●,-,-,●
轴距(mm),3300,3300,3300,3300,3300,3300,2933,2933,3300,3300,3300,2933,2933,2933
轮圈材质,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
