Feature,1008084,1008085,1008086,1008087,1008088,1008089,1008090,1008958,1008959,1008960,1008961,1008962,1008963,1011688
高度(mm),1965,1965,1965,2445,2445,2445,2445,1985,1985,2455,2455,2455,2455,2505
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5040,5040,5040,5100,5100,5100,5100,5350,5350,5405,5405,5405,5405,5405
长*宽*高(mm),5040×1600×1965,5040×1600×1965,5040×1600×1965,5100×1600×2445,5100×1600×2445,5100×1615×2445,5100×1615×2445,5350×1600×1985,5350×1600×1985,5405×1600×2455,5405×1600×2455,5405×1615×2455,5405×1615×2455,5405××2505
钥匙类型,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,
轴距(mm),3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
轮圈材质,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-
