Feature,1010589,1010590,1010591,1010592,1010593,1010594,1010595,1010596,1010597,1010598,1010599,1010600,1010601,1010602,1010603,1010604,1010605,1010606,1010607,1010608,1010609,1010610,1010611,1010612,1010613,1010614,1010615,1010616,1010617,1010618,1010619,1010620,1010621,1010622,1010623,1010624,1010625,1010626,1010627,1010628,1010629,1010630,1010631,1010632,1010633,1010634,1010635,1010636,1010637,1010638,1010639,1010640,1010641,1010642,1010643,1010644,1010645,1010646,1010647,1010648,1010649,1010650,1010651,1010652,1010653,1010654,1010655,1010656,1010657,1010658,1010659,1010660,1010661,1010662,1010663,1010664,1010665,1010666,1010670,1010671,1010672,1010673,1011979,1011980,1011981,1011983,1011985,1011987,1011988,1011989,1011991,1011992,1011994,1011995,1014819,1014820,1014821,1014822,1014823,1014824,1014825,1014826,1014827,1014828,1015770
高度(mm),2398,2161,2360,2360,2398,2161,2360,2360,2398,2360,2360,2590,2360,2595,2595,2398,2398,2360,2360,2590,2360,2595,2360,2595,2595,2398,2398,2161,2360,2360,2398,2360,2360,2590,2360,2595,2360,2595,2595,2398,2161,2398,2360,2590,2360,2360,2595,2595,2161,2398,2360,2590,2360,2360,2595,2595,2161,2398,2360,2590,2360,2595,2161,2398,2360,2590,2360,2595,2360,2595,2161,2398,2360,2590,2360,2595,2360,2595,2161,2398,2360,2590,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2498,2590,2498,2590,2498,2590,2498,2590,2498,2590,2595
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5003,5003,5820,5820,5003,5003,5820,5820,5003,5820,5820,5820,6543,6543,6543,5003,5003,5820,5820,5820,5998,5998,6543,6543,6543,5003,5003,5003,5820,5820,5003,5820,5820,5820,5998,5998,6543,6543,6543,5003,5003,5003,5820,5820,5998,5998,5998,5998,5003,5003,5820,5820,5998,5998,5998,5998,5003,5003,5820,5820,6543,6543,5003,5003,5820,5820,5998,5998,6543,6543,5003,5003,5820,5820,5998,5998,6543,6543,5003,5003,5820,5820,5820,5820,5820,5990,5820,5820,5990,5820,5998,5998,5998,5998,5495,5495,5495,5495,5495,5495,5495,5495,5495,5495,5998
长*宽*高(mm),5003×1974×2398,5003×1974×2161,5820×1974×2360,5820×1974×2360,5003×1974×2398,5003×1974×2161,5820×1974×2360,5820×1974×2360,5003×1974×2398,5820×1974×2360,5820×1974×2360,5820×1974×2590,6543×2098×2360,6543×2098×2595,6543×2098×2595,5003×1974×2398,5003×1974×2398,5820×1974×2360,5820×1974×2360,5820×1974×2590,5998×2098×2360,5998×2098×2595,6543×2098×2360,6543×2098×2595,6543×2098×2595,5003×1974×2398,5003×1974×2398,5003×1974×2161,5820×1974×2360,5820×1974×2360,5003×1974×2398,5820×1974×2360,5820×1974×2360,5820×1974×2590,5998×2098×2360,5998×2098×2595,6543×2098×2360,6543×2098×2595,6543×2098×2595,5003×1974×2398,5003×1974×2161,5003×1974×2398,5820×1974×2360,5820×1974×2590,5998×2098×2360,5998×2098×2360,5998×2098×2595,5998×2098×2595,5003×1974×2161,5003×1974×2398,5820×1974×2360,5820×1974×2590,5998×2098×2360,5998×2098×2360,5998×2098×2595,5998×2098×2595,5003×1974×2161,5003×1974×2398,5820×1974×2360,5820×1974×2590,6543×2098×2360,6543×2098×2595,5003×1974×2161,5003×1974×2398,5820×1974×2360,5820×1974×2590,5998×2098×2360,5998×2098×2595,6543×2098×2360,6543×2098×2595,5003×1974×2161,5003×1974×2398,5820×1974×2360,5820×1974×2590,5998×2098×2360,5998×2098×2595,6543×2098×2360,6543×2098×2595,5003×1974×2161,5003×1974×2398,5820×1974×2360,5820×1974×2590,5820×1974×2360,5820×1974×2360,5820×1974×2360,5990×2098×2360,5820×1974×2360,5820×1974×2360,5990×2098×2360,5820×1974×2360,5998×2098×2360,5998×2098×2360,5998×2098×2360,5998×2098×2360,5495*1977*2498,5495*1977*2590,5495*1977*2498,5495*1977*2590,5495*1977*2498,5495*1977*2590,5495*1977*2498,5495*1977*2590,5495*1977*2498,5495*1977*2590,5998×2098×2595
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
