Feature,62446,63790,63791,63792,63838,66117,66297
高度(mm),1875,1875,1875,1875,1875,1875,1875
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置后驱,前置四驱,前置四驱,前置四驱,前置后驱,前置四驱
首任车主质保政策,发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,发动机、变速器核心零部件终身质保（责任免除条款以官方为准）,发动机、变速器核心零部件终身质保（责任免除条款以官方为准）
陡坡缓降,●,●,●,●,●,●,●
限滑差速器/差速锁,,-,,,,-,
防侧翻系统,●,●,●,●,●,●,●
长度(mm),4882,4882,4882,4882,4882,4882,4882
长*宽*高(mm),4882*1850*1875,4882*1850*1875,4882*1850*1875,4882*1850*1875,4882*1850*1875,4882*1850*1875,4882*1850*1875
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
透明底盘/540度影像,●,-,-,●,●,-,-
远程启动功能,,-,-,,,,-
远光灯光源,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,
辅助驾驶等级,,-,-,-,-,-,-
轴距(mm),2850,2850,2850,2850,2850,2850,2850
轮圈材质,,,,,,,
车顶行李架,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,-,-,-,-,-,-
车道保持辅助系统,●,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV
