Feature,1016596,1016597,1016598,1016599,1016600,1016601,1016602,1016603,1016604,1016605,1016606,1016607,1018020,1018489,1018490,1018491
高度(mm),2045,2045,2635,2665,2635,2665,2505,2505,2675,2675,2490,2490,2010,2505,2510,2640
驾驶辅助影像,-,,-,-,,,-,,-,,-,,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,,,,
驻车制动类型,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5715,5715,5810,5775,5810,5775,5175,5175,5750,5750,5750,5750,5949,5945,5945,5945
长*宽*高(mm),5715*1800*2045,5715*1800*2045,5810*1840*2635,5775*1815*2665,5810*1840*2635,5775*1815*2665,5175*1810*2505,5175*1810*2505,5750*1800*2675,5750*1800*2675,5750*1800*2490,5750*1800*2490,5949*1855*2010,5945*1855*2505,5945*1865*2510,5945*1865*2640
钥匙类型,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,
轴距(mm),3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
轮圈材质,-,-,-,-,-,-,-,-,-,-,-,,,,,
车门数(个),,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,长安神骐T30EV 2023款 载货汽车 舒适型,长安神骐T30EV 2023款 载货汽车 豪华型,长安神骐T30EV 2023款 厢式运输车 舒适型 钢板厢式,长安神骐T30EV 2023款 厢式运输车 舒适型 复合板厢式,长安神骐T30EV 2023款 厢式运输车 豪华型 钢板厢式,长安神骐T30EV 2023款 厢式运输车 豪华型 复合板厢式,长安神骐T30EV 2023款 仓栅式运输车 舒适型 标准货厢,长安神骐T30EV 2023款 仓栅式运输车 豪华型 标准货厢,长安神骐T30EV 2023款 仓栅式运输车 舒适型 高货厢,长安神骐T30EV 2023款 仓栅式运输车 豪华型 高货厢,长安神骐T30EV 2023款 仓栅式运输车 舒适型 低货厢,长安神骐T30EV 2023款 仓栅式运输车 豪华型 低货厢,长安神骐T30EV 2024款 3.8米货箱 载货车 舒适型,长安神骐T30EV 2024款 3.8米圆管高仓栅 舒适型,长安神骐T30EV 2024款 3.8米圆管矮仓栅 舒适型,长安神骐T30EV 2024款 3.8米方管高仓栅 舒适型
车前雾灯,,,,,,,,,,,,,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),3600x1700x375,3600x1700x375,3640x1730x1750,3575x1680x1755,3640x1730x1750,3575x1680x1755,3600x1700x375,3600x1700x375,3615x1700x375,3615x1700x375,3615x1700x375,3615x1700x375,3820x1750x375,3820x1750x375,3820x1750x375,3820x1750x375
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,,,,
蓝牙/车载电话,-,●,-,-,●,●,-,●,-,●,-,●,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,,-,-,,,-,,-,,-,,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,
离去角(°),22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,,,,,,,,,
电池能量(kWh),57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6
电池类型,,,,,,,,,,,,,,,,
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置
电动机总马力(Ps),116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
电动机总扭矩(N·m),256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
电动机总功率(kW),85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
电动机(Ps),116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最高车速(km/h),80,80,80,80,80,80,80,80,80,80,80,80,90,90,90,90
最大载重质量(kg),1520,1520,1350,1330,1350,1330,1430,1430,1345,1345,1280,1280,1490,1385,1320,1265
最大满载质量(kg),3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,1875,-,-,-
最大扭矩(N·m),256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
最大功率(kW),85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1845,1845,2035,2015,2035,2015,1935,1935,2085,2085,2020,2020,1875,1980,2045,2100
接近角(°),35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,-,-,-,-,-,-,-,-,-,-,-,-,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
