Feature,1012278,1012279,1012288,1012289,1012290,1012291,1012292,1012293,1017004,1017005,1017368,1017369,1017370,1017371,1017372,1017373
高度(mm),2065,2075,2065,2065,2065,2075,2075,2075,2065,2075,2065,2065,2065,2075,2075,2075
驾驶辅助影像,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5290,5490,5290,5090,5090,5490,5290,5290,5290,5490,5090,5290,5390,5290,5490,5540
长*宽*高(mm),5290×1770×2065,5490×1770×2075,5290×1770×2065,5090×1770×2065,5090×1770×2065,5490×1770×2075,5290×1770×2075,5290×1770×2075,5290×1770×2065,5490×1770×2075,5090*1770*2065,5290*1770*2065,5390*1770*2065,5290*1770*2075,5490*1770*2075,5540*1770*2075
钥匙类型,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,
轴距(mm),3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
轮圈材质,-,,-,-,-,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,金杯金卡S3 2022款 1.6L栏板车舒适型3.2米SWD16MS,金杯金卡S3 2022款 1.6L栏板车双排舒适型2.55米SWD16MS,金杯金卡S3 2022款 1.6L栏板车标准型3.2米SWD16MS,金杯金卡S3 2022款 1.6L栏板车标准型3.0米SWD16MS,金杯金卡S3 2022款 1.6L栏板车舒适型3.0米SWD16MS,金杯金卡S3 2022款 1.6L栏板车双排标准型2.55米SWD16MS,金杯金卡S3 2022款 1.6L栏板车双排标准型2.35米SWD16MS,金杯金卡S3 2022款 1.6L栏板车双排舒适型2.35米SWD16MS,金杯金卡S3 2023款 1.6L舒享型载货汽车单排3.2米SWD16MS,金杯金卡S3 2023款 1.6L舒享型载货汽车双排2.55米SWD16MS,金杯金卡S3 2024款 1.6L 基本型载货汽车单排3米后单轮国Ⅵ SWD16MS,金杯金卡S3 2024款 1.6L 基本型载货汽车单排3.2米后单轮国Ⅵ SWD16MS,金杯金卡S3 2024款 1.6L 舒适型载货汽车单排3.3米后单轮国Ⅵ SWD16MS,金杯金卡S3 2024款 1.6L 基本型载货汽车双排2.35米后单轮国Ⅵ SWD16MS,金杯金卡S3 2024款 1.6L 基本型载货汽车双排2.55米后单轮国Ⅵ SWD16MS,金杯金卡S3 2024款 1.6L 舒适型载货汽车双排2.6米后单轮国Ⅵ SWD16MS
车前雾灯,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),3200x1680x370,2550x1680x370,3200x1680x370,3000x1680x370,3000x1680x370,2550x1680x370,2350x1680x370,2350x1680x370,3200x1680x370,2550x1680x370,3000x1680x370,3200x1680x370,3300x1680x370,2350x1680x370,2550x1680x370,2600x1680x370
